station_name,station_id,lat_wgs84,lon_wgs84,E_lv95,N_lv95,first_train_wd,last_train_wd,service_window_wd,first_train_we,last_train_we,service_window_we,connectivity,mobility,freq_early_morning,ic_early_morning,ws_open_early_morning,transit_early_morning,workspace_early_morning,twci_early_morning,freq_am_peak,ic_am_peak,ws_open_am_peak,transit_am_peak,workspace_am_peak,twci_am_peak,freq_midday,ic_midday,ws_open_midday,transit_midday,workspace_midday,twci_midday,freq_pm_peak,ic_pm_peak,ws_open_pm_peak,transit_pm_peak,workspace_pm_peak,twci_pm_peak,freq_evening,ic_evening,ws_open_evening,transit_evening,workspace_evening,twci_evening,freq_late_night,ic_late_night,ws_open_late_night,transit_late_night,workspace_late_night,twci_late_night,freq_weekend_mid,ic_weekend_mid,ws_open_weekend_mid,transit_weekend_mid,workspace_weekend_mid,twci_weekend_mid
"Vernier, Blandonnet",8587924,46.221936,6.097217,2502139.8,1118968.4,04:04,00:19,20.2,04:05,00:19,20.2,0.8,0.4467,53.5,0,0,0.6369,0.0,0.4404,84.0,0,0,1.0,0.0,0.5493,64.0,0,0,0.7619,0.0,0.4779,83.5,0,0,0.994,0.0,0.5476,62.0,0,0,0.7381,0.0,0.4708,38.5,0,0,0.4583,0.0,0.3868,55.5,0,0,0.6607,0.0,0.4476
Lausanne,8501120,46.516795,6.629087,2540941.3,1151736.7,04:38,05:40,1.0,04:38,02:46,22.1,0.725,0.37,22.5,16,3,0.2679,0.2727,0.3812,28.5,23,7,0.3393,0.6364,0.5117,27.5,21,8,0.3274,0.7273,0.5354,29.5,23,7,0.3512,0.6364,0.5153,28.0,22,3,0.3333,0.2727,0.4008,22.0,14,3,0.2619,0.2727,0.3794,26.5,21,4,0.3155,0.3636,0.4227
Renens VD,8501118,46.537046,6.57892,2537281.4,1153987.2,04:46,05:21,0.6,04:46,01:47,21.0,0.9333,0.3067,22.0,12,0,0.2619,0.0,0.3266,26.5,19,0,0.3155,0.0,0.3426,26.5,19,0,0.3155,0.0,0.3426,26.5,19,0,0.3155,0.0,0.3426,26.0,18,0,0.3095,0.0,0.3409,23.0,12,0,0.2738,0.0,0.3301,25.5,19,0,0.3036,0.0,0.3391
Genève,8501008,46.210228,6.142435,2505438.5,1117667.3,04:00,05:33,1.5,04:00,05:39,1.7,0.6923,1.0,23.0,16,4,0.2738,0.3636,0.5297,25.0,21,9,0.2976,0.8182,0.6732,23.5,17,11,0.2798,1.0,0.7224,26.5,21,11,0.3155,1.0,0.7331,23.5,18,4,0.2798,0.3636,0.5315,17.0,6,4,0.2024,0.3636,0.5083,24.0,18,5,0.2857,0.4545,0.5605
Vevey,8501200,46.463002,6.84343,2556578.2,1145758.6,05:01,07:03,2.0,05:01,06:17,1.3,0.6,0.1367,15.5,8,1,0.1845,0.0909,0.23,20.0,8,5,0.2381,0.4545,0.3551,18.5,8,6,0.2202,0.5455,0.377,20.0,8,6,0.2381,0.5455,0.3824,18.0,8,2,0.2143,0.1818,0.2662,14.5,8,1,0.1726,0.0909,0.2264,17.0,8,4,0.2024,0.3636,0.3171
Aigle,8501400,46.316856,6.96367,2565350.1,1129517.1,04:49,07:46,3.0,04:49,06:57,2.1,0.0,0.0767,13.0,8,0,0.1548,0.0,0.0618,16.5,8,0,0.1964,0.0,0.0743,16.0,8,0,0.1905,0.0,0.0725,16.5,8,0,0.1964,0.0,0.0743,16.5,8,0,0.1964,0.0,0.0743,10.0,8,0,0.119,0.0,0.0511,16.0,8,0,0.1905,0.0,0.0725
Morges,8501037,46.511102,6.493958,2531083.2,1151104.0,04:01,07:04,3.0,04:01,06:18,2.3,0.6667,0.11,13.0,8,1,0.1548,0.0909,0.229,16.0,12,2,0.1905,0.1818,0.267,14.0,8,2,0.1667,0.1818,0.2599,16.0,12,2,0.1905,0.1818,0.267,15.5,11,0,0.1845,0.0,0.2107,11.0,4,0,0.131,0.0,0.1946,13.5,9,3,0.1607,0.2727,0.2854
Montreux,8501300,46.435887,6.910425,2561465.7,1142745.2,04:43,07:28,2.8,04:43,06:51,2.1,0.75,0.0733,12.5,9,0,0.1488,0.0,0.2093,16.0,9,3,0.1905,0.2727,0.3036,15.5,8,3,0.1845,0.2727,0.3018,15.0,8,3,0.1786,0.2727,0.3,15.0,9,0,0.1786,0.0,0.2182,10.5,8,0,0.125,0.0,0.2022,15.5,8,4,0.1845,0.3636,0.3291
Nyon,8501030,46.384429,6.23595,2512260.7,1137026.6,04:23,07:53,3.5,04:23,09:05,4.7,0.64,0.1033,11.0,8,0,0.131,0.0,0.1879,14.5,11,1,0.1726,0.0909,0.2277,11.5,8,2,0.1369,0.1818,0.2443,14.0,12,2,0.1667,0.1818,0.2532,11.5,10,1,0.1369,0.0909,0.217,7.0,4,1,0.0833,0.0909,0.2009,10.5,9,1,0.125,0.0909,0.2134
Genève-Eaux-Vives,8516273,46.201461,6.166549,2507197.7,1116693.0,04:04,07:47,3.7,04:04,07:51,3.8,0.5333,0.5333,9.5,0,1,0.1131,0.0909,0.2745,12.5,0,2,0.1488,0.1818,0.3125,12.0,0,2,0.1429,0.1818,0.3107,13.0,0,2,0.1548,0.1818,0.3143,12.5,0,0,0.1488,0.0,0.258,8.0,0,0,0.0952,0.0,0.2419,10.0,0,1,0.119,0.0909,0.2763
