station_name,station_id,lat_wgs84,lon_wgs84,freq_early_morning,deps_early_morning,ic_early_morning,freq_am_peak,deps_am_peak,ic_am_peak,freq_midday,deps_midday,ic_midday,freq_pm_peak,deps_pm_peak,ic_pm_peak,freq_evening,deps_evening,ic_evening,freq_late_night,deps_late_night,ic_late_night,freq_weekend_mid,deps_weekend_mid,ic_weekend_mid
"Vernier, Blandonnet",8587924,46.221936,6.097217,53.5,107,0,84.0,168,0,64.0,128,0,83.5,167,0,62.0,124,0,38.5,77,0,55.5,111,0
Lausanne,8501120,46.516795,6.629087,22.5,45,16,28.5,57,23,27.5,55,21,29.5,59,23,28.0,56,22,22.0,44,14,26.5,53,21
Renens VD,8501118,46.537046,6.57892,22.0,44,12,26.5,53,19,26.5,53,19,26.5,53,19,26.0,52,18,23.0,46,12,25.5,51,19
Genève,8501008,46.210228,6.142435,23.0,46,16,25.0,50,21,23.5,47,17,26.5,53,21,23.5,47,18,17.0,34,6,24.0,48,18
Vevey,8501200,46.463002,6.84343,15.5,31,8,20.0,40,8,18.5,37,8,20.0,40,8,18.0,36,8,14.5,29,8,17.0,34,8
Aigle,8501400,46.316856,6.96367,13.0,26,8,16.5,33,8,16.0,32,8,16.5,33,8,16.5,33,8,10.0,20,8,16.0,32,8
Morges,8501037,46.511102,6.493958,13.0,26,8,16.0,32,12,14.0,28,8,16.0,32,12,15.5,31,11,11.0,22,4,13.5,27,9
Montreux,8501300,46.435887,6.910425,12.5,25,9,16.0,32,9,15.5,31,8,15.0,30,8,15.0,30,9,10.5,21,8,15.5,31,8
Nyon,8501030,46.384429,6.23595,11.0,22,8,14.5,29,11,11.5,23,8,14.0,28,12,11.5,23,10,7.0,14,4,10.5,21,9
Genève-Eaux-Vives,8516273,46.201461,6.166549,9.5,19,0,12.5,25,0,12.0,24,0,13.0,26,0,12.5,25,0,8.0,16,0,10.0,20,0
Genève-Champel,8516272,46.192208,6.153473,9.5,19,0,12.5,25,0,12.0,24,0,13.0,26,0,12.5,25,0,8.0,16,0,10.0,20,0
Lancy-Bachet,8517142,46.174342,6.12934,9.5,19,0,12.5,25,0,12.0,24,0,13.0,26,0,12.5,25,0,8.0,16,0,10.0,20,0
Lancy-Pont-Rouge,8516155,46.18596,6.124929,9.0,18,0,12.0,24,0,12.0,24,0,13.0,26,0,12.5,25,0,8.5,17,0,10.0,20,0
Palézieux,8504014,46.542766,6.83786,10.5,21,3,11.5,23,4,11.0,22,4,12.0,24,4,11.0,22,4,10.0,20,4,10.0,20,4
"Aubonne, gare",8501870,46.493844,6.39294,6.0,12,0,11.0,22,0,10.0,20,0,10.5,21,0,9.0,18,0,4.5,9,0,7.5,15,0
Coppet,8501023,46.317405,6.187806,7.5,15,0,9.5,19,0,8.0,16,0,8.5,17,0,8.0,16,0,8.0,16,0,8.0,16,0
Bussigny,8501117,46.547597,6.551814,9.0,18,0,9.0,18,0,9.0,18,0,9.0,18,0,9.0,18,0,9.0,18,0,8.0,16,0
Prilly-Malley,8518452,46.526697,6.602624,9.0,18,0,9.0,18,0,9.0,18,0,9.0,18,0,9.0,18,0,9.0,18,0,8.0,16,0
