station_name,station_id,lat_wgs84,lon_wgs84,slot,date,window,departures,trains_per_hour,ic_ir,regional,categories
"Vernier, Blandonnet",8587924,46.221936,6.097217,late_night,2026-03-02,21:00-23:00,77,38.5,0,0,"{""T"": 37, ""B"": 40}"
Lausanne,8501120,46.516795,6.629087,late_night,2026-03-02,21:00-23:00,44,22.0,14,30,"{""RE"": 4, ""R"": 24, ""IC"": 6, ""IR"": 8, ""S"": 2}"
Renens VD,8501118,46.537046,6.57892,late_night,2026-03-02,21:00-23:00,46,23.0,12,34,"{""IR"": 3, ""R"": 26, ""RE"": 8, ""IC"": 9}"
Genève,8501008,46.210228,6.142435,late_night,2026-03-02,21:00-23:00,34,17.0,6,28,"{""R"": 20, ""IR"": 5, ""RE"": 8, ""IC"": 1}"
Vevey,8501200,46.463002,6.84343,late_night,2026-03-02,21:00-23:00,29,14.5,8,21,"{""IR"": 7, ""R"": 20, ""RE"": 1, ""EC"": 1}"
Aigle,8501400,46.316856,6.96367,late_night,2026-03-02,21:00-23:00,20,10.0,8,12,"{""RE"": 1, ""IR"": 7, ""R"": 11, ""EC"": 1}"
Morges,8501037,46.511102,6.493958,late_night,2026-03-02,21:00-23:00,22,11.0,4,18,"{""IR"": 4, ""R"": 10, ""RE"": 8}"
Montreux,8501300,46.435887,6.910425,late_night,2026-03-02,21:00-23:00,21,10.5,8,13,"{""R"": 12, ""RE"": 1, ""IR"": 7, ""EC"": 1}"
Nyon,8501030,46.384429,6.23595,late_night,2026-03-02,21:00-23:00,14,7.0,4,10,"{""RE"": 8, ""IR"": 4, ""R"": 2}"
Genève-Eaux-Vives,8516273,46.201461,6.166549,late_night,2026-03-02,21:00-23:00,16,8.0,0,16,"{""R"": 16}"
Genève-Champel,8516272,46.192208,6.153473,late_night,2026-03-02,21:00-23:00,16,8.0,0,16,"{""R"": 16}"
Lancy-Bachet,8517142,46.174342,6.12934,late_night,2026-03-02,21:00-23:00,16,8.0,0,16,"{""R"": 16}"
