station_name,station_id,lat_wgs84,lon_wgs84,slot,date,window,departures,trains_per_hour,ic_ir,regional,categories
"Vernier, Blandonnet",8587924,46.221936,6.097217,weekend_mid,2026-03-07,11:00-13:00,111,55.5,0,0,"{""B"": 54, ""T"": 57}"
Lausanne,8501120,46.516795,6.629087,weekend_mid,2026-03-07,11:00-13:00,53,26.5,21,32,"{""RE"": 8, ""R"": 22, ""IC"": 8, ""IR"": 12, ""S"": 2, ""EC"": 1}"
Renens VD,8501118,46.537046,6.57892,weekend_mid,2026-03-07,11:00-13:00,51,25.5,19,32,"{""IR"": 7, ""R"": 24, ""RE"": 8, ""IC"": 12}"
Genève,8501008,46.210228,6.142435,weekend_mid,2026-03-07,11:00-13:00,48,24.0,18,28,"{""R"": 20, ""IR"": 13, ""RE"": 8, ""IC"": 4, ""TER"": 2, ""TGV"": 1}"
Vevey,8501200,46.463002,6.84343,weekend_mid,2026-03-07,11:00-13:00,34,17.0,8,26,"{""IR"": 8, ""R"": 18, ""RE"": 8}"
Aigle,8501400,46.316856,6.96367,weekend_mid,2026-03-07,11:00-13:00,32,16.0,8,24,"{""RE"": 8, ""R"": 16, ""IR"": 8}"
Morges,8501037,46.511102,6.493958,weekend_mid,2026-03-07,11:00-13:00,27,13.5,9,18,"{""IR"": 9, ""R"": 10, ""RE"": 8}"
Montreux,8501300,46.435887,6.910425,weekend_mid,2026-03-07,11:00-13:00,31,15.5,8,20,"{""R"": 12, ""RE"": 8, ""IR"": 7, ""EC"": 1, ""PE"": 3}"
Nyon,8501030,46.384429,6.23595,weekend_mid,2026-03-07,11:00-13:00,21,10.5,9,12,"{""RE"": 8, ""IR"": 9, ""R"": 4}"
Genève-Eaux-Vives,8516273,46.201461,6.166549,weekend_mid,2026-03-07,11:00-13:00,20,10.0,0,20,"{""R"": 16, ""RE"": 4}"
Genève-Champel,8516272,46.192208,6.153473,weekend_mid,2026-03-07,11:00-13:00,20,10.0,0,20,"{""R"": 16, ""RE"": 4}"
Lancy-Bachet,8517142,46.174342,6.12934,weekend_mid,2026-03-07,11:00-13:00,20,10.0,0,20,"{""RE"": 4, ""R"": 16}"
Lancy-Pont-Rouge,8516155,46.18596,6.124929,weekend_mid,2026-03-07,11:00-13:00,20,10.0,0,20,"{""RE"": 4, ""R"": 16}"
Palézieux,8504014,46.542766,6.83786,weekend_mid,2026-03-07,11:00-13:00,20,10.0,4,16,"{""IR"": 4, ""R"": 10, ""S"": 6}"
"Aubonne, gare",8501870,46.493844,6.39294,weekend_mid,2026-03-07,11:00-13:00,15,7.5,0,0,"{""B"": 15}"
Coppet,8501023,46.317405,6.187806,weekend_mid,2026-03-07,11:00-13:00,16,8.0,0,16,"{""R"": 8, ""RE"": 8}"
Bussigny,8501117,46.547597,6.551814,weekend_mid,2026-03-07,11:00-13:00,16,8.0,0,16,"{""R"": 16}"
Prilly-Malley,8518452,46.526697,6.602624,weekend_mid,2026-03-07,11:00-13:00,16,8.0,0,16,"{""R"": 16}"
Cully,8501124,46.488565,6.727141,weekend_mid,2026-03-07,11:00-13:00,16,8.0,0,16,"{""R"": 16}"
"Begnins, poste",8501851,46.440225,6.247701,weekend_mid,2026-03-07,11:00-13:00,10,5.0,0,0,"{""B"": 10}"
Genève-Sécheron,8516283,46.222452,6.144542,weekend_mid,2026-03-07,11:00-13:00,16,8.0,0,16,"{""R"": 16}"
Genthod-Bellevue,8501021,46.256747,6.153947,weekend_mid,2026-03-07,11:00-13:00,16,8.0,0,16,"{""R"": 16}"
Versoix,8501022,46.279741,6.165718,weekend_mid,2026-03-07,11:00-13:00,16,8.0,0,16,"{""R"": 16}"
Tannay,8501015,46.307659,6.181097,weekend_mid,2026-03-07,11:00-13:00,16,8.0,0,16,"{""R"": 16}"
Mies,8501014,46.298503,6.167641,weekend_mid,2026-03-07,11:00-13:00,16,8.0,0,16,"{""R"": 16}"
Villeneuve VD,8501303,46.398369,6.926992,weekend_mid,2026-03-07,11:00-13:00,16,8.0,0,16,"{""RE"": 8, ""R"": 8}"
Bex,8501402,46.251462,7.000653,weekend_mid,2026-03-07,11:00-13:00,14,7.0,0,14,"{""RE"": 8, ""R"": 6}"
Gland,8501031,46.419998,6.269128,weekend_mid,2026-03-07,11:00-13:00,9,4.5,1,8,"{""RE"": 8, ""IR"": 1}"
Allaman,8501035,46.47576,6.399683,weekend_mid,2026-03-07,11:00-13:00,12,6.0,0,12,"{""R"": 4, ""RE"": 8}"
Puidoux,8504012,46.493838,6.76568,weekend_mid,2026-03-07,11:00-13:00,12,6.0,0,12,"{""S"": 4, ""R"": 8}"
"Prangins, Les Abériaux",8595589,46.393015,6.254119,weekend_mid,2026-03-07,11:00-13:00,8,4.0,0,0,"{""B"": 8}"
Genève-Aéroport,8501026,46.232547,6.111969,weekend_mid,2026-03-07,11:00-13:00,10,5.0,8,2,"{""IR"": 6, ""IC"": 2, ""RE"": 2}"
Rolle,8501033,46.462757,6.336387,weekend_mid,2026-03-07,11:00-13:00,8,4.0,0,8,"{""RE"": 8}"
Grandvaux,8504011,46.496948,6.722641,weekend_mid,2026-03-07,11:00-13:00,8,4.0,0,8,"{""S"": 4, ""R"": 4}"
St-Prex,8501036,46.482324,6.455897,weekend_mid,2026-03-07,11:00-13:00,8,4.0,0,8,"{""R"": 8}"
Lonay-Préverenges,8501048,46.523141,6.519527,weekend_mid,2026-03-07,11:00-13:00,8,4.0,0,8,"{""R"": 8}"
Lausanne-Flon,8501181,46.520798,6.63033,weekend_mid,2026-03-07,11:00-13:00,8,4.0,0,8,"{""R"": 8}"
La Conversion,8504010,46.513087,6.678307,weekend_mid,2026-03-07,11:00-13:00,8,4.0,0,8,"{""S"": 4, ""R"": 4}"
La Tour-de-Peilz,8501201,46.455457,6.859523,weekend_mid,2026-03-07,11:00-13:00,8,4.0,0,8,"{""R"": 8}"
Burier,8501202,46.447889,6.877108,weekend_mid,2026-03-07,11:00-13:00,8,4.0,0,8,"{""R"": 8}"
Clarens,8501203,46.442736,6.895771,weekend_mid,2026-03-07,11:00-13:00,8,4.0,0,8,"{""R"": 8}"
"Founex, est",8588666,46.334766,6.19494,weekend_mid,2026-03-07,11:00-13:00,4,2.0,0,0,"{""B"": 4}"
Rivaz,8501126,46.474211,6.784583,weekend_mid,2026-03-07,11:00-13:00,4,2.0,0,4,"{""R"": 4}"
"Perroy, Couronnette",8570039,46.463879,6.352911,weekend_mid,2026-03-07,11:00-13:00,3,1.5,0,0,"{""B"": 3}"
Epesses,8501125,46.489333,6.745157,weekend_mid,2026-03-07,11:00-13:00,4,2.0,0,4,"{""R"": 4}"
Denges-Echandens,8501045,46.529129,6.54049,weekend_mid,2026-03-07,11:00-13:00,4,2.0,0,4,"{""R"": 4}"
Bossière,8504003,46.509753,6.699305,weekend_mid,2026-03-07,11:00-13:00,4,2.0,0,4,"{""S"": 4}"
Territet,8501301,46.426381,6.922695,weekend_mid,2026-03-07,11:00-13:00,4,2.0,0,4,"{""R"": 4}"
"St-Saphorin (Lavaux), gare",8510135,46.472696,6.79809,weekend_mid,2026-03-07,11:00-13:00,0,0.0,0,0,{}
