name,station_id,lat_wgs84,lon_wgs84,total_departures_2h,trains_per_hour,ic_ir_departures,regional_departures,metro_tram_departures,other_departures,has_capacity_data,capacity_coverage_pct,avg_occupancy_1st,avg_occupancy_2nd,workability_1st,workability_2nd,category_breakdown,operators,sample_destinations,query_date
Lancy-Pont-Rouge,8516155,46.18596,6.124929,62,31.0,0,62,0,0,False,0.0,,,,,R:42; RE:20,SBB,Annemasse; Coppet; Martigny; St-Maurice; Vernier,2026-03-02 07:00
Cully,8501124,46.488565,6.727141,62,31.0,0,62,0,0,False,0.0,,,,,R:62,SBB,Bex; Grandson; Le Brassus; St-Maurice; Vallorbe; Vevey,2026-03-02 07:00
Coppet,8501023,46.317405,6.187806,61,30.5,0,61,0,0,False,0.0,,,,,R:29; RE:32,SBB,Annemasse; Etoy; Genève; Martigny; St-Maurice,2026-03-02 07:00
"Aubonne, gare",8501870,46.493844,6.39294,61,30.5,0,0,0,61,False,0.0,,,,,B:61,PAG,"Allaman, gare; Etoy, collège Les Communaux; Gimel, La Vernette; Lavigny, café; Rolle, gare nord; Yens, gare",2026-03-02 07:00
Lausanne,8501120,46.516795,6.629087,61,30.5,23,38,0,0,False,0.0,,,,,EC:1; IC:8; IR:13; R:25; RE:11; S:2; TGV:1,SBB,Annemasse; Basel SBB; Bex; Brig; Genève-Aéroport; Grandson; Martigny; Payerne; Rorschach; St-Maurice,2026-03-02 07:00
Rivaz,8501126,46.474211,6.784583,61,30.5,0,61,0,0,False,0.0,,,,,R:61,SBB,Grandson; Le Brassus; St-Maurice; Vallorbe; Vevey,2026-03-02 07:00
Vevey,8501200,46.463002,6.84343,61,30.5,14,47,0,0,False,0.0,,,,,IR:14; R:35; RE:12,MVR-cev; SBB,Annemasse; Blonay; Brig; Genève-Aéroport; Grandson; Le Brassus; Les Pléiades; Martigny; St-Maurice; Vallorbe,2026-03-02 07:00
Bex,8501402,46.251462,7.000653,61,30.5,0,61,0,0,False,0.0,,,,,R:27; RE:34,SBB; TPC,Annemasse; Grandson; Martigny; St-Maurice; Villars-sur-Ollon,2026-03-02 07:00
Genève,8501008,46.210228,6.142435,60,30.0,24,35,0,1,False,0.0,,,,,EC:1; IC:4; IR:18; R:25; RE:10; TER:1; TGV:1,SBB,Annemasse; Bellegarde-sur-Valserine; Brig; Coppet; Genève-Aéroport; La Plaine; Luzern; Martigny; St-Maurice; St. Gallen,2026-03-02 07:00
Genève-Sécheron,8516283,46.222452,6.144542,60,30.0,0,60,0,0,False,0.0,,,,,R:60,SBB,Annemasse; Coppet,2026-03-02 07:00
Genève-Aéroport,8501026,46.232547,6.111969,60,30.0,60,0,0,0,False,0.0,,,,,IC:15; IR:45,SBB,Brig; Luzern; Neuchâtel; St. Gallen,2026-03-02 07:00
Genève-Eaux-Vives,8516273,46.201461,6.166549,60,30.0,0,60,0,0,False,0.0,,,,,R:42; RE:18,SBB,Annemasse; Coppet; Lancy-Pont-Rouge; Martigny; St-Maurice; Vernier,2026-03-02 07:00
