station_name,station_id,lat_wgs84,lon_wgs84,slot,date,window,departures,trains_per_hour,ic_ir,regional,categories
"Vernier, Blandonnet",8587924,46.221936,6.097217,am_peak,2026-03-02,07:00-09:00,168,84.0,0,0,"{""B"": 95, ""T"": 73}"
Lausanne,8501120,46.516795,6.629087,am_peak,2026-03-02,07:00-09:00,57,28.5,23,34,"{""RE"": 8, ""R"": 24, ""IC"": 8, ""IR"": 13, ""TGV"": 1, ""S"": 2, ""EC"": 1}"
Renens VD,8501118,46.537046,6.57892,am_peak,2026-03-02,07:00-09:00,53,26.5,19,34,"{""IR"": 7, ""R"": 26, ""RE"": 8, ""IC"": 12}"
Genève,8501008,46.210228,6.142435,am_peak,2026-03-02,07:00-09:00,50,25.0,21,28,"{""R"": 20, ""IR"": 15, ""RE"": 8, ""TER"": 1, ""EC"": 1, ""IC"": 4, ""TGV"": 1}"
Vevey,8501200,46.463002,6.84343,am_peak,2026-03-02,07:00-09:00,40,20.0,8,32,"{""IR"": 8, ""R"": 24, ""RE"": 8}"
Aigle,8501400,46.316856,6.96367,am_peak,2026-03-02,07:00-09:00,33,16.5,8,25,"{""RE"": 8, ""R"": 17, ""IR"": 8}"
Morges,8501037,46.511102,6.493958,am_peak,2026-03-02,07:00-09:00,32,16.0,12,20,"{""IR"": 12, ""R"": 12, ""RE"": 8}"
Montreux,8501300,46.435887,6.910425,am_peak,2026-03-02,07:00-09:00,32,16.0,9,20,"{""R"": 12, ""RE"": 8, ""IR"": 8, ""PE"": 3, ""EC"": 1}"
Nyon,8501030,46.384429,6.23595,am_peak,2026-03-02,07:00-09:00,29,14.5,11,18,"{""RE"": 10, ""IR"": 11, ""R"": 8}"
Genève-Eaux-Vives,8516273,46.201461,6.166549,am_peak,2026-03-02,07:00-09:00,25,12.5,0,25,"{""R"": 17, ""RE"": 8}"
Genève-Champel,8516272,46.192208,6.153473,am_peak,2026-03-02,07:00-09:00,25,12.5,0,25,"{""R"": 17, ""RE"": 8}"
Lancy-Bachet,8517142,46.174342,6.12934,am_peak,2026-03-02,07:00-09:00,25,12.5,0,25,"{""RE"": 8, ""R"": 17}"
Lancy-Pont-Rouge,8516155,46.18596,6.124929,am_peak,2026-03-02,07:00-09:00,24,12.0,0,24,"{""RE"": 8, ""R"": 16}"
Palézieux,8504014,46.542766,6.83786,am_peak,2026-03-02,07:00-09:00,23,11.5,4,19,"{""IR"": 4, ""R"": 11, ""S"": 8}"
"Aubonne, gare",8501870,46.493844,6.39294,am_peak,2026-03-02,07:00-09:00,22,11.0,0,0,"{""B"": 22}"
Coppet,8501023,46.317405,6.187806,am_peak,2026-03-02,07:00-09:00,19,9.5,0,19,"{""RE"": 11, ""R"": 8}"
Bussigny,8501117,46.547597,6.551814,am_peak,2026-03-02,07:00-09:00,18,9.0,0,18,"{""R"": 18}"
Prilly-Malley,8518452,46.526697,6.602624,am_peak,2026-03-02,07:00-09:00,18,9.0,0,18,"{""R"": 18}"
Cully,8501124,46.488565,6.727141,am_peak,2026-03-02,07:00-09:00,18,9.0,0,18,"{""R"": 18}"
"Begnins, poste",8501851,46.440225,6.247701,am_peak,2026-03-02,07:00-09:00,17,8.5,0,0,"{""B"": 17}"
Genève-Sécheron,8516283,46.222452,6.144542,am_peak,2026-03-02,07:00-09:00,16,8.0,0,16,"{""R"": 16}"
Genthod-Bellevue,8501021,46.256747,6.153947,am_peak,2026-03-02,07:00-09:00,16,8.0,0,16,"{""R"": 16}"
Versoix,8501022,46.279741,6.165718,am_peak,2026-03-02,07:00-09:00,16,8.0,0,16,"{""R"": 16}"
Tannay,8501015,46.307659,6.181097,am_peak,2026-03-02,07:00-09:00,16,8.0,0,16,"{""R"": 16}"
Mies,8501014,46.298503,6.167641,am_peak,2026-03-02,07:00-09:00,16,8.0,0,16,"{""R"": 16}"
Villeneuve VD,8501303,46.398369,6.926992,am_peak,2026-03-02,07:00-09:00,16,8.0,0,16,"{""RE"": 8, ""R"": 8}"
Bex,8501402,46.251462,7.000653,am_peak,2026-03-02,07:00-09:00,15,7.5,0,15,"{""RE"": 8, ""R"": 7}"
Gland,8501031,46.419998,6.269128,am_peak,2026-03-02,07:00-09:00,13,6.5,4,9,"{""RE"": 9, ""IR"": 4}"
Allaman,8501035,46.47576,6.399683,am_peak,2026-03-02,07:00-09:00,12,6.0,0,12,"{""R"": 4, ""RE"": 8}"
Puidoux,8504012,46.493838,6.76568,am_peak,2026-03-02,07:00-09:00,12,6.0,0,12,"{""S"": 4, ""R"": 8}"
"Prangins, Les Abériaux",8595589,46.393015,6.254119,am_peak,2026-03-02,07:00-09:00,11,5.5,0,0,"{""B"": 11}"
Genève-Aéroport,8501026,46.232547,6.111969,am_peak,2026-03-02,07:00-09:00,9,4.5,9,0,"{""IR"": 7, ""IC"": 2}"
Rolle,8501033,46.462757,6.336387,am_peak,2026-03-02,07:00-09:00,9,4.5,0,9,"{""RE"": 9}"
Grandvaux,8504011,46.496948,6.722641,am_peak,2026-03-02,07:00-09:00,9,4.5,0,9,"{""S"": 5, ""R"": 4}"
St-Prex,8501036,46.482324,6.455897,am_peak,2026-03-02,07:00-09:00,8,4.0,0,8,"{""R"": 8}"
Lonay-Préverenges,8501048,46.523141,6.519527,am_peak,2026-03-02,07:00-09:00,8,4.0,0,8,"{""R"": 8}"
Lausanne-Flon,8501181,46.520798,6.63033,am_peak,2026-03-02,07:00-09:00,8,4.0,0,8,"{""R"": 8}"
La Conversion,8504010,46.513087,6.678307,am_peak,2026-03-02,07:00-09:00,8,4.0,0,8,"{""S"": 4, ""R"": 4}"
La Tour-de-Peilz,8501201,46.455457,6.859523,am_peak,2026-03-02,07:00-09:00,8,4.0,0,8,"{""R"": 8}"
Burier,8501202,46.447889,6.877108,am_peak,2026-03-02,07:00-09:00,8,4.0,0,8,"{""R"": 8}"
Clarens,8501203,46.442736,6.895771,am_peak,2026-03-02,07:00-09:00,8,4.0,0,8,"{""R"": 8}"
"Founex, est",8588666,46.334766,6.19494,am_peak,2026-03-02,07:00-09:00,7,3.5,0,0,"{""B"": 7}"
Rivaz,8501126,46.474211,6.784583,am_peak,2026-03-02,07:00-09:00,7,3.5,0,7,"{""R"": 7}"
"Perroy, Couronnette",8570039,46.463879,6.352911,am_peak,2026-03-02,07:00-09:00,6,3.0,0,0,"{""B"": 6}"
