id,name,amenity_type,corridor_segment,zone,opening_hours,closes,lat_wgs84,lon_wgs84,E_LV95,N_LV95,source
1,New Navy Bar,bar,Geneva,Geneva,"Tu-Th 09:00-01:00, Mo 17:00-01:00, Fr 09:00-02:00, Sa 17:00-02:00",past 2am,46.1997457,6.1484877,2500415.57,1117297.01,OSM/manual
2,La Buvette de l'Ilôt 13,bar,Geneva,Geneva,"Mo 08:00-14:00, Tu-Th 08:00-14:00,16:00-23:00, Fr 08:00-14:00,16:00-24:00, Sa 16:00-24:00",past midnight,46.2118046,6.1417741,2499919.6,1118645.91,OSM/manual
3,Marius,bar,Geneva,Geneva,Mo-Fr 17:00-01:00,past 1am,46.1913887,6.1446074,2500100.74,1116373.06,OSM/manual
4,La Petite Reine,bar,Geneva,Geneva,"Mo-Tu 11:00-00:00, We-Th 11:00-01:00, Sa 17:00-02:00",past 2am,46.1984266,6.1411404,2499846.07,1117159.76,OSM/manual
5,Java Club,bar,Geneva,Geneva,Th-Sa 23:00-04:00,past 3am,46.208255,6.1509808,2500623.54,1118239.65,OSM/manual
6,Scandale,bar,Geneva,Geneva,Mo-We 11:30-23:00; Th-Fr 11:30-00:00; Sa 18:30-00:00,past midnight,46.2112116,6.1449141,2500160.8,1118575.99,OSM/manual
7,L'Apothicaire Cocktail Club,bar,Geneva,Geneva,Tu-Sa 18:00-02:00,past 2am,46.2028383,6.1398513,2499754.71,1117651.77,OSM/manual
8,Lady Godiva,bar,Geneva,Geneva,"Mo-Th 17:00-24:00, Fr 17:00-01:00, Sa 13:00-01:00, Su 13:00-24:00",past 1am,46.1942413,6.1409373,2499822.69,1116694.82,OSM/manual
9,Little Barrel,bar,Geneva,Geneva,Mo-Th 17:00-01:00; Fr-Sa 19:00-02:00,past 2am,46.2041772,6.157633,2501129.47,1117777.99,OSM/manual
10,OH NO LULU !,bar,Geneva,Geneva,"Su-Th 16:00-02:00, Fr,Sa 16:00-04:00",past 3am,46.2030434,6.1398323,2499753.62,1117674.59,OSM/manual
11,BDG Club,bar,Geneva,Geneva,"Tu-Th 17:00-02:00, Fr,Sa 17:00-04:00, Su 07:00-02:00",past 3am,46.2095548,6.1392041,2499717.14,1118399.13,OSM/manual
12,L'atelier Cocktail Club,bar,Geneva,Geneva,We 10:00-01:00; Tu 17:00-00:00; Th-Sa 17:00-02:00,past 2am,46.2031934,6.1584646,2501191.86,1117667.59,OSM/manual
13,La Taverne,bar,Geneva,Geneva,Mo-Th 08:30-24:00; Fr 08:30-01:00; Sa 14:00-01:00,past 1am,46.2093259,6.140562,2499821.5,1118371.95,OSM/manual
14,Coffee LYB,bar,Geneva,Geneva,"Mo 18:45-01:00, Tu-Th 16:45-01:00, Fr,Sa 16:00-02:00, Su 16:00-01:00",past 2am,46.2092884,6.138611,2499670.88,1118370.28,OSM/manual
15,S'Beer bar,bar,Geneva,Geneva,Tu-Sa 10:00-00:45; Mo 16:30-24:00,past midnight,46.2436968,6.0943036,2496317.46,1122252.45,OSM/manual
16,La Barje,bar,Geneva,Geneva,Mo-Fr 11:00-00:00; Sa 12:00-00:00; Su 12:00-23:00,past midnight,46.2047401,6.1388383,2499680.03,1117864.45,OSM/manual
17,FMR - Funky Monkey Room,bar,Geneva,Geneva,"Mo-Fr 09:00-01:00, Sa 17:00-04:00, Su 18:00-02:00",past 3am,46.2033277,6.1357288,2499437.45,1117711.45,OSM/manual
18,La Buvette du Bateau,bar,Geneva,Geneva,Tu-Sa 16:30-00:00; Su 11:30-15:30,past midnight,46.2049645,6.1541453,2500861.74,1117869.9,OSM/manual
19,Le Verre à Monique,bar,Geneva,Geneva,Tu-Sa 17:00-24:00+,past midnight,46.1998652,6.1380222,2499608.06,1117323.65,OSM/manual
20,La Jonquille,bar,Geneva,Geneva,"Tu,We 12:00-01:00, Th,Fr 12:00-02:00, Sa 17:00-02:00",past 2am,46.2029991,6.1347376,2499360.35,1117676.19,OSM/manual
21,Le Phare,bar,Geneva,Geneva,"Mo-Th 15:00-01:00, Fr,Sa 15:00-02:00, Su 15:00-24:00",past 2am,46.2073825,6.1438914,2500074.85,1118151.69,OSM/manual
22,Vert Bouteille,bar,Geneva,Geneva,Mo-Fr 17:00-02:00; Sa 12:00-02:00,past 2am,46.1852876,6.1423897,2499918.33,1115697.76,OSM/manual
23,Café Métis,bar,Geneva,Geneva,"Mo 11:30-15:00,17:00-23:00; Tu 11:30-15:00,17:00-24:00; We-Th-Fr 11:30-15:00,17:00-26:00; Sa 17:00-26:00",past 2am,46.1967909,6.1382718,2499621.65,1116981.62,OSM/manual
24,Bar du Nord,bar,Geneva,Geneva,Mo-Fr 17:00-02:00; Sa 00:00-24:00,past 2am,46.1809642,6.1404731,2499762.4,1115219.66,OSM/manual
25,La Paillote (Geneva),bar,Geneva,Geneva,Mo-Su 07:30-00:00,past midnight,46.2116827,6.1531569,2500797.71,1118617.89,OSM/manual
26,La Muse Gueule,bar,Geneva,Geneva,"Mo,Tu 10:00-14:30,17:00-22:30; We 10:00-14:30,17:00-23:00; Th-Sa 10:00-14:30,17:00-02:00",past 2am,46.1997638,6.1394979,2499721.76,1117310.49,OSM/manual
27,L'Alambic (Geneva),bar,Geneva,Geneva,"Mo-Fr 10:00-24:00, Sa 15:00-02:00, Su 15:00-24:00",past 2am,46.2089361,6.1478364,2500382.13,1118319.35,OSM/manual
28,Bar Ernest,bar,Geneva,Geneva,"Tu,We 17:00-24:00, Th 17:00-01:00, Fr,Sa 17:00-02:00",past 2am,46.200219,6.1297366,2498969.23,1117373.62,OSM/manual
29,Nico & Co.,bar,Geneva,Geneva,Mo-Tu 17:00-00:00; We 17:00-01:00; Th-Sa 17:00-02:00; Su 17:00-23:00,past 2am,46.2047538,6.1459737,2500230.72,1117856.86,OSM/manual
30,Floky la loutre,bar,Geneva,Geneva,"Tu,We 15:00-24:00, Th,Fr 15:00-01:00, Sa 17:00-01:00",past 1am,46.1945462,6.1433787,2500011.7,1116725.59,OSM/manual
31,Le Derby,bar,Geneva,Geneva,"Mo-Fr 07:00-24:00, Sa,Su 09:00-24:00",past midnight,46.2139774,6.1337408,2499303.74,1118897.71,OSM/manual
32,Luis Bar à Tapas,bar,Geneva,Geneva,"Mo-We 16:00-01:00, Th,Fr 16:00-02:00, Sa 08:00-02:00, Su 08:00-24:00",past 2am,46.2098245,6.1378248,2499611.2,1118430.88,OSM/manual
33,Le Lagoon,bar,Geneva,Geneva,Mo-Fr 07:00-01:00,past 1am,46.2063392,6.1415958,2499895.78,1118038.66,OSM/manual
34,Le Déclic,bar,Geneva,Geneva,"Tu-Th 17:00-01:00, Fr 17:00-04:00, Sa 21:00-04:00",past 3am,46.1951911,6.1424369,2499940.19,1116798.47,OSM/manual
35,Mademoiselle Fifi,bar,Geneva,Geneva,"Mo-We 17:00-24:00, Th 17:00-01:00, Fr 17:00-02:00",past 2am,46.2106345,6.1389671,2499700.84,1118519.45,OSM/manual
