station_name,station_id,lat_wgs84,lon_wgs84,first_train_weekday,last_train_weekday,service_window_weekday_hrs,first_train_weekend,last_train_weekend,service_window_weekend_hrs
"Vernier, Blandonnet",8587924,46.221936,6.097217,04:04,00:46,20.7,04:05,01:14,21.1
Lausanne,8501120,46.516795,6.629087,04:38,00:34,19.9,04:38,01:21,20.7
Renens VD,8501118,46.537046,6.57892,04:46,01:14,20.5,04:46,01:28,20.7
Genève,8501008,46.210228,6.142435,04:00,01:18,21.3,04:00,01:06,21.1
Vevey,8501200,46.463002,6.84343,05:01,01:04,20.1,05:01,01:15,20.2
Aigle,8501400,46.316856,6.96367,04:49,00:38,19.8,04:49,01:06,20.3
Morges,8501037,46.511102,6.493958,04:01,01:07,21.1,04:01,01:16,21.2
Montreux,8501300,46.435887,6.910425,04:43,00:56,20.2,04:43,01:20,20.6
Nyon,8501030,46.384429,6.23595,04:23,01:05,20.7,04:23,01:25,21.0
Genève-Eaux-Vives,8516273,46.201461,6.166549,04:04,01:17,21.2,04:04,01:22,21.3
Genève-Champel,8516272,46.192208,6.153473,04:07,01:13,21.1,04:07,01:18,21.2
Lancy-Bachet,8517142,46.174342,6.12934,04:10,01:10,21.0,04:10,01:15,21.1
Lancy-Pont-Rouge,8516155,46.18596,6.124929,04:07,01:07,21.0,04:07,01:12,21.1
Palézieux,8504014,46.542766,6.83786,04:48,00:48,20.0,04:25,01:17,20.9
"Aubonne, gare",8501870,46.493844,6.39294,05:23,00:23,19.0,05:35,01:09,19.6
Coppet,8501023,46.317405,6.187806,04:18,01:13,20.9,04:06,23:47,19.7
Bussigny,8501117,46.547597,6.551814,04:48,00:55,20.1,04:48,01:25,20.6
Prilly-Malley,8518452,46.526697,6.602624,04:42,01:00,20.3,04:42,01:24,20.7
Cully,8501124,46.488565,6.727141,05:05,01:15,20.2,05:05,01:20,20.2
"Begnins, poste",8501851,46.440225,6.247701,05:41,01:11,19.5,05:41,01:17,19.6
Genève-Sécheron,8516283,46.222452,6.144542,04:03,01:03,21.0,04:03,00:18,20.2
Genthod-Bellevue,8501021,46.256747,6.153947,04:11,01:11,21.0,04:11,00:26,20.2
Versoix,8501022,46.279741,6.165718,04:17,01:17,21.0,04:17,00:32,20.2
Tannay,8501015,46.307659,6.181097,04:24,01:24,21.0,04:24,00:39,20.2
Mies,8501014,46.298503,6.167641,04:22,01:22,21.0,04:22,00:37,20.2
Villeneuve VD,8501303,46.398369,6.926992,04:57,00:51,19.9,04:57,00:58,20.0
Bex,8501402,46.251462,7.000653,05:04,23:56,18.9,04:44,01:12,20.5
Gland,8501031,46.419998,6.269128,04:18,01:00,20.7,04:18,01:29,21.2
Allaman,8501035,46.47576,6.399683,04:09,01:00,20.9,04:09,01:11,21.0
Puidoux,8504012,46.493838,6.76568,05:03,00:55,19.9,04:55,01:24,20.5
"Prangins, Les Abériaux",8595589,46.393015,6.254119,05:43,00:12,18.5,05:43,00:12,18.5
Genève-Aéroport,8501026,46.232547,6.111969,04:58,00:19,19.4,05:14,23:59,18.8
Rolle,8501033,46.462757,6.336387,04:13,00:56,20.7,04:13,01:15,21.0
Grandvaux,8504011,46.496948,6.722641,04:59,01:00,20.0,04:59,01:25,20.4
St-Prex,8501036,46.482324,6.455897,05:07,00:51,19.7,05:07,01:07,20.0
Lonay-Préverenges,8501048,46.523141,6.519527,05:07,01:04,19.9,05:07,01:15,20.1
Lausanne-Flon,8501181,46.520798,6.63033,05:40,00:36,18.9,05:55,00:36,18.7
La Conversion,8504010,46.513087,6.678307,04:54,01:05,20.2,04:54,01:26,20.5
La Tour-de-Peilz,8501201,46.455457,6.859523,05:11,01:02,19.9,05:11,01:06,19.9
Burier,8501202,46.447889,6.877108,05:09,01:00,19.9,05:09,01:04,19.9
Clarens,8501203,46.442736,6.895771,05:07,00:58,19.9,05:07,01:02,19.9
"Founex, est",8588666,46.334766,6.19494,05:17,00:31,19.2,05:35,00:56,19.4
Rivaz,8501126,46.474211,6.784583,05:06,01:10,20.1,05:06,01:14,20.1
"Perroy, Couronnette",8570039,46.463879,6.352911,05:39,23:43,18.1,06:39,00:43,18.1
Epesses,8501125,46.489333,6.745157,05:10,01:13,20.1,05:10,01:18,20.1
Denges-Echandens,8501045,46.529129,6.54049,05:16,00:42,19.4,05:16,01:17,20.0
Bossière,8504003,46.509753,6.699305,04:56,01:03,20.1,04:56,01:29,20.6
Territet,8501301,46.426381,6.922695,05:01,00:56,19.9,05:01,00:58,19.9
"St-Saphorin (Lavaux), gare",8510135,46.472696,6.79809,,,0.0,,,0.0
