station,station_id,straight_km_from_geneva,rail_km_est_from_geneva,price_full_from_gva,price_halbtax_from_gva,ga_daily_cost,cost_ratio_vs_ga,trains_per_hour,within_chf10,within_chf15,within_chf20,lat_wgs84,lon_wgs84
Genève,8501008,0.0,0.0,3.6,1.8,10.58,0.3,25.0,yes,yes,yes,46.210228,6.142435
Genève-Sécheron,8516283,1.4,1.4,3.6,1.8,10.58,0.3,8.0,yes,yes,yes,46.222452,6.144542
Genève-Eaux-Vives,8516273,2.1,2.2,3.6,1.8,10.58,0.3,12.5,yes,yes,yes,46.201461,6.166549
Genève-Champel,8516272,2.2,2.3,3.6,1.8,10.58,0.3,12.5,yes,yes,yes,46.192208,6.153473
Lancy-Pont-Rouge,8516155,3.0,3.2,3.73,1.86,10.58,0.4,12.0,yes,yes,yes,46.18596,6.124929
Genève-Aéroport,8501026,3.4,3.6,4.07,2.04,10.58,0.4,4.5,yes,yes,yes,46.232547,6.111969
"Vernier, Blandonnet",8587924,3.7,3.9,4.32,2.16,10.58,0.4,84.0,yes,yes,yes,46.221936,6.097217
Lancy-Bachet,8517142,4.1,4.3,4.66,2.33,10.58,0.4,12.5,yes,yes,yes,46.174342,6.12934
Genthod-Bellevue,8501021,5.2,5.5,5.61,2.81,10.58,0.5,8.0,yes,yes,yes,46.256747,6.153947
Versoix,8501022,7.9,8.3,7.28,3.64,10.58,0.7,8.0,yes,yes,yes,46.279741,6.165718
Mies,8501014,10.0,10.5,8.48,4.24,10.58,0.8,8.0,yes,yes,yes,46.298503,6.167641
Tannay,8501015,11.2,11.8,9.19,4.59,10.58,0.9,8.0,yes,yes,yes,46.307659,6.181097
Coppet,8501023,12.4,13.0,9.87,4.93,10.58,0.9,9.5,yes,yes,yes,46.317405,6.187806
"Founex, est",8588666,14.4,15.1,11.01,5.5,10.58,1.0,3.5,no,yes,yes,46.334766,6.19494
Nyon,8501030,20.7,21.7,13.63,6.82,10.58,1.3,14.5,no,yes,yes,46.384429,6.23595
"Prangins, Les Abériaux",8595589,22.1,23.2,14.22,7.11,10.58,1.3,5.5,no,yes,yes,46.393015,6.254119
Gland,8501031,25.3,26.5,15.56,7.78,10.58,1.5,6.5,no,no,yes,46.419998,6.269128
"Begnins, poste",8501851,26.8,28.2,16.22,8.11,10.58,1.5,8.5,no,no,yes,46.440225,6.247701
Rolle,8501033,31.8,33.4,17.79,8.89,10.58,1.7,4.5,no,no,yes,46.462757,6.336387
"Perroy, Couronnette",8570039,32.5,34.1,17.98,8.99,10.58,1.7,3.0,no,no,yes,46.463879,6.352911
Allaman,8501035,35.5,37.3,18.77,9.38,10.58,1.8,6.0,no,no,yes,46.47576,6.399683
"Aubonne, gare",8501870,36.9,38.8,19.15,9.57,10.58,1.8,11.0,no,no,yes,46.493844,6.39294
St-Prex,8501036,38.7,40.6,19.6,9.8,10.58,1.9,4.0,no,no,yes,46.482324,6.455897
Morges,8501037,43.0,45.1,20.73,10.37,10.58,2.0,16.0,no,no,no,46.511102,6.493958
