from_station,to_station,time_slot,departure_time,arrival_time,duration_min,num_sections,primary_category,line_name,intermediate_stops,stops_per_10min,has_transfer,transfer_station,transfer_wait_min,comfort_score,workability_class
Allaman,Morges,12:00,2026-03-03T12:03:00+0100,2026-03-03T12:11:00+0100,8.0,1,R,024843,2,2.5,False,,0,1,MARGINAL
Allaman,Morges,12:00,2026-03-03T12:10:00+0100,2026-03-03T12:15:00+0100,5.0,1,RE,018469,0,0.0,False,,0,2,NOT_WORKABLE
Allaman,Morges,12:00,2026-03-03T12:33:00+0100,2026-03-03T12:41:00+0100,8.0,1,R,024945,2,2.5,False,,0,1,MARGINAL
Allaman,Morges,12:00,2026-03-03T12:40:00+0100,2026-03-03T12:45:00+0100,5.0,1,RE,018417,0,0.0,False,,0,2,NOT_WORKABLE
Allaman,Morges,12:00,2026-03-03T13:03:00+0100,2026-03-03T13:11:00+0100,8.0,1,R,024847,2,2.5,False,,0,1,MARGINAL
Allaman,Morges,12:00,2026-03-03T13:10:00+0100,2026-03-03T13:15:00+0100,5.0,1,RE,018471,0,0.0,False,,0,2,NOT_WORKABLE
Allaman,Morges,20:00,2026-03-03T20:03:00+0100,2026-03-03T20:11:00+0100,8.0,1,R,024881,2,2.5,False,,0,1,MARGINAL
Allaman,Morges,20:00,2026-03-03T20:10:00+0100,2026-03-03T20:15:00+0100,5.0,1,RE,018485,0,0.0,False,,0,2,NOT_WORKABLE
Allaman,Morges,20:00,2026-03-03T20:33:00+0100,2026-03-03T20:41:00+0100,8.0,1,R,024983,2,2.5,False,,0,1,MARGINAL
Allaman,Morges,20:00,2026-03-03T20:40:00+0100,2026-03-03T20:45:00+0100,5.0,1,RE,018433,0,0.0,False,,0,2,NOT_WORKABLE
Allaman,Morges,20:00,2026-03-03T21:03:00+0100,2026-03-03T21:11:00+0100,8.0,1,R,024885,2,2.5,False,,0,1,MARGINAL
Allaman,Morges,20:00,2026-03-03T21:10:00+0100,2026-03-03T21:15:00+0100,5.0,1,RE,018487,0,0.0,False,,0,2,NOT_WORKABLE
Bussigny,Renens VD,08:00,2026-03-03T08:11:00+0100,2026-03-03T08:15:00+0100,4.0,1,R,024223,0,0.0,False,,0,1,NOT_WORKABLE
Bussigny,Renens VD,08:00,2026-03-03T08:22:00+0100,2026-03-03T08:25:00+0100,3.0,1,R,024423,0,0.0,False,,0,1,NOT_WORKABLE
Bussigny,Renens VD,08:00,2026-03-03T08:41:00+0100,2026-03-03T08:45:00+0100,4.0,1,R,024125,0,0.0,False,,0,1,NOT_WORKABLE
Bussigny,Renens VD,08:00,2026-03-03T08:52:00+0100,2026-03-03T08:55:00+0100,3.0,1,R,024325,0,0.0,False,,0,1,NOT_WORKABLE
Bussigny,Renens VD,08:00,2026-03-03T09:11:00+0100,2026-03-03T09:15:00+0100,4.0,1,R,024227,0,0.0,False,,0,1,NOT_WORKABLE
