station_name,lat_wgs84,lon_wgs84,n_modes,modal_shannon,modes,has_longdist,has_boat,has_metro,has_funicular,has_narrow_gauge,has_tram,has_shared_bikes,religious_shannon,station_richness_1000m,trains_per_hour,note
Aigle,46.316856,6.96367,5,1.609,CFF_regional|CFF_longdist|regional_bus|narrow_gauge|shared_bikes,1,0,0,0,1,0,1,0.0,1,16.5,IR. TPC: 3 narrow gauge lines
Allaman,46.47576,6.399683,2,0.693,CFF_regional|regional_bus,0,0,0,0,0,0,0,0.0,4,6.0,Limited bus
"Aubonne, gare",46.493844,6.39294,2,0.693,CFF_regional|regional_bus,0,0,0,0,0,0,0,0.562,14,11.0,MBC bus
"Begnins, poste",46.440225,6.247701,2,0.693,CFF_regional|regional_bus,0,0,0,0,0,0,0,0.0,7,8.5,Bus stop
Bex,46.251462,7.000653,3,1.099,CFF_regional|regional_bus|narrow_gauge,0,0,0,0,1,0,0,0.0,1,7.5,BVB to Villars. CarPostal
Bossière,46.509753,6.699305,1,0.0,CFF_regional,0,0,0,0,0,0,0,0.0,1,2.0,"Minimal, 2 tr/hr"
Burier,46.447889,6.877108,1,0.0,CFF_regional,0,0,0,0,0,0,0,0.693,4,4.0,Minimal halt
Bussigny,46.547597,6.551814,2,0.693,CFF_regional|regional_bus,0,0,0,0,0,0,0,0.0,3,9.0,Junction station
Clarens,46.442736,6.895771,2,0.693,CFF_regional|urban_bus,0,0,0,0,0,0,0,1.667,21,4.0,VMCV bus
Coppet,46.317405,6.187806,3,1.099,CFF_regional|regional_bus|CGN_boat,0,1,0,0,0,0,0,0.0,21,9.5,"CGN ~300m, CarPostal"
Cully,46.488565,6.727141,3,1.099,CFF_regional|regional_bus|CGN_boat,0,1,0,0,0,0,0,0.562,20,9.0,CGN landing. Bus
Denges-Echandens,46.529129,6.54049,1,0.0,CFF_regional,0,0,0,0,0,0,0,0.693,1,2.0,"Minimal, 2 tr/hr"
Epesses,46.489333,6.745157,1,0.0,CFF_regional,0,0,0,0,0,0,0,0.0,6,3.0,Minimal Lavaux halt
"Founex, est",46.334766,6.19494,1,0.0,CFF_regional,0,0,0,0,0,0,0,0.0,1,3.5,Minimal halt
Genthod-Bellevue,46.256747,6.153947,2,0.693,CFF_regional|urban_bus,0,0,0,0,0,0,0,0.0,10,8.0,TPG bus 25
Genève,46.210228,6.142435,7,1.946,CFF_regional|CFF_longdist|leman_express|tram|urban_bus|CGN_boat|shared_bikes,1,1,0,0,0,1,1,1.703,115,25.0,"Main hub. TPG tram+bus, CGN ~800m, PubliBike"
Genève-Aéroport,46.232547,6.111969,5,1.609,CFF_regional|CFF_longdist|leman_express|urban_bus|shared_bikes,1,0,0,0,0,0,1,1.33,7,4.5,Airport. TPG bus.
Genève-Champel,46.192208,6.153473,3,1.099,CFF_regional|leman_express|urban_bus,0,0,0,0,0,0,0,2.123,127,12.5,CEVA line. TPG bus
Genève-Eaux-Vives,46.201461,6.166549,5,1.609,CFF_regional|leman_express|tram|urban_bus|shared_bikes,0,0,0,0,0,1,1,1.936,59,12.5,CEVA. TPG tram 12
Genève-Sécheron,46.222452,6.144542,3,1.099,CFF_regional|leman_express|urban_bus,0,0,0,0,0,0,0,0.956,23,8.0,Near intl orgs. TPG bus
Gland,46.419998,6.269128,3,1.099,CFF_regional|regional_bus|shared_bikes,0,0,0,0,0,0,1,1.56,27,6.5,PubliBike
Grandvaux,46.496948,6.722641,2,0.693,CFF_regional|regional_bus,0,0,0,0,0,0,0,0.562,16,4.5,Bus to Lavaux villages
