station_name,lat_wgs84,lon_wgs84,trains_per_hour,gig_work_500m,gig_work_1000m,hospitals_500m,hospitals_1000m,private_clinics_500m,private_clinics_1000m,gp_doctors_500m,gp_doctors_1000m,specialists_500m,specialists_1000m,industrial_zones_500m,industrial_zones_1000m,industrial_companies_500m,industrial_companies_1000m,schools_500m,schools_1000m,grocery_stores_500m,grocery_stores_1000m,acoustic_points_500m,acoustic_points_1000m,uhi_high_500m,uhi_high_1000m,uhi_medium_500m,uhi_medium_1000m,uhi_low_500m,uhi_low_1000m,thermal_comfort_500m,thermal_comfort_1000m,restaurants_500m,restaurants_1000m,informal_learning_500m,informal_learning_1000m,rooftops_500m,rooftops_1000m,healthcare_total_500m,healthcare_total_1000m,religious_total_500m,religious_total_1000m,religious_denominations_1000m,religious_denominations_list,religious_shannon_diversity,station_richness_1000m
"Vernier, Blandonnet",46.221936,6.097217,84.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,5,buddhist; evangelical; muslim; other; protestant,1.55,7
Lausanne,46.516795,6.629087,28.5,0,1,0,5,1,11,2,8,16,56,0,0,0,0,0,5,6,14,2,2,3,4,0,1,0,1,1,7,13,26,10,25,2,4,19,80,19,50,9,buddhist; christian; esoteric; evangelical; hindu; jewish; muslim; orthodox; protestant,1.955,250
Renens VD,46.537046,6.57892,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,10,3,christian; evangelical; muslim,0.898,15
Genève,46.210228,6.142435,25.0,1,2,0,0,0,5,0,4,10,17,0,0,0,0,4,9,6,14,1,2,3,4,0,0,0,1,0,3,6,15,3,10,1,3,10,26,23,38,8,buddhist; christian; esoteric; evangelical; jewish; muslim; other; protestant,1.703,115
Vevey,46.463002,6.84343,20.0,5,5,3,3,5,5,5,5,0,0,0,1,0,0,1,3,5,7,2,3,1,1,0,0,1,1,0,0,11,13,11,11,4,4,13,13,14,25,7,buddhist; christian; esoteric; evangelical; muslim; orthodox; protestant,1.731,75
Aigle,46.316856,6.96367,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,evangelical,0.0,1
Morges,46.511102,6.493958,16.0,2,4,2,2,1,1,4,5,0,1,0,0,0,0,0,4,3,4,1,2,0,0,2,2,1,1,1,1,3,11,2,8,2,2,7,9,6,10,5,buddhist; christian; evangelical; hindu; protestant,1.359,57
Montreux,46.435887,6.910425,16.0,4,5,3,3,1,1,4,7,0,0,0,1,0,0,1,1,1,4,1,3,0,0,0,0,0,1,0,0,5,8,6,6,2,3,8,11,7,12,4,christian; evangelical; muslim; protestant,1.237,54
Nyon,46.384429,6.23595,14.5,4,4,0,1,2,2,4,6,1,1,0,0,0,0,2,3,2,3,2,4,1,1,0,1,0,0,0,1,7,10,8,8,2,2,7,10,10,11,6,christian; esoteric; evangelical; hindu; muslim; protestant,1.54,57
Genève-Eaux-Vives,46.201461,6.166549,12.5,0,1,0,0,1,2,0,2,1,18,0,0,0,0,1,4,0,4,0,0,0,1,0,0,1,1,0,1,0,0,0,2,0,1,2,22,11,24,8,buddhist; christian; esoteric; evangelical; jewish; muslim; other; protestant,1.936,59
