name,lat_wgs84,lon_wgs84,trains_per_hour,ic,ir,ec,re,tgv,r_s,pe,workable_trains,total_trains,work_pct,verdict
"Vernier, Blandonnet",46.221936,6.097217,84.0,0,0,0,0,0,0,0,0,0,0,NO_WORK_TRAIN
Lausanne,46.516795,6.629087,28.5,8,13,1,8,1,26,0,31,57,54,mixed
Renens VD,46.537046,6.57892,26.5,12,7,0,8,0,26,0,27,53,51,mixed
Genève,46.210228,6.142435,25.0,4,15,1,8,1,20,0,29,50,58,mixed
Vevey,46.463002,6.84343,20.0,0,8,0,8,0,24,0,16,40,40,mixed
Aigle,46.316856,6.96367,16.5,0,8,0,8,0,17,0,16,33,48,mixed
Morges,46.511102,6.493958,16.0,0,12,0,8,0,12,0,20,32,62,PRIME
Montreux,46.435887,6.910425,16.0,0,8,1,8,0,12,3,17,32,53,mixed
Nyon,46.384429,6.23595,14.5,0,11,0,10,0,8,0,21,29,72,PRIME
Genève-Eaux-Vives,46.201461,6.166549,12.5,0,0,0,8,0,17,0,8,25,32,mixed
Genève-Champel,46.192208,6.153473,12.5,0,0,0,8,0,17,0,8,25,32,mixed
Lancy-Bachet,46.174342,6.12934,12.5,0,0,0,8,0,17,0,8,25,32,mixed
Lancy-Pont-Rouge,46.18596,6.124929,12.0,0,0,0,8,0,16,0,8,24,33,mixed
Palézieux,46.542766,6.83786,11.5,0,4,0,0,0,19,0,4,23,17,mostly_stop
"Aubonne, gare",46.493844,6.39294,11.0,0,0,0,0,0,0,0,0,0,0,NO_WORK_TRAIN
Coppet,46.317405,6.187806,9.5,0,0,0,11,0,8,0,11,19,58,mixed
Bussigny,46.547597,6.551814,9.0,0,0,0,0,0,18,0,0,18,0,NO_WORK_TRAIN
Prilly-Malley,46.526697,6.602624,9.0,0,0,0,0,0,18,0,0,18,0,NO_WORK_TRAIN
Cully,46.488565,6.727141,9.0,0,0,0,0,0,18,0,0,18,0,NO_WORK_TRAIN
"Begnins, poste",46.440225,6.247701,8.5,0,0,0,0,0,0,0,0,0,0,NO_WORK_TRAIN
Genève-Sécheron,46.222452,6.144542,8.0,0,0,0,0,0,16,0,0,16,0,NO_WORK_TRAIN
Genthod-Bellevue,46.256747,6.153947,8.0,0,0,0,0,0,16,0,0,16,0,NO_WORK_TRAIN
Versoix,46.279741,6.165718,8.0,0,0,0,0,0,16,0,0,16,0,NO_WORK_TRAIN
Tannay,46.307659,6.181097,8.0,0,0,0,0,0,16,0,0,16,0,NO_WORK_TRAIN
Mies,46.298503,6.167641,8.0,0,0,0,0,0,16,0,0,16,0,NO_WORK_TRAIN
Villeneuve VD,46.398369,6.926992,8.0,0,0,0,8,0,8,0,8,16,50,mixed
Bex,46.251462,7.000653,7.5,0,0,0,8,0,7,0,8,15,53,mixed
Gland,46.419998,6.269128,6.5,0,4,0,9,0,0,0,13,13,100,PRIME
Allaman,46.47576,6.399683,6.0,0,0,0,8,0,4,0,8,12,67,PRIME
Puidoux,46.493838,6.76568,6.0,0,0,0,0,0,12,0,0,12,0,NO_WORK_TRAIN
"Prangins, Les Abériaux",46.393015,6.254119,5.5,0,0,0,0,0,0,0,0,0,0,NO_WORK_TRAIN
Genève-Aéroport,46.232547,6.111969,4.5,2,7,0,0,0,0,0,9,9,100,PRIME
Rolle,46.462757,6.336387,4.5,0,0,0,9,0,0,0,9,9,100,PRIME
Grandvaux,46.496948,6.722641,4.5,0,0,0,0,0,9,0,0,9,0,NO_WORK_TRAIN
St-Prex,46.482324,6.455897,4.0,0,0,0,0,0,8,0,0,8,0,NO_WORK_TRAIN
Lonay-Préverenges,46.523141,6.519527,4.0,0,0,0,0,0,8,0,0,8,0,NO_WORK_TRAIN
Lausanne-Flon,46.520798,6.63033,4.0,0,0,0,0,0,8,0,0,8,0,NO_WORK_TRAIN
La Conversion,46.513087,6.678307,4.0,0,0,0,0,0,8,0,0,8,0,NO_WORK_TRAIN
La Tour-de-Peilz,46.455457,6.859523,4.0,0,0,0,0,0,8,0,0,8,0,NO_WORK_TRAIN
Burier,46.447889,6.877108,4.0,0,0,0,0,0,8,0,0,8,0,NO_WORK_TRAIN
Clarens,46.442736,6.895771,4.0,0,0,0,0,0,8,0,0,8,0,NO_WORK_TRAIN
"Founex, est",46.334766,6.19494,3.5,0,0,0,0,0,0,0,0,0,0,NO_WORK_TRAIN
Rivaz,46.474211,6.784583,3.5,0,0,0,0,0,7,0,0,7,0,NO_WORK_TRAIN
"Perroy, Couronnette",46.463879,6.352911,3.0,0,0,0,0,0,0,0,0,0,0,NO_WORK_TRAIN
Epesses,46.489333,6.745157,3.0,0,0,0,0,0,6,0,0,6,0,NO_WORK_TRAIN
Denges-Echandens,46.529129,6.54049,2.0,0,0,0,0,0,4,0,0,4,0,NO_WORK_TRAIN
Bossière,46.509753,6.699305,2.0,0,0,0,0,0,4,0,0,4,0,NO_WORK_TRAIN
Territet,46.426381,6.922695,2.0,0,0,0,0,0,4,0,0,4,0,NO_WORK_TRAIN
"St-Saphorin (Lavaux), gare",46.472696,6.79809,0.0,0,0,0,0,0,0,0,0,0,0,NO_WORK_TRAIN
