name,lat_wgs84,lon_wgs84,place_type,google_rating,google_review_count,address,municipality,google_place_id,nearest_train_station,distance_to_train_m,trains_per_hour,daily_ridership,commuter_index,nearest_ev_charger_m,nearest_ev_charge_level,ev_chargers_within_1km,nearest_shared_mobility_m,nearest_shared_mobility_provider,shared_mobility_within_500m,nearest_wifi_m,nearest_wifi_quality,cell_towers_within_500m,has_5g_nearby,hours_score,early_open,late_close,weekend_open,review_count,work_relevant_review_count,positive_review_pct
Voisins de Collex-Bossy,46.2719,6.1261,coworking,4.9,8,"Route de l'Etraz 3, 1239 Collex-Bossy",Collex-Bossy,ChIJ7cJ4KLlljEcR9RhehjJ5fAo,Genthod-Bellevue,2724.2,8.0,1700.0,2.17,1868.2,medium,0,120.4,carvelo2go,1,4478.6,4.0,0,False,0.0,False,False,False,2,2,1.0
Voisins Saint-Gervais,46.2072,6.1401,coworking,4.3,93,"Boulevard James-Fazy 8, 1201 Genève",Genève,ChIJU8HQbyhljEcRHWTLyOs9eFY,Genève,381.6,25.0,80600.0,1.49,174.1,medium,8,38.9,donkey_ge,83,0.0,3.0,59,True,0.0,False,False,False,2,1,0.5
Boréal Coffee Shop,46.2035,6.1409,café,4.4,1572,"Rue du Stand 60, 1204 Genève",Genève,ChIJwVsiHtZkjEcRrt7i0fNVYkM,Genève,757.4,25.0,80600.0,1.49,243.1,medium,9,67.0,2em_cars,64,57.7,5.0,65,True,0.7,True,False,True,3,3,1.0
Signature Quartier des Banques,46.203,6.1411,coworking,4.9,214,"Place de la Synagogue 5, 1204 Genève",Genève,ChIJiy4tN25ljEcRRrnFAP3RTeU,Genève,810.3,25.0,80600.0,1.49,300.7,medium,9,29.2,donkey_ge,64,0.0,5.0,66,True,1.0,True,True,True,2,2,1.0
Impact Hub Geneva,46.2106,6.1412,coworking,4.5,158,"Rue Fendt 1, 1201 Genève",Genève,ChIJrV27k9hkjEcR0PDCsRhdGfs,Genève,103.6,25.0,80600.0,1.49,59.4,,12,12.6,carvelo2go,61,0.0,5.0,54,True,0.0,False,False,False,3,3,0.667
Open Space,46.2074,6.1417,coworking,5.0,2,"Rue de Cornavin 3, 1201 Genève",Genève,ChIJWcyxrr1ljEcRLKYjOhlsgVY,Genève,319.5,25.0,80600.0,1.49,226.2,medium,9,39.5,donkey_ge,88,125.1,3.0,61,True,1.0,True,True,True,1,1,1.0
Satellite Office Genève,46.2033,6.1434,coworking,5.0,41,"Rue de la Corraterie 5, 1204 Genève",Genève,ChIJG7KK50lljEcR1ztcCaKcsNo,Genève,773.9,25.0,80600.0,1.49,356.2,medium,10,56.9,donkey_ge,59,142.2,3.0,78,True,0.0,False,False,False,3,3,1.0
Spaces Quai de l'Ile,46.2051,6.1436,coworking,4.6,149,"Quai de l'Ile 13, 1204 Genève",Genève,ChIJz8m5UihljEcR2nYHOxpAQiE,Genève,577.2,25.0,80600.0,1.49,265.8,medium,9,86.0,2em_cars,75,0.0,5.0,76,True,1.0,True,True,True,4,3,0.75
Café Calico,46.2071,6.1436,café,4.8,436,"Rue Rousseau 15, 1201 Genève",Genève,ChIJVdktIklljEcRP9qqBbA5CqA,Genève,359.2,25.0,80600.0,1.49,305.9,medium,9,47.1,donkey_ge,84,137.3,3.0,74,True,0.5,True,False,True,1,0,1.0
Mitwit Office Genève,46.2038,6.1439,coworking,4.8,88,"Rue de la Cité 1, 1204 Genève",Genève,ChIJeyUodSlljEcRbULO_nT9-hE,Genève,723.6,25.0,80600.0,1.49,348.3,medium,10,45.3,donkey_ge,61,144.5,3.0,77,True,0.0,False,False,False,2,1,1.0
