name,google_place_id,municipality,monday,tuesday,wednesday,thursday,friday,saturday,sunday,hours_available,open_before_8am,open_after_7pm,open_saturday,open_sunday,earliest_open,latest_close,is_24h,weekday_hours_count
Voisins de Collex-Bossy,ChIJ7cJ4KLlljEcR9RhehjJ5fAo,Collex-Bossy,8:30 AM-5:00 PM,8:30 AM-5:00 PM,8:30 AM-5:00 PM,8:30 AM-5:00 PM,8:30 AM-5:00 PM,Closed,Closed,True,False,False,False,False,8.5,17.0,False,5
Boréal Coffee Shop,ChIJwVsiHtZkjEcRrt7i0fNVYkM,Genève,7:00 AM-7:00 PM,7:00 AM-7:00 PM,7:00 AM-7:00 PM,7:00 AM-7:00 PM,7:00 AM-7:00 PM,8:00 AM-7:00 PM,8:00 AM-7:00 PM,True,True,False,True,True,7.0,19.0,False,5
Impact Hub Geneva,ChIJrV27k9hkjEcR0PDCsRhdGfs,Genève,9:00 AM-6:00 PM,9:00 AM-6:00 PM,9:00 AM-6:00 PM,9:00 AM-6:00 PM,9:00 AM-6:00 PM,Closed,Closed,True,False,False,False,False,9.0,18.0,False,5
Bibliothèque municipale de la Cité,ChIJHzEjXSlljEcR6uj5ydiPCtY,Genève,Closed,10:00 AM-7:00 PM,10:00 AM-7:00 PM,10:00 AM-7:00 PM,10:00 AM-7:00 PM,10:00 AM-5:00 PM,1:00-5:00 PM,True,False,False,True,True,10.0,19.0,False,4
Café Ex Machina,ChIJtakUEdlCjEcR_ae20B1hspA,Nyon,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,9:00 AM-6:00 PM,9:00 AM-6:00 PM,True,False,False,True,True,8.0,18.0,False,5
Voisins Saint-Gervais,ChIJU8HQbyhljEcRHWTLyOs9eFY,Genève,,,,,,,,False,,,,,,,,
Signature Quartier des Banques,ChIJiy4tN25ljEcRRrnFAP3RTeU,Genève,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
Open Space,ChIJWcyxrr1ljEcRLKYjOhlsgVY,Genève,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
Satellite Office Genève,ChIJG7KK50lljEcR1ztcCaKcsNo,Genève,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,Closed,Closed,True,False,False,False,False,8.0,18.0,False,5
Spaces Quai de l'Ile,ChIJz8m5UyhljEcR2nYHOxpAQiE,Genève,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
Café Calico,ChIJVdktIklljEcRP9qqBbA5CqA,Genève,7:30 AM-6:00 PM,7:30 AM-6:00 PM,7:30 AM-6:00 PM,7:30 AM-6:00 PM,7:30 AM-6:00 PM,9:00 AM-6:00 PM,Closed,True,True,False,True,False,7.5,18.0,False,5
Mitwit Office Genève,ChIJeyUodSlljEcRbULO_nT9-hE,Genève,8:30 AM-6:00 PM,8:30 AM-6:00 PM,8:30 AM-6:00 PM,8:30 AM-6:00 PM,8:30 AM-5:30 PM,Closed,Closed,True,False,False,False,False,8.5,18.0,False,5
Voisins Plainpalais,ChIJoUvimdR6jEcROsdbgbHYnY0,Genève,,,,,,,,False,,,,,,,,
Brew Society,ChIJD54zEilljEcR_sVNRcqp1OM,Genève,9:00 AM-7:00 PM,9:00 AM-7:00 PM,9:00 AM-7:00 PM,9:00 AM-8:00 PM,9:00 AM-7:00 PM,9:00 AM-6:00 PM,Closed,True,False,True,True,False,9.0,20.0,False,5
Bibliothèque de Genève,ChIJ7d-efitljEcR72qhtiF6JRA,Genève,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-5:00 PM,Closed,True,False,True,True,False,9.0,22.0,False,5
Signature Rhone,ChIJ7RBBmAJljEcRz1kGDoK4kfQ,Genève,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
Pages & Sips,ChIJhcpRhO5ljEcRMQr5rXM2fIs,Genève,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-7:00 PM,8:00 AM-7:00 PM,8:30 AM-7:00 PM,9:00 AM-6:00 PM,True,False,False,True,True,8.0,19.0,False,5
Spaces Nations,ChIJC0IBpc9ljEcRFHgYykYd5VQ,Genève,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
Vicky's Coffee,ChIJ8-_0UTdljEcRwW_2seA7A4M,Genève,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,Closed,Closed,True,False,False,False,False,8.0,18.0,False,5
Regus Versoix Station Lakeside,ChIJe9qWFXtmjEcRlvPhInEKfNM,Versoix,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
Café Express Tea Room,ChIJT-CGE4dljEcR1xAKXaeDV2c,Genève,6:30 AM-7:00 PM,6:30 AM-7:00 PM,6:30 AM-7:00 PM,6:30 AM-7:00 PM,6:30 AM-7:00 PM,9:00 AM-5:00 PM,Closed,True,True,False,True,False,6.5,19.0,False,5
Neufdixieme,ChIJDxTkU3dmjEcRnwbEH0yZ6bI,Versoix,,,,,,,,False,,,,,,,,
Bibliothèque Marens Nyon,ChIJnVtNCH9DjEcRF-PlTfn7eHo,Nyon,,,,,,,,False,,,,,,,,
