place_name,municipality,place_type,google_place_id,review_text,tags,is_work_relevant,sentiment
Spaces Quai de l'Ile,Genève,coworking,ChIJz8m5UihljEcR2nYHOxpAQiE,"I had to rearrange a workshop for 8 people at short notice. The flexibility of Spaces was very helpful in this regard, and fortunately, they were still available. The premises of Spaces are located in the center of Geneva on the island in the Rhone and are easily accessible on foot or by public transportation. The staff was very friendly and helpful. The workshop room on the 1st floor was well-equipped with everything we needed for our workshop. The opening hours at 9 am could be a bit earlier.",mentions_community|mentions_transit|work_relevant,True,positive
Spaces Quai de l'Ile,Genève,coworking,ChIJz8m5UihljEcR2nYHOxpAQiE,"Wonderful location at the waterfront, close to the station. We very much enjoyed our event hosted at Spaces in Geneva yesterday.",mentions_lake_nature|mentions_transit,False,positive
Spaces Quai de l'Ile,Genève,coworking,ChIJz8m5UihljEcR2nYHOxpAQiE,"I love this co-working space! It is centrally located, the main floor has glass windows all around and the view is very pleasant. It's very easy to get to with the train right across from it. The community is amazing. The space is beautiful and it is great value for its location.",mentions_community|mentions_lake_nature|mentions_study|mentions_transit|work_relevant,True,positive
Spaces Quai de l'Ile,Genève,coworking,ChIJz8m5UihljEcR2nYHOxpAQiE,"Beware of their automated billing system, which will charge you for services and deposits that you don't necessarily owe. The coworking spaces are very nice and there is a good atmosphere, but the management is really terrible.",mentions_power|pain_point|work_relevant,True,mixed
Satellite Office Genève,Genève,coworking,ChIJG7KK50lljEcR1ztcCaKcsNo,"Very good ambience, quality of meeting rooms and the service provided, we truly enjoy our Association home in Satellite office.",work_relevant,True,positive
Satellite Office Genève,Genève,coworking,ChIJG7KK50lljEcR1ztcCaKcsNo,It's the best place for work and meetings in Geneva. But the most important - atmosphere and coffee!,work_relevant,True,positive
Satellite Office Genève,Genève,coworking,ChIJG7KK50lljEcR1ztcCaKcsNo,"Love this place! As I work from home most of the time, this place has been my second home. There isn't a thing that I like about this coworking space: center of Geneva, spacious, beautiful, clean and the staff is really welcoming. It's the perfect environment to focus and have some work done!",work_relevant,True,positive
Open Space,Genève,coworking,ChIJWcyxrr1ljEcRLKYjOhlsgVY,"An amazing coworking spot right next to Geneva's Cornavin train station. The space is bright, modern, and perfect for getting work done, with fast Wi-Fi and comfortable desks. The staff are welcoming, and the atmosphere is professional yet friendly.",mentions_transit|mentions_wifi|work_relevant,True,positive
Mitwit Office Genève,Genève,coworking,ChIJeyUodSlljEcRbULO_nT9-hE,"Located in the heart of Geneva, we have spent two years at Multiburo Confédérations, and we are very happy about the quality service provided during that time.",,False,positive
Mitwit Office Genève,Genève,coworking,ChIJeyUodSlljEcRbULO_nT9-hE,A very clean and quiet place for anyone who needs to work in a shared office space.,mentions_noise|work_relevant,True,positive
Spaces Nations,Genève,coworking,ChIJC0IBpc9ljEcRFHgYykYd5VQ,"Spaces Nations has been one of the most valuable places for my work since I arrived in Geneva. The location is great: easy access by public transportation, parking options, and close to the lake and the botanical garden for a quick break. Being right next to the United Nations and the city center also makes it convenient for meeting clients and partners.",mentions_lake_nature|mentions_study|mentions_transit|work_relevant,True,positive
Spaces Nations,Genève,coworking,ChIJC0IBpc9ljEcRFHgYykYd5VQ,"I couldn't recommend this Spaces highly enough. The ladies on front desk are outstanding. For me, the location is sublime - 2 minutes to the park and lake front. It's a friendly, welcoming and warm environment and I would highly recommend this Spaces to those looking for a social but productive working environment.",mentions_community|mentions_lake_nature|work_relevant,True,positive
Spaces Nations,Genève,coworking,ChIJC0IBpc9ljEcRFHgYykYd5VQ,"Cozy coworking space, perfect to settle in and focus. Location near the lake is a huge plus if you want to go on walks during breaks.",mentions_lake_nature|work_relevant,True,positive
Spaces Nations,Genève,coworking,ChIJC0IBpc9ljEcRFHgYykYd5VQ,"Strategic location. Few mins walk from the train station, the lake, and the botanical garden. Big lounge area. Ideal for co-working, small informal meetings, but also quiet enough to get the work done. Latte machine. Not all Spaces have this thing! Hidden gem: small terrace upstairs.",mentions_lake_nature|mentions_noise|mentions_transit|pain_point|work_relevant,True,positive
Signature Quartier des Banques,Genève,coworking,ChIJiy4tN25ljEcRRrnFAP3RTeU,"Excellent business center with impeccable maintenance and superb management. Professional, attentive service and pristine facilities make this an outstanding workspace choice.",mentions_transit|work_relevant,True,positive
Signature Quartier des Banques,Genève,coworking,ChIJiy4tN25ljEcRRrnFAP3RTeU,"A hidden gem in Geneva's heart, Signature by Regus. Stunning design meets top-notch service in this coworking space. Stylish work areas, friendly staff, and a perfect location make it a pleasure to work here.",work_relevant,True,positive
Signature Rhone,Genève,coworking,ChIJ7RBBmAJljEcRz1kGDoK4kfQ,"Absolutely love this coworking space! The environment is professional, welcoming, and perfect for productivity.",work_relevant,True,positive
Signature Rhone,Genève,coworking,ChIJ7RBBmAJljEcRz1kGDoK4kfQ,Beautiful offices and building. Perfectly located in Geneva.,work_relevant,True,positive
Impact Hub Geneva,Genève,coworking,ChIJrV27k9hkjEcR0PDCsRhdGfs,"Great location very near Cornavin station. Love the creative and vibrancy of the space. If you're looking for a great place to work from in the heart of Geneva or community of innovative, entrepreneurial and impact focused people, Impact Hub Geneva is the place for you.",mentions_community|mentions_study|mentions_transit|work_relevant,True,positive
Impact Hub Geneva,Genève,coworking,ChIJrV27k9hkjEcR0PDCsRhdGfs,Highly recommended and by far the friendliest co-working space in town. This is the place to go if you are looking for an easy-going and chatty community space to work near the Cornavin Train Station and with unlimited free coffee and tea.,mentions_community|mentions_study|mentions_transit|work_relevant,True,positive
Impact Hub Geneva,Genève,coworking,ChIJrV27k9hkjEcR0PDCsRhdGfs,"Nice place to gather with social entrepreneurs, lots of events. It's easy to get there but not the best silent place to work in the shared space.",mentions_community|mentions_noise|pain_point|work_relevant,True,mixed
Voisins Saint-Gervais,Genève,coworking,ChIJU8HQbyhljEcRHWTLyOs9eFY,"WiFi barely works, so had to hot spot off my phone for the day. Hard stop at 17h is inconvenient, especially for those with stakeholders in different timezones. Pretty poor value at Fr 45 for the day.",mentions_wifi|pain_point|work_relevant,True,negative
Voisins Saint-Gervais,Genève,coworking,ChIJU8HQbyhljEcRHWTLyOs9eFY,"love this space. I am here often. Any and every query is replied patiently. Love the vibe, the people - feels like a big family.",mentions_community,False,positive
Voisins Plainpalais,Genève,coworking,ChIJoUvimdR6jEcROsdbgbHYnY0,"Excellent place to work next to MAME cafe, with excellent customer service. The place is quiet, well lit and there are booths for calls. There is a toilet and a small kitchen for coffee tea and to warm food if needed.",mentions_noise|mentions_transit|pain_point|work_relevant,True,positive
Voisins Plainpalais,Genève,coworking,ChIJoUvimdR6jEcROsdbgbHYnY0,Cozy place and super nice spot for work. I recommend this place.,work_relevant,True,positive
Voisins Plainpalais,Genève,coworking,ChIJoUvimdR6jEcROsdbgbHYnY0,Great atmosphere during the day for doing something on the laptop. As pretty much everyone else is doing the same. They don't allow laptops between 12-2pm.,mentions_devices|work_relevant,True,positive
Voisins Plainpalais,Genève,coworking,ChIJoUvimdR6jEcROsdbgbHYnY0,I've been coming to Les Voisins Plainpalais for over six months now and love the place. Service is great. It's a top spot for academic/business workshops.,mentions_study|mentions_transit|work_relevant,True,positive
Pages & Sips,Genève,café,ChIJhcpRhO5ljEcRMQr5rXM2fIs,My favourite place in Geneva to read and write (and check out cute dogs). Come for the cozy atmosphere (two floors!) and check out the Christmas decorations.,,False,positive
Pages & Sips,Genève,café,ChIJhcpRhO5ljEcRMQr5rXM2fIs,A cozy coffee spot tucked inside a library. There's free wifi making it a great place to study with friends.,mentions_study|mentions_wifi|work_relevant,True,positive
Boréal Coffee Shop,Genève,café,ChIJwVsiHtZkjEcRrt7i0fNVYkM,"Vibes were amazing! Delicious food and drinks, perfect spot to work or catch up with friends.",work_relevant,True,positive
Boréal Coffee Shop,Genève,café,ChIJwVsiHtZkjEcRrt7i0fNVYkM,"All Boreal coffee shops are great. This one is a bit bigger than normal, with tables and comfy armchairs for socialising or studying. Great community vibe.",mentions_community|mentions_study|work_relevant,True,positive
Boréal Coffee Shop,Genève,café,ChIJwVsiHtZkjEcRrt7i0fNVYkM,"It's full of students working with their laptops, so I suppose it's a nice place to chill. Lots of plugs for laptops/phones. Free Wi-Fi; the password is on the counter.",mentions_devices|mentions_power|mentions_study|mentions_wifi|work_relevant,True,positive
Brew Society,Genève,café,ChIJD54zEilljEcR_sVNRcqp1OM,The coffee shop is awesome. It is in the middle of a library in 1 floor. Wifi is available.,mentions_wifi|work_relevant,True,positive
Brew Society,Genève,café,ChIJD54zEilljEcR_sVNRcqp1OM,Quality coffee bar up the spiral staircase in the bookstore. There are a bunch of tables if you're planning to stay awhile.,,False,positive
Café Calico,Genève,café,ChIJVdktIklljEcRP9qqBbA5CqA,Delicious oatmilk latte. They have plenty of seating inside and out. Relaxed vibe.,,False,positive
Bibliothèque municipale de la Cité,Genève,library,ChIJHzEjXSlljEcR6uj5ydiPCtY,Amazing that this library is open to the public. It has some tables for self-reading and studying.,mentions_study|work_relevant,True,positive
Bibliothèque municipale de la Cité,Genève,library,ChIJHzEjXSlljEcR6uj5ydiPCtY,"The largest library in town, with a great selection of books in English too and long opening hours.",,False,positive
