name,lat_wgs84,lon_wgs84,place_type,google_rating,google_review_count,address,municipality,google_place_id
Voisins de Collex-Bossy,46.2719,6.1261,coworking,4.9,8,"Route de l'Etraz 3, 1239 Collex-Bossy",Collex-Bossy,ChIJ7cJ4KLlljEcR9RhehjJ5fAo
Voisins Saint-Gervais,46.2072,6.1401,coworking,4.3,93,"Boulevard James-Fazy 8, 1201 Genève",Genève,ChIJU8HQbyhljEcRHWTLyOs9eFY
Boréal Coffee Shop,46.2035,6.1409,café,4.4,1572,"Rue du Stand 60, 1204 Genève",Genève,ChIJwVsiHtZkjEcRrt7i0fNVYkM
Signature Quartier des Banques,46.203,6.1411,coworking,4.9,214,"Place de la Synagogue 5, 1204 Genève",Genève,ChIJiy4tN25ljEcRRrnFAP3RTeU
Impact Hub Geneva,46.2106,6.1412,coworking,4.5,158,"Rue Fendt 1, 1201 Genève",Genève,ChIJrV27k9hkjEcR0PDCsRhdGfs
Open Space,46.2074,6.1417,coworking,5.0,2,"Rue de Cornavin 3, 1201 Genève",Genève,ChIJWcyxrr1ljEcRLKYjOhlsgVY
Satellite Office Genève,46.2033,6.1434,coworking,5.0,41,"Rue de la Corraterie 5, 1204 Genève",Genève,ChIJG7KK50lljEcR1ztcCaKcsNo
Spaces Quai de l'Ile,46.2051,6.1436,coworking,4.6,149,"Quai de l'Ile 13, 1204 Genève",Genève,ChIJz8m5UihljEcR2nYHOxpAQiE
Café Calico,46.2071,6.1436,café,4.8,436,"Rue Rousseau 15, 1201 Genève",Genève,ChIJVdktIklljEcRP9qqBbA5CqA
Mitwit Office Genève,46.2038,6.1439,coworking,4.8,88,"Rue de la Cité 1, 1204 Genève",Genève,ChIJeyUodSlljEcRbULO_nT9-hE
Voisins Plainpalais,46.1961,6.1443,coworking,4.4,273,"Rue des Voisins 8, 1205 Genève",Genève,ChIJoUvimdR6jEcROsdbgbHYnY0
Brew Society,46.2039,6.1447,café,4.2,62,"Rue de la Confédération 7, 1204 Genève",Genève,ChIJD54zEilljEcR_sVNRcqp1OM
Bibliothèque municipale de la Cité,46.2028,6.1451,library,4.6,244,"Place des Trois-Perdrix 5, 1204 Genève",Genève,ChIJHzEjXSlljEcR6uj5ydiPCtY
Bibliothèque de Genève,46.1989,6.1453,library,4.6,100,"Promenade des Bastions 8, 1205 Genève",Genève,ChIJ7d-efitljEcR72qhtiF6JRA
Signature Rhone,46.204,6.1455,coworking,5.0,45,"Place de la Fusterie 12, 1204 Genève",Genève,ChIJ7RBBmAJljEcRz1kGDoK4kfQ
Pages & Sips,46.2014,6.1468,café,4.5,609,"Grand-Rue 37, 1204 Genève",Genève,ChIJhcpRhO5ljEcRMQr5rXM2fIs
Spaces Nations,46.2232,6.1479,coworking,4.9,139,"Chemin des Mines 2, 1202 Genève",Genève,ChIJC0IBpc9ljEcRFHgYykYd5VQ
