code,uic,name,canton,infrastructure_manager,year,daily_avg,workday_avg,nonworkday_avg,commuter_index,transport_companies,lat_wgs84,lon_wgs84,remarks_de
LS,8501120.0,Lausanne,VD,SBB,2024,102800.0,112600.0,81000.0,1.39,"SBB, RegionAlps",46.51679183546505,6.629092303198572,
GE,8501008.0,Genève,GE,SBB,2024,80600.0,89800.0,60100.0,1.49,"SBB, RegionAlps",46.210212898757526,6.142451595144949,Einsteigende in Richtung Ausland und Aussteigende aus dem Ausland sind nur zum Teil erfasst.
VV,8501200.0,Vevey,VD,SBB,2024,25900.0,28800.0,19500.0,1.48,"MVR, RegionAlps, SBB",46.46300181065662,6.8434455982384,
REN,8501118.0,Renens VD,VD,SBB,2024,25100.0,29800.0,14600.0,2.04,"RegionAlps, SBB",46.5370424668982,6.578935338085809,
MOR,8501037.0,Morges,VD,SBB,2024,22100.0,25200.0,15200.0,1.66,"RegionAlps, SBB",46.51110119786621,6.493969500635285,Ohne MBC.
YV,8504200.0,Yverdon-les-Bains,VD,SBB,2024,19300.0,22300.0,12600.0,1.77,SBB,46.78154518698354,6.640944001506527,Ohne TRAVYS.
NY,8501030.0,Nyon,VD,SBB,2024,18800.0,22200.0,11400.0,1.95,"RegionAlps, SBB",46.384418967533634,6.235966130629612,Ohne NstCM.
MX,8501300.0,Montreux,VD,SBB,2024,18000.0,18100.0,17800.0,1.02,"MOB, MVR, RegionAlps, SBB",46.435884341120214,6.910440121305958,
GEAP,8501026.0,Genève-Aéroport,GE,SBB,2024,16300.0,15800.0,17500.0,0.9,SBB,46.23253853438607,6.111985572600153,
AIG,8501400.0,Aigle,VD,SBB,2024,11200.0,11900.0,9400.0,1.27,"RegionAlps, SBB",46.316855418598124,6.963683211861402,Ohne TPC.
GEV,8516273.0,Genève-Eaux-Vives,GE,SBB,2024,8500.0,10100.0,5100.0,1.98,SBB,46.20144540651997,6.16656958815968,
COP,8501023.0,Coppet,VD,SBB,2024,7700.0,8900.0,5000.0,1.78,SBB,46.31739357074577,6.187827380950365,
LAPR,8516155.0,Lancy-Pont-Rouge,GE,SBB,2024,7700.0,10100.0,2500.0,4.04,SBB,46.18594529978,6.12494699562807,
PAL,8504014.0,Palézieux,VD,SBB,2024,7600.0,8500.0,5700.0,1.49,"SBB, TPF",46.54276359358115,6.837875276813898,
CABA,8517142.0,Lancy-Bachet,GE,SBB,2024,7000.0,8300.0,4100.0,2.02,SBB,46.174332867914785,6.129362136669465,
GLA,8501031.0,Gland,VD,SBB,2024,6900.0,8400.0,3600.0,2.33,SBB,46.41998647124227,6.269139833631339,
CHHO,8516272.0,Genève-Champel,GE,SBB,2024,6100.0,7600.0,2700.0,2.81,SBB,46.1921933443026,6.153498724140746,
PAY,8504134.0,Payerne,VD,SBB,2024,6100.0,7200.0,3500.0,2.06,"BLS, SBB",46.81964995917924,6.939884923199121,
