name,station_id,lat_wgs84,lon_wgs84,departures_7to9,trains_per_hour,avg_wait_minutes,ic_ir_departures,regional_departures,metro_tram_departures,other_departures,category_breakdown,operators,sample_destinations,query_date
"Vernier, Blandonnet",8587924,46.221936,6.097217,168,84.0,0.7,0,0,73,95,B:95; T:73,TPG,"Bernex, Vailly; Carouge GE, Tours; Grand-Saconnex, Tunnel Routier; Meyrin, CERN; Meyrin, Gravière; Petit-Lancy, Les Esserts; Thoiry, Centre commercial; Vernier, Parfumerie; Versoix, Centre sportif; ZIMEYSA, gare",2026-03-02 07:00
Lausanne,8501120,46.516795,6.629087,57,28.5,2.1,23,34,0,0,EC:1; IC:8; IR:13; R:24; RE:8; S:2; TGV:1,SBB,Allaman; Annemasse; Basel SBB; Bex; Brig; Domodossola (I); Fribourg/Freiburg; Martigny; Rorschach; St-Maurice,2026-03-02 07:00
Renens VD,8501118,46.537046,6.57892,53,26.5,2.2,19,34,0,0,IC:12; IR:7; R:26; RE:8,SBB,Basel SBB; Bex; Brig; Genève-Aéroport; Grandson; Le Brassus; Rorschach; St. Gallen; Vallorbe; Vevey,2026-03-02 07:00
Genève,8501008,46.210228,6.142435,50,25.0,2.4,21,28,0,1,EC:1; IC:4; IR:15; R:20; RE:8; TER:1; TGV:1,SBB,Bellegarde-sur-Valserine; Brig; Coppet; Domodossola (I); Genève-Aéroport; La Plaine; Luzern; Martigny; Neuchâtel; St. Gallen,2026-03-02 07:00
Vevey,8501200,46.463002,6.84343,40,20.0,2.9,8,32,0,0,IR:8; R:24; RE:8,MVR-cev; SBB,Bex; Blonay; Brig; Genève-Aéroport; Grandson; Le Brassus; Les Pléiades; Martigny; Romont FR; Vallorbe,2026-03-02 07:00
Aigle,8501400,46.316856,6.96367,33,16.5,3.6,8,25,0,0,IR:8; R:17; RE:8,SBB; TPC,Bex; Brig; Champéry; Genève-Aéroport; Grandson; Les Diablerets; Leysin-Grand-Hôtel; Martigny; Monthey-Ville; St-Maurice,2026-03-02 07:00
Morges,8501037,46.511102,6.493958,32,16.0,3.6,12,20,0,0,IR:12; R:12; RE:8,MBC; SBB,Allaman; Bière; Brig; Genève; Genève-Aéroport; Lausanne; Luzern; Martigny; Neuchâtel; St-Maurice,2026-03-02 07:00
Montreux,8501300,46.435887,6.910425,32,16.0,3.8,9,20,0,3,EC:1; IR:8; PE:3; R:12; RE:8,MOB; MVR-mtgn; SBB,Bex; Brig; Chernex; Domodossola (I); Genève-Aéroport; Grandson; Interlaken Ost; Les Avants; Martigny; Zweisimmen,2026-03-02 07:00
Nyon,8501030,46.384429,6.23595,29,14.5,4.1,11,18,0,0,IR:11; R:8; RE:10,NStCM; SBB,Brig; Etoy; Genolier; Genève; Genève-Aéroport; La Cure; Luzern; Martigny; Neuchâtel; St-Cergue,2026-03-02 07:00
Genève-Eaux-Vives,8516273,46.201461,6.166549,25,12.5,4.8,0,25,0,0,R:17; RE:8,SBB,Annemasse; Coppet; Lancy-Pont-Rouge; Martigny; St-Maurice,2026-03-02 07:00
