stop_name,lat_wgs84,lon_wgs84,station_id,gtfs_stop_ids
"Vernier, Blandonnet",46.221936,6.097217,8587924,8587924|8587924:F|8587924:G|8587924:C|8587924:D
Lausanne,46.516795,6.629087,8501120,8501120|8501120:8|8501120:4|8501120:3|8501120:1
Renens VD,46.537046,6.57892,8501118,8501118|8501118:2|8501118:5|8501118:3|8501118:1
Genève,46.210228,6.142435,8501008,8501008|8501008:5|8501008:4|8501008:3|8501008:2
Vevey,46.463002,6.84343,8501200,8501200|8501200:1|8501200:2|8501200:4|8501200:A-D
Aigle,46.316856,6.96367,8501400,8501400|8501400:2|8501400:1|8501400:3|8501400:11
Morges,46.511102,6.493958,8501037,8501037|8501037:2|8501037:3|8501037:1|8501037:4
Montreux,46.435887,6.910425,8501300,8501300|8501300:1|8501300:3|8501300:4|8501300:7
Nyon,46.384429,6.23595,8501030,8501030|8501030:1|8501030:2|8501030:3|8501030:22
Genève-Eaux-Vives,46.201461,6.166549,8516273,8516273|8516273:1|8516273:2|8516273:
Genève-Champel,46.192208,6.153473,8516272,8516272|8516272:1|8516272:2|8516272:
Lancy-Bachet,46.174342,6.12934,8517142,8517142|8517142:1|8517142:2|8517142:
Lancy-Pont-Rouge,46.18596,6.124929,8516155,8516155|8516155:1|8516155:2|8516155:
Palézieux,46.542766,6.83786,8504014,8504014|8504014:2|8504014:1|8504014:3|8504014:CD
"Aubonne, gare",46.493844,6.39294,8501870,8501870|8501870:
Coppet,46.317405,6.187806,8501023,8501023|8501023:2|8501023:3|8501023:1|8501023:
Bussigny,46.547597,6.551814,8501117,8501117|8501117:4|8501117:3|8501117:1|8501117:
Prilly-Malley,46.526697,6.602624,8518452,8518452|8518452:2|8518452:1|8518452:3|8518452:4
Cully,46.488565,6.727141,8501124,8501124|8501124:3|8501124:1|8501124:2|8501124:
"Begnins, poste",46.440225,6.247701,8501851,8501851|8501851:
Genève-Sécheron,46.222452,6.144542,8516283,8516283|8516283:1|8516283:722
Genthod-Bellevue,46.256747,6.153947,8501021,8501021|8501021:1|8501021:
Versoix,46.279741,6.165718,8501022,8501022|8501022:3|8501022:1|8501022:2
Tannay,46.307659,6.181097,8501015,8501015|8501015:1|8501015:
Mies,46.298503,6.167641,8501014,8501014|8501014:2|8501014:1|8501014:334|8501014:434
Villeneuve VD,46.398369,6.926992,8501303,8501303|8501303:2|8501303:1|8501303:3|8501303:
Bex,46.251462,7.000653,8501402,8501402|8501402:2|8501402:1|8501402:3|8501402:0
Gland,46.419998,6.269128,8501031,8501031|8501031:3|8501031:1|8501031:
Allaman,46.47576,6.399683,8501035,8501035|8501035:2|8501035:3|8501035:1|8501035:
Puidoux,46.493838,6.76568,8504012,8504012|8504012:1|8504012:2|8504012:3|8504012:
"Prangins, Les Abériaux",46.393015,6.254119,8595589,8595589
Genève-Aéroport,46.232547,6.111969,8501026,8501026|8501026:1|8501026:2|8501026:4|8501026:3
Rolle,46.462757,6.336387,8501033,8501033|8501033:2|8501033:1|8501033:
Grandvaux,46.496948,6.722641,8504011,8504011|8504011:2|8504011:3
St-Prex,46.482324,6.455897,8501036,8501036|8501036:2|8501036:1|8501036:3|8501036:
Lonay-Préverenges,46.523141,6.519527,8501048,8501048|8501048:2|8501048:1|8501048:
Lausanne-Flon,46.520798,6.63033,8501181,8501181|8501181:1|8501181:2
La Conversion,46.513087,6.678307,8504010,8504010|8504010:2|8504010:1
La Tour-de-Peilz,46.455457,6.859523,8501201,8501201|8501201:1|8501201:2|8501201:
Burier,46.447889,6.877108,8501202,8501202|8501202:1|8501202:2|8501202:
Clarens,46.442736,6.895771,8501203,8501203|8501203:1|8501203:2|8501203:
"Founex, est",46.334766,6.19494,8588666,8588666
Rivaz,46.474211,6.784583,8501126,8501126|8501126:2|8501126:1|8501126:
"Perroy, Couronnette",46.463879,6.352911,8570039,8570039|8570039:
Epesses,46.489333,6.745157,8501125,8501125|8501125:2|8501125:1|8501125:
Denges-Echandens,46.529129,6.54049,8501045,8501045|8501045:2|8501045:1
Bossière,46.509753,6.699305,8504003,8504003|8504003:1|8504003:2
Territet,46.426381,6.922695,8501301,8501301|8501301:2|8501301:1|8501301:
"St-Saphorin (Lavaux), gare",46.472696,6.79809,8510135,8501127|8501243|8570099|8570100|8501127:2
Martigny,46.105831,7.079124,,8501500:1
St-Maurice,46.21637,7.002044,,8501403:2
