rank,title,url,organization,relevance_score,spatial_score,name_match_score,thematic_score,usability_score,matched_places,matched_themes,formats,zurich_relevant,description
1,Signalisation et stationnement,https://opendata.swiss/en/dataset/signalisation-et-stationnement,Ville de Morges,63.62,100.0,10.0,62.5,100.0,morges,"safety, transport, urban_planning","DXF, GPKG, SERVICE",False,Cadastre des infrastructures de la signalisation routière et du stationnement.
2,Stationnement,https://opendata.swiss/en/dataset/stationnement,Ville de Lausanne,57.38,100.0,10.0,37.5,100.0,lausanne,"public_space, transport","CSV, SERVICE, SHP",False,Données du stationnement public de la commune de Lausanne.  Contient les places de parcs et les zones macarons.
3,Répartition régionale gardes de l'environnement - postes,https://opendata.swiss/en/dataset/repartition-regionale-gardes-de-lenvironnement-postes,Canton de Genève,55.94,30.0,70.0,43.75,100.0,"bellevue, colovrex, genève, jussy, lancy, plan-les-ouates, trèfle-blanc","noise_environment, public_space","API, WFS",False,"REPARTITION REGIONALE DU CORPS DES GARDES DE L'ENVIRONNEMENT - POSTES Les ponctuels représentées permettent de situer les postes des gardes, positionnés sur leur adresse géoréférencées. Il existe aujo"
4,Horodateur,https://opendata.swiss/en/dataset/horodateur,Ville de Lausanne,52.69,100.0,10.0,18.75,100.0,lausanne,public_space,"CSV, SERVICE, SHP",False,Données des horodateurs de la commune de Lausanne. Contient les emplacements géographiques des horodateurs.
5,Mobilier urbain,https://opendata.swiss/en/dataset/mobilier-urbain,Ville de Lausanne,52.69,100.0,10.0,18.75,100.0,lausanne,public_space,"CSV, SERVICE, SHP",False,Données du mobilier urbain de la commune de Lausanne.  Contient les emplacements géographiques des bancs publics.
6,Hiérarchie routière,https://opendata.swiss/en/dataset/hierarchie-routiere,Ville de Lausanne,52.69,100.0,10.0,18.75,100.0,lausanne,digital,"CSV, GPKG, SERVICE",False,Hiérarchie du réseau routier digitalisée sur le jeu de données swissTLM3D (strasse).
7,Bornes de recharge disponibles pour les véhicules électriques,https://opendata.swiss/en/dataset/ladestationen,Secrétariat des tâches du système d’information à la clientèle (CFF SA),52.0,30.0,10.0,100,100.0,les bornes,"coworking, energy, transport",JSON,False,"www.je-recharge-mon-auto.ch indique en temps réel les bornes de recharge disponibles pour les véhicules électriques.  Avec l’application interactive www.je-recharge-mon-auto.ch, les exploitants de bor"
8,Collection de photographies Max van Berchem,https://opendata.swiss/en/dataset/bildersammlung-max-van-berchem1,Bibliothèque nationale suisse BN,52.0,30.0,10.0,100,100.0,genève,"coworking, population, public_space, tourism_heritage, urban_planning","CSV, JSON, ZIP",False,"Max van Berchem, né en 1863 à Genève, était un historien et orientaliste, spécialiste de l’épigraphie arabe. Il a effectué plusieurs expéditions scientifiques en Egypte, en Palestine, en Syrie et en T"
9,Refpu place stationnement (point),https://opendata.swiss/en/dataset/refpu-place-stationnement-point,Canton de Genève,52.0,30.0,10.0,100,100.0,genève,"coworking, public_space, tourism_heritage, transport, urban_planning","API, WFS",False,Le référentiel des projets urbains (RefPU) est la version numérique des plans d'affectations produits par l'autorité compétente en matière d'aménagement du territoire du canton de Genève. Pour l'heure
10,REFPU Place Stationnement Adopté (point),https://opendata.swiss/en/dataset/refpu-place-stationnement-adopte-point,Canton de Genève,52.0,30.0,10.0,100,100.0,genève,"coworking, public_space, tourism_heritage, transport, urban_planning","API, WFS",False,Le référentiel des projets urbains (RefPU) est la version numérique des plans d'affectations produits par l'autorité compétente en matière d'aménagement du territoire du canton de Genève. Pour l'heure
