id,name,operator,network,connectors,capacity,access,vehicle_type,address,municipality,lat_wgs84,lon_wgs84,E_LV95,N_LV95,source,osm_node_id,diemo_station_id,diemo_evse_ids,diemo_match_dist_m,diemo_n_evse,power_kw,charge_level,is_24h,auth_method,payment_options,accessibility_type,hotline,distance_to_lake_m,distance_to_transit_m,nearest_transit_name,distance_to_nearest_station_m,location_type,sheltered,dwell_context,ocm_id,ocm_uuid,ocm_title,ocm_status,ocm_is_operational,ocm_connection_types,ocm_max_power_kw,ocm_charging_levels,ocm_n_points,ocm_usage_type,ocm_usage_cost,ocm_is_pay_at_location,ocm_is_membership_required,ocm_is_access_key_required,ocm_operator,ocm_operator_url,ocm_general_comments,ocm_date_last_verified,ocm_match_dist_m
1,MOVE Station Bernex,MOVE,MOVE,Type 2 Outlet,4,public,car,Rue de Bernex 1901233 Bernex,Bernex,46.1786613,6.0836586,2495371.5,1115038.0,OSM,8245507656,CH*CCI*E21423,CH*CCI*E21423,41.4,1,22.0,medium,yes,Direct Payment;NFC RFID Classic;NFC RFID DESFire;REMOTE,,Paying publicly accessible,+41800292929,5746.1,3771.2,Lancy-Pont-Rouge,1886.3,street,FALSE,transit,174074,7E2460C6-C0C4-4A7C-A511-FB37928C96E9,P+R Bernex,Operational,True,CCS (Type 2); CHAdeMO; Type 2 (Tethered Connector) ,50,Level 2 : Medium (Over 2kW); Level 3:  High (Over 40kW),1,Public - Membership Required,,False,True,True,MOVE (CH),https://www.move.ch,,2021-03-15T11:01:00Z,27.8
2,EVite Station Vernier,EVite,,Type 2 Outlet,1,public,car,0 Null,Bernex,46.2255517,6.0856308,2495613.8,1120247.2,OSM,4219343926,CH*SWI*E276942,CH*SWI*E276942,56.7,1,11.0,medium,yes,NFC RFID Classic;REMOTE,Direct,Free publicly accessible,+41713881150,5088.7,776.8,Vernier-Meyrin,2064.3,surface_lot,FALSE,transit,73052,AA55F7E9-AF52-4510-977A-B1C630AE9F3F,Facchinetti Automobiles SA in Meyrin,Operational,True,CCS (Type 2); CHAdeMO; Type 2 (Socket Only),22,Level 2 : Medium (Over 2kW); Level 3:  High (Over 40kW),1,Public,Pay by credit card or subriprion,,,,(Unknown Operator),,Montag 08:00-18:00 UhrDienstag 08:00-18:00 UhrMittwoch-08:00-18:00 UhrDonners6tag 08:00-18:00 UhrFreitag08:00-18:00 UhrSamstag geschlossenSonntag geschlossen,2017-01-15T16:22:00Z,2.3
3,Electra Station Meyrin,Electra,,Type2,8,public,car,,Bernex,46.2822221,6.0893862,2496012.0,1126541.0,OSM,12521254757,,,,,150,,,,,,,8474.2,5901.8,Genève-Aéroport,3231.4,unknown,,transit,463193,6CD86DFD-44A4-4225-8E7F-4BF82E3A5827,Electra - Ornex - Fast food,Operational,True,CCS (Type 2); Type 2 (Socket Only),150,Level 2 : Medium (Over 2kW); Level 3:  High (Over 40kW),8,Public,,,,,Electra,https://www.go-electra.com,,2025-11-05T01:33:00Z,5.0
4,Type2 Station Airport area,,,Type2,4,public,car,,Bernex,46.2446779,6.095492,2496411.0,1122359.9,OSM,8454855559,,,,,,,,,,,,5721.2,1863.8,Genève-Aéroport,1560.3,unknown,,transit,,,,,,,,,,,,,,,,,,,
5,evpass Station 2,evpass,evpass,CHAdeMO+Type1+Type2+CCS,6,public,car,Chemin du Tourbillon1228 Plan-les-Ouates,Plan-les-Ouates,46.1663745,6.1024569,2496799.6,1113647.4,OSM,9861904216,806499ae-f23e-11f0-816b-42010aa40043,CH*SHE*E497*1;CH*SHE*E7523*1;CH*SHE*E498*1;CH*SHE*E7523*2;CH*SHE*E7523*3;CH*SHE*E7523*4,16.7,6,22.0,medium,no,,,Restricted access,+41225445465,5630.7,3183.5,Carouge-Bachet (CEVA),141.0,street,FALSE,transit,,,,,,,,,,,,,,,,,,,
6,Mobility Onex,Mobility,Mobility,mixed (EV fleet),1,members,car-sharing,,Onex,46.18793,6.10418,2496973.5,1116041.0,OSM,,,,,,,,,,,,,3858.3,1967.4,Lancy-Pont-Rouge,1845.4,car_sharing_hub,,transit,,,,,,,,,,,,,,,,,,,
7,Shell evpass Station,Shell,evpass,CHAdeMO+Type1+Type2+CCS,6,public,car,Chemin du Tourbillon1228 Plan-les-Ouates,Plan-les-Ouates,46.1663262,6.1042861,2496940.8,1113639.6,OSM,9861904215,806499ae-f23e-11f0-816b-42010aa40043,CH*SHE*E497*1;CH*SHE*E7523*1;CH*SHE*E498*1;CH*SHE*E7523*2;CH*SHE*E7523*3;CH*SHE*E7523*4,124.3,6,22.0,medium,no,,,Restricted access,+41225445465,5552.3,3066.2,Carouge-Bachet (CEVA),141.0,street,FALSE,transit,,,,,,,,,,,,,,,,,,,
8,Schneider Electric Station,Schneider Electric,,,2,public,car,,Plan-les-Ouates,46.2559942,6.1074903,2497357.6,1123601.9,OSM,4616586339,,,,,22,,,,,,,6208.7,2783.5,Genève-Aéroport,185.3,unknown,,transit,114930,24FFE443-A7EC-4E01-B51B-505FD0B82A40,"Ferney-Voltaire, Mairie",Operational,True,Europlug 2-Pin (CEE 7/16); Type 2 (Socket Only),22,Level 2 : Medium (Over 2kW),2,Public - Membership Required,"1€ les 20 premières minutes, puis 0,05 € par minute.",False,True,True,,,,2019-01-19T17:21:00Z,5.1
9,EVBox Station Plan-les-Ouates,EVBOX,,Type2,2,public,car,,Plan-les-Ouates,46.1651882,6.1091698,2497315.8,1113506.7,OSM,9861904214,,,,,,,,,,,,5451.1,2831.8,Carouge-Bachet (CEVA),273.3,unknown,,transit,,,,,,,,,,,,,,,,,,,
10,EVlink Station Meyrin,EVlink,,,1,public,car,,Plan-les-Ouates,46.2560079,6.1099009,2497543.5,1123600.3,OSM,7120597460,,,,,22,,,,,,,6123.5,2780.9,Genève-Aéroport,185.3,unknown,,transit,114931,3A9B0A1F-1FB0-49C1-82CC-7940E7AEB714,"Ferney-Voltaire, Centre",Operational,True,Europlug 2-Pin (CEE 7/16); Type 2 (Socket Only),22,Level 2 : Medium (Over 2kW),2,Public - Membership Required,"1 € les 20 premières minutes, puis 0,05 € par minute.",False,True,True,,,,2019-01-19T17:19:00Z,4.3
