Nom,Type_OLED,Commune,Canton,Adresse,Exploitant,lat_wgs84,lon_wgs84,Statut,Notes,Coords_Status
Carrières d'Arvel - Type A,Décharge type A (matériaux d'excavation),Villeneuve,VD,Route du Pied-des-Monts 3 - 1844 Villeneuve,Carrières d'Arvel SA,46.3884,6.9255,Actif,Source officielle vd.ch. Adresse officielle arvel.ch. Même site physique que type B. Décharge au pied de la falaise des Monts d'Arvel.,A VERIFIER - adresse officielle géocodée
Carrières d'Arvel - Type B,Décharge type B (matériaux inertes),Villeneuve,VD,Route du Pied-des-Monts 3 - 1844 Villeneuve,Carrières d'Arvel SA,46.3884,6.9255,Actif,Source officielle vd.ch. Adresse officielle arvel.ch. Même site physique que type A. Béton recyclé et matériaux inertes.,A VERIFIER - adresse officielle géocodée
Crêt du Melay,Décharge type A (matériaux d'excavation),Blonay - Saint-Légier,VD,Chemin de la Veyre-d'en-Haut - 1806 Saint-Légier-La Chiésaz,Grisoni-Zaugg SA,46.4575,6.8392,Actif,Source officielle vd.ch. Adresse succursale Grisoni-Zaugg Saint-Légier (Chemin de la Veyre-d'en-Haut). Lieu-dit Crêt du Melay.,A VERIFIER - adresse succursale exploitant
Pont-Farbel,Décharge type A (matériaux d'excavation),Prangins,VD,,Demex La Côte Sàrl,46.3908,6.2494,Actif,"Source officielle vd.ch. Lieu-dit Pont-Farbel, commune Prangins, parcelle no 178. Site le long de l'autoroute A1 (source : arrêt TC VD 2015).",A VERIFIER - estimée lieu-dit
Creusaz,Décharge type A (matériaux d'excavation),Coinsins,VD,Les Tattes - 1267 Coinsins,DEMEX La Côte Sàrl,46.3863,6.2250,Actif,"Source officielle vd.ch. Adresse siège DEMEX La Côte (les Tattes, Coinsins). Site au lieu-dit Marais de Nantouse / Creusaz, parcelle no 82, au pied des coteaux viticoles, le long de l'A1.",VERIFIEE - coordonnées siège exploitant (help.ch)
Les Vaux,Décharge type B (matériaux inertes),Eysins / Arnex-sur-Nyon,VD,,DCMI Les Vaux SA,46.37884,6.19850,Actif,"Source officielle vd.ch. Site entre Eysins et Arnex-sur-Nyon, plateau au-dessus de Nyon, proche A1. Ouvert 2013. Propriétaire : Georges Rochat (syndic Eysins). Source 24h 2019.",VERIFIEE - coordonnées utilisateur
Bois d'En-Bas,Décharge type B (matériaux inertes),"Lausanne, Jouxtens-Mézery, Crissier",VD,,Tuileries de Fribourg et Lausanne SA,46.54173,6.55950,Actif,"Source officielle vd.ch. Conditions particulières d'exploitation (*). Commune corrigée : Lausanne, Jouxtens-Mézery, Crissier (selon liste officielle).",VERIFIEE - coordonnées utilisateur
Lovaire,Décharge type B (matériaux inertes),Lausanne,VD,,Tuileries de Fribourg et Lausanne SA,46.5350,6.6081,Actif,Source officielle vd.ch.,A VERIFIER - estimée zone
Matériaux Alluvionnaires SA (MASA),Décharge type A+B (gravière / inertes),Satigny,GE,Route de la Maison-Carrée 10 - 1242 Satigny,Matériaux Alluvionnaires SA,46.2194,6.0556,Actif,RC : CHE-105.991.776. Nouveau siège depuis 2023 (ex-Vernier). Activité de tri déchets minéraux à Avusy - situation légale à surveiller.,A VERIFIER - estimée zone industrielle
Décharge cantonale Nant-de-Châtillon,Décharge cantonale (mâchefers + résidus imputrescibles),Bernex,GE,Chemin des Communaux 40 - 1233 Bernex,SIG (Services Industriels de Genève),46.1781,6.0939,Actif,Décharge cantonale GE. 2 compartiments : résidus imputrescibles + mâchefers. Co-localisée avec compostage/méthanisation Pôle Vert Châtillon. Source : sig-ge.ch,VERIFIEE - adresse officielle SIG
