Nom,Type,Opérateur,Commune,Canton,Adresse,lat_wgs84,lon_wgs84,Téléphone,Notes,Coords_Status
Retripa Vernier,Centre de tri,Retripa SA,Vernier,GE,"Chemin de l'Emeraude 5, 1214 Vernier",46.220530,6.080366,022 341 52 00,Siège GE de Retripa. Source : retripa.ch,VERIFIEE - Google Places ChIJy0fIa2pjjEcR-vDlYA0zIjA
Retripa Crissier,Centre de tri,Retripa Crissier SA,Crissier,VD,"Chemin de Mongevon 11, 1023 Crissier",46.548268,6.572200,021 637 66 66,Siège VD de Retripa. Source : retripa.ch,VERIFIEE - Google Places ChIJ3SzwVXExjEcRBKrgnMcFSMo
Retripa Collombey-Muraz,Centre de tri,Retripa Chablais SA,Collombey-le-Grand,VS,"Z.I. Bovéry 15, 1868 Collombey-le-Grand",46.282773,6.943866,024 472 76 73,"Site Chablais de Retripa. Centre voisin de recyclage ferraille/métaux : Trottet Récupération SA (groupe Barec), même zone Bovéry. Source : retripa.ch",VERIFIEE - Google Places ChIJy2eW1RW9jkcRtaX1jek-Auk
Sogetri La Praille,Centre de tri,Sogetri SA (groupe Helvetia Environnement),Carouge,GE,"Route des Jeunes 75, 1227 Carouge",46.178574,6.129901,,Métaux acceptés 7h-17h. Source officielle sogetri.ch,VERIFIEE - Google Places ChIJBZVZshh7jEcRss3SZHdoDaY
Sogetri Satigny,Centre de tri,Sogetri SA (groupe Helvetia Environnement),Satigny,GE,"Route de Satigny 44, 1242 Satigny",46.218835,6.056552,,"Lu-Ve 06h-17h30, Sa 07h-12h. Source officielle sogetri.ch",VERIFIEE - source yellowpages.net
Sogetri Compostière Rive Gauche,Centre de tri,Sogetri SA (groupe Helvetia Environnement),Corsier (GE),GE,"Route de Veigy 100, 1246 Corsier",46.261394,6.247254,,Lu-Ve 07h-12h / 13h-17h. Source officielle sogetri.ch,VERIFIEE - Google Places ChIJ41Am0dtvjEcRGOoJEwFVii4
Sogetri Tolochenaz,Centre de tri,Sogetri SA (groupe Helvetia Environnement),Tolochenaz,VD,"Chemin du Saux 7, 1131 Tolochenaz",46.500920,6.477276,,Lu-Ve 07h-12h / 13h-17h. A 2 min A1. Source officielle sogetri.ch,VERIFIEE - Google Places ChIJH-tJIHY3jEcR4C1q3uF66Zk - CORRECTION CRITIQUE: ancien point dans le lac
Sogetri Roche,Centre de tri,Sogetri SA (groupe Helvetia Environnement),Roche,VD,"Route des Vernes 2, 1852 Roche",46.363785,6.929807,,Lu-Ve 07h-12h / 12h30-16h30. Source officielle sogetri.ch,VERIFIEE - Google Places ChIJw2q-msWZjkcRyS1p-YodAqo
Tinguely Recyclage Ecublens,Centre de tri,Tinguely Recyclage SA,Ecublens,VD,"Chemin des Trois-Ponts 1, 1024 Ecublens",46.542440,6.563037,021 621 80 80,"~1000 t/mois. Ferraille, métaux, bois, incinérables. Visible depuis A1 après échangeur Crissier. Lu-Ve 07h-12h/13h-17h30. Source : tinguely.net",VERIFIEE - Google Places ChIJG17HoiExjEcReJdpbL0XlA4
Transvoirie Bussigny,Centre de tri,Transvoirie SA (groupe Helvetia Environnement),Bussigny,VD,"Route de Crissier 10, 1030 Bussigny",46.549742,6.565269,021 706 00 60,Agence VD de Transvoirie. Lu-Ve 07h-12h/13h-17h. Source : transvoirie.ch,VERIFIEE - Google Places ChIJh_XZfm8xjEcRBdnzuboU4h4
Transvoirie Satigny,Centre de tri,Transvoirie SA (groupe Helvetia Environnement),Satigny,GE,"Zone Industrielle Bois de Bay 93, 1242 Satigny",46.196667,6.049167,022 306 15 15,"Agence GE de Transvoirie. Distinct de Sogetri Satigny (Route de Satigny 44, même commune). Lu-Ve 06h-12h/13h-16h30. Source : transvoirie.ch",VERIFIEE - Google Places ChIJE5INMEBjjEcRdGZ5E8hdkus
