zone_name,lat_wgs84,lon_wgs84,E_LV95,N_LV95,UHI_category,UHI_intensity_score,description,land_use_type,population,density_per_km2,impervious_surface_pct,green_cover_pct
Chancy,46.147639,5.97888,2487219,1111733,LOW,1,"Low-density residential (309/km2), weak UHI.",Village,1664,309,15-30%,60-75%
Dardagny,46.198504,5.989049,2488109,1117372,LOW,1,"Low-density residential (213/km2), weak UHI.",Village,1828,213,15-30%,60-75%
Avully,46.167486,5.998485,2488774,1113911,LOW,1,"Low-density residential (378/km2), weak UHI.",Village,1746,378,15-30%,60-75%
Avusy,46.149561,6.008823,2489536,1111904,LOW,1,"Low-density residential (273/km2), weak UHI.",Village,1412,273,15-30%,60-75%
Russin,46.193891,6.013943,2490021,1116824,LOW,1,"Rural/village (111/km2), minimal UHI.",Rural,543,111,<15%,>75%
Cartigny,46.176132,6.030583,2491270,1114827,LOW,1,"Low-density residential (240/km2), weak UHI.",Village,1050,240,15-30%,60-75%
Laconnex,46.158927,6.03398,2491498,1112910,LOW,1,"Rural/village (184/km2), minimal UHI.",Rural,704,184,<15%,>75%
Satigny,46.214087,6.036782,2491824,1119037,LOW,1,"Low-density residential (249/km2), weak UHI.",Village,4713,249,15-30%,60-75%
Aire-la-Ville,46.190249,6.042215,2492196,1116380,LOW,1,"Low-density residential (400/km2), weak UHI.",Village,1173,400,15-30%,60-75%
Soral,46.148125,6.047319,2492507,1111691,LOW,1,"Low-density residential (320/km2), weak UHI.",Village,942,320,15-30%,60-75%
Collex-Bossy,46.279565,6.12202,2498523,1126201,LOW,1,"Low-density residential (242/km2), weak UHI.",Village,1666,242,15-30%,60-75%
Chavannes-des-Bois,46.316882,6.136659,2499720,1130330,LOW,1,"Low-density residential (464/km2), weak UHI.",Residential,983,464,15-30%,60-75%
Chavannes-de-Bogis,46.340063,6.154471,2501134,1132884,LOW,1,"Low-density residential (484/km2), weak UHI.",Residential,1384,484,15-30%,60-75%
Commugny,46.323609,6.160873,2501597,1131047,LOW,1,"Low-density residential (455/km2), weak UHI.",Residential,2973,455,15-30%,60-75%
Bogis-Bossey,46.353796,6.171597,2502477,1134389,LOW,1,"Low-density residential (404/km2), weak UHI.",Residential,991,404,15-30%,60-75%
Mies,46.299506,6.174484,2502602,1128351,LOW,1,"Low-density residential (328/km2), weak UHI.",Village,2180,328,15-30%,60-75%
Tannay,46.307227,6.181068,2503123,1129201,LOW,1,"Low-density residential (497/km2), weak UHI.",Residential,1746,497,15-30%,60-75%
Arnex-sur-Nyon,46.37291,6.189816,2503913,1136491,LOW,1,"Rural/village (132/km2), minimal UHI.",Rural,270,132,<15%,>75%
Grens,46.396628,6.191741,2504103,1139125,LOW,1,"Rural/village (153/km2), minimal UHI.",Rural,391,153,<15%,>75%
Founex,46.33313,6.197549,2504438,1132060,LOW,1,"Low-density residential (463/km2), weak UHI.",Residential,3763,463,15-30%,60-75%
Signy-Avenex,46.392652,6.20412,2505048,1138668,LOW,1,"Low-density residential (313/km2), weak UHI.",Village,608,313,15-30%,60-75%
Celigny,46.347303,6.205228,2505054,1133626,LOW,1,"Rural/village (100/km2), minimal UHI.",Rural,862,100,<15%,>75%
Crans (VD),46.358841,6.21388,2505740,1134898,LOW,1,"Low-density residential (276/km2), weak UHI.",Village,2445,276,15-30%,60-75%
Anieres,46.274713,6.233159,2507080,1125524,LOW,1,"Low-density residential (292/km2), weak UHI.",Village,2563,292,15-30%,60-75%
Choulex,46.226274,6.223822,2506277,1120151,LOW,1,"Low-density residential (315/km2), weak UHI.",Village,1232,315,15-30%,60-75%
Duillier,46.409266,6.229716,2507045,1140484,LOW,1,"Low-density residential (277/km2), weak UHI.",Village,1140,277,15-30%,60-75%
Hermance,46.293557,6.244682,2508000,1127605,LOW,1,"Low-density residential (254/km2), weak UHI.",Village,1246,254,15-30%,60-75%
Meinier,46.24302,6.23508,2507174,1121999,LOW,1,"Low-density residential (298/km2), weak UHI.",Village,2069,298,15-30%,60-75%
Coinsins,46.423373,6.237337,2507655,1142043,LOW,1,"Rural/village (178/km2), minimal UHI.",Rural,519,178,<15%,>75%
Begnins,46.446824,6.253295,2508921,1144631,LOW,1,"Low-density residential (425/km2), weak UHI.",Residential,2035,425,15-30%,60-75%
Presinge,46.218031,6.260167,2509067,1119192,LOW,1,"Rural/village (150/km2), minimal UHI.",Rural,708,150,<15%,>75%
Prangins,46.391064,6.250807,2508636,1138436,LOW,1,"Low-density residential (369/km2), weak UHI.",Village,4271,369,15-30%,60-75%
Burtigny,46.471563,6.265268,2509882,1147367,LOW,1,"Rural/village (71/km2), minimal UHI.",Rural,401,71,<15%,>75%
Gy,46.251727,6.270072,2509887,1122926,LOW,1,"Rural/village (168/km2), minimal UHI.",Rural,553,168,<15%,>75%
Jussy,46.237137,6.279097,2510559,1121294,LOW,1,"Rural/village (108/km2), minimal UHI.",Rural,1223,108,<15%,>75%
Luins,46.441474,6.275354,2510607,1144011,LOW,1,"Low-density residential (237/km2), weak UHI.",Village,633,237,15-30%,60-75%
Vinzel,46.450451,6.276984,2510747,1145007,LOW,1,"Low-density residential (352/km2), weak UHI.",Village,387,352,15-30%,60-75%
Bursins,46.45204,6.286335,2511468,1145173,LOW,1,"Low-density residential (242/km2), weak UHI.",Village,814,242,15-30%,60-75%
Saint-Oyens,46.494939,6.298241,2512452,1149928,LOW,1,"Rural/village (149/km2), minimal UHI.",Rural,457,149,<15%,>75%
