zone_name,lat_wgs84,lon_wgs84,E_LV95,N_LV95,UHI_category,UHI_intensity_score,description,land_use_type,population,density_per_km2,impervious_surface_pct,green_cover_pct
Bernex,46.178459,6.068356,2494191,1115034,MEDIUM,2,"Moderate suburb (858/km2), moderate UHI.",Suburban,11112,858,30-45%,45-60%
Perly-Certoux,46.1581,6.08786,2495658,1112745,MEDIUM,2,"Moderate suburban (1301/km2), transitional UHI.",Suburban,3304,1301,45-60%,30-45%
Confignon,46.174272,6.089001,2495777,1114541,MEDIUM,2,"Moderate suburban (1644/km2), transitional UHI.",Urban,4553,1644,45-60%,30-45%
Bardonnex,46.149022,6.118285,2497991,1111696,MEDIUM,2,"Moderate suburb (509/km2), moderate UHI.",Residential,2545,509,30-45%,45-60%
Bellevue,46.254678,6.145267,2500269,1123405,MEDIUM,2,"Moderate suburb (646/km2), moderate UHI.",Residential,4105,646,30-45%,45-60%
Troinex,46.158839,6.151062,2500541,1112745,MEDIUM,2,"Moderate suburb (917/km2), moderate UHI.",Suburban,3145,917,30-45%,45-60%
Pregny-Chambesy,46.236445,6.148708,2500501,1121374,MEDIUM,2,"Moderate suburb (680/km2), moderate UHI.",Residential,4262,680,30-45%,45-60%
Versoix,46.287922,6.15639,2501187,1127086,MEDIUM,2,"Moderate suburb (924/km2), moderate UHI.",Suburban,13996,924,30-45%,45-60%
Genthod,46.262125,6.160111,2501427,1124214,MEDIUM,2,"Moderate suburb (540/km2), moderate UHI.",Residential,2861,540,30-45%,45-60%
Veyrier,46.17164,6.166856,2501784,1114148,MEDIUM,2,"Moderate suburban (1859/km2), transitional UHI.",Urban,12085,1859,45-60%,30-45%
Crassier,46.376069,6.168075,2502246,1136869,MEDIUM,2,"Moderate suburb (628/km2), moderate UHI.",Residential,1275,628,30-45%,45-60%
Cologny,46.21764,6.185366,2503295,1119238,MEDIUM,2,"Moderate suburb (811/km2), moderate UHI.",Suburban,6027,811,30-45%,45-60%
Borex,46.380988,6.179139,2503106,1137402,MEDIUM,2,"Moderate suburb (576/km2), moderate UHI.",Residential,1146,576,30-45%,45-60%
Collonge-Bellerive,46.252171,6.198591,2504376,1123060,MEDIUM,2,"Moderate suburb (809/km2), moderate UHI.",Suburban,8643,809,30-45%,45-60%
Coppet,46.309712,6.180466,2503081,1129478,MEDIUM,2,"Moderate suburb (552/km2), moderate UHI.",Residential,3232,552,30-45%,45-60%
Vandoeuvres,46.219002,6.203649,2504708,1119367,MEDIUM,2,"Moderate suburb (686/km2), moderate UHI.",Residential,3030,686,30-45%,45-60%
Eysins,46.381127,6.204876,2505086,1137386,MEDIUM,2,"Moderate suburb (745/km2), moderate UHI.",Residential,1774,745,30-45%,45-60%
Corsier (GE),46.26588,6.219099,2505981,1124559,MEDIUM,2,"Moderate suburb (539/km2), moderate UHI.",Residential,2313,539,30-45%,45-60%
Puplinge,46.210853,6.232162,2506894,1118427,MEDIUM,2,"Moderate suburb (984/km2), moderate UHI.",Suburban,2628,984,30-45%,45-60%
Vich,46.428088,6.249385,2508589,1142553,MEDIUM,2,"Moderate suburb (763/km2), moderate UHI.",Residential,1182,763,30-45%,45-60%
Gland,46.410185,6.284297,2511243,1140523,MEDIUM,2,"Moderate suburb (810/km2), moderate UHI.",Suburban,13987,810,30-45%,45-60%
Mont-sur-Rolle,46.475388,6.336403,2515351,1147713,MEDIUM,2,"Moderate suburb (713/km2), moderate UHI.",Residential,2752,713,30-45%,45-60%
