station_name,daily_avg_passengers,workday_avg_passengers,km_along_corridor,lat_wgs84,lon_wgs84,E_LV95,N_LV95,region_segment
Genève-Cornavin,64800,72000,0,46.2102,6.1424,2499965.1,1118466.7,Geneva
Genève-Sécheron,4200,5000,2,46.2215,6.141,2499877.9,1119724.5,Geneva
Genève Eaux-Vives,9500,11000,3,46.2001,6.1597,2501281.7,1117322.1,Geneva
Versoix,3600,4200,10,46.283,6.1627,2501663.3,1126532.7,Versoix-Coppet
Coppet,3200,3800,14,46.3137,6.1927,2504029.5,1129907.9,Versoix-Coppet
Nyon,11800,13500,24,46.383,6.2375,2507598.1,1137556.8,Nyon-Gland
Gland,5200,6200,30,46.4216,6.2702,2510177.5,1141809.3,Nyon-Gland
Rolle,4800,5800,40,46.4604,6.3355,2515257.7,1146049.3,Rolle-Allaman
Allaman,1800,2200,46,46.4682,6.3965,2519954.9,1146852.1,Rolle-Allaman
Saint-Prex,1200,1400,52,46.4807,6.4532,2524327.2,1148185.2,Saint-Prex-Morges
Morges,14200,16500,58,46.5117,6.4996,2527931.4,1151587.3,Saint-Prex-Morges
Saint-Sulpice,1600,1900,63,46.5068,6.5623,2532737.2,1150986.9,Lausanne
Renens VD,18500,21000,65,46.5345,6.5784,2534006.7,1154052.3,Lausanne
Lausanne,108000,120000,70,46.5167,6.6291,2537875.5,1152032.2,Lausanne
Pully,3800,4400,74,46.5094,6.6616,2540361.5,1151195.4,Lausanne
Lutry,2400,2800,78,46.504,6.6846,2542120.9,1150577.9,Lutry-Lavaux
Cully,1800,2100,84,46.4893,6.7291,2545521.7,1148911.9,Lutry-Lavaux
Vevey,16200,18500,96,46.4601,6.8427,2554219.0,1145593.3,Vevey-La Tour-de-Peilz
La Tour-de-Peilz,2200,2600,98,46.4528,6.857,2555311.5,1144773.6,Vevey-La Tour-de-Peilz
Montreux,8900,10200,104,46.4356,6.9108,2559432.1,1142832.3,Montreux-Villeneuve
Territet,800,950,106,46.4252,6.9208,2560193.0,1141671.0,Montreux-Villeneuve
Villeneuve,2800,3300,112,46.4004,6.9282,2560743.9,1138910.5,Montreux-Villeneuve
