name,place_type,category,canton,lat_wgs84,lon_wgs84,E_LV95,N_LV95,osm_node_id
Vêt'Shop Croix-Rouge – Carouge,charity_shop_clothing,clothing,GE,46.1840,6.1494,2499270,1196189,
Vêt'Shop Croix-Rouge – Eaux-Vives,charity_shop_clothing,clothing,GE,46.2028,6.1662,2500719,1198287,
La Recyclerie – Caritas Genève (Carouge / Plainpalais),charity_shop_clothing_accessories,clothing,GE,46.1953,6.1465,2498972,1197419,
La Renfile – Caritas Genève (Perly-Certoux),charity_shop_clothing,clothing,GE,46.1488,6.1008,2495141,1192284,
Boutique Caritas Nyon,charity_shop_clothing_accessories,clothing,VD,46.3808,6.2373,2507002,1144069,
Boutique Caritas Lausanne – Rue du Tunnel,charity_shop_clothing_accessories,clothing,VD,46.5215,6.6277,2535797,1161406,
Boutique Caritas Lausanne – Avenue de Morges,charity_shop_clothing_accessories,clothing,VD,46.5297,6.5942,2533001,1162285,
Ateapic – Lausanne (Flon / Côtes-de-Montbenon),charity_shop_clothing_accessories,clothing,VD,46.5218,6.6288,2535894,1161437,
Le Point Bleu (Croix-Bleue) – Chavannes-près-Renens,charity_shop_clothing_accessories,clothing,VD,46.5327,6.5759,2531429,1162617,
Gloryland – Chavannes-près-Renens,second_hand_clothing,clothing,VD,46.5278,6.5836,2532092,1162093,
Ateapic – Morges (Rue du Sablon),charity_shop_clothing_accessories,clothing,VD,46.5099,6.4989,2525600,1160170,
Caritas Seconde Main – Vevey,charity_shop_clothing_accessories,clothing,VD,46.4618,6.8455,2556618,1155217,
Boutique Caritas Clarens – Rue des Vergers,charity_shop_clothing_accessories,clothing,VD,46.4520,6.8826,2559773,1154120,
Galetas CSP Montreux – Rue du Marché,charity_shop_clothing,clothing,VD,46.4332,6.9107,2562254,1152011,
Finest Vintage – Lausanne (Rue Caroline),vintage_clothing,clothing,VD,46.5191,6.6321,2536139,1161132,
Friperie La Paire Café – Lausanne,vintage_clothing,clothing,VD,46.5243,6.6266,2535693,1161701,
Emmaüs Genève (Les Acacias),charity_shop_furniture,furniture_accessories,GE,46.1890,6.1432,2498672,1196742,
CSP Brocante La Fouine – Caritas Genève (Plan-les-Ouates),charity_shop_furniture,furniture_accessories,GE,46.1660,6.1124,2496185,1194143,
CSP Brocante – Meyrin,charity_shop_furniture,furniture_accessories,GE,46.2208,6.0782,2493886,1200235,
Armée du Salut brocki.ch (Le Lignon),charity_shop_furniture,furniture_accessories,GE,46.2172,6.0957,2495115,1199855,
Salvation Army Brocante – Eaux-Vives (Route de Chêne),charity_shop_furniture,furniture_accessories,GE,46.1973,6.1788,2501789,1197672,
Armée du Salut brocki.ch – Nyon (Centre Articom),charity_shop_furniture,furniture_accessories,VD,46.3791,6.2312,2506464,1143880,
Brocante CSP – Nyon (Route de l'Etraz),brocante_furniture,furniture_accessories,VD,46.3820,6.2298,2506335,1144200,
Galetas CSP Vaud – Blécherette (Le Mont-sur-Lausanne),charity_shop_furniture,furniture_accessories,VD,46.5420,6.6268,2535792,1163695,
Armée du Salut brocki.ch – Lausanne (Rue de la Borde),charity_shop_furniture,furniture_accessories,VD,46.5296,6.6325,2536230,1162254,
Galetas CSP Renens – Avenue de la Gare,charity_shop_furniture,furniture_accessories,VD,46.5263,6.5742,2531266,1161927,
Galetas CSP Morges,charity_shop_furniture,furniture_accessories,VD,46.5089,6.5002,2525704,1160056,
Matériuum – Ressourcerie Genève (La MACO),building_materials_reuse,building_materials,GE,46.2041,6.1341,2497907,1198465,
Matériuum – Ressourcerie Lausanne (Beaulieu),building_materials_reuse,building_materials,VD,46.5228,6.6071,2534111,1161556,
Promaison – Renens (kitchen / bathroom salvage),building_materials_reuse,building_materials,VD,46.5270,6.5731,2531165,1162009,
