name,place_type,canton,lat_wgs84,lon_wgs84,E_LV95,N_LV95,osm_node_id
Vêt'Shop Croix-Rouge – Carouge,charity_shop_clothing,GE,46.1840,6.1494,2499270,1196189,
Vêt'Shop Croix-Rouge – Eaux-Vives,charity_shop_clothing,GE,46.2028,6.1662,2500719,1198287,
La Recyclerie – Caritas Genève (Carouge / Plainpalais),charity_shop_clothing_accessories,GE,46.1953,6.1465,2498972,1197419,
La Renfile – Caritas Genève (Perly-Certoux),charity_shop_clothing,GE,46.1488,6.1008,2495141,1192284,
Boutique Caritas Nyon,charity_shop_clothing_accessories,VD,46.3808,6.2373,2507002,1144069,
Boutique Caritas Lausanne – Rue du Tunnel,charity_shop_clothing_accessories,VD,46.5215,6.6277,2535797,1161406,
Boutique Caritas Lausanne – Avenue de Morges,charity_shop_clothing_accessories,VD,46.5297,6.5942,2533001,1162285,
Ateapic – Lausanne (Flon / Côtes-de-Montbenon),charity_shop_clothing_accessories,VD,46.5218,6.6288,2535894,1161437,
Le Point Bleu (Croix-Bleue) – Chavannes-près-Renens,charity_shop_clothing_accessories,VD,46.5327,6.5759,2531429,1162617,
Gloryland – Chavannes-près-Renens,second_hand_clothing,VD,46.5278,6.5836,2532092,1162093,
Ateapic – Morges (Rue du Sablon),charity_shop_clothing_accessories,VD,46.5099,6.4989,2525600,1160170,
Caritas Seconde Main – Vevey,charity_shop_clothing_accessories,VD,46.4618,6.8455,2556618,1155217,
Boutique Caritas Clarens – Rue des Vergers,charity_shop_clothing_accessories,VD,46.4520,6.8826,2559773,1154120,
Galetas CSP Montreux – Rue du Marché,charity_shop_clothing,VD,46.4332,6.9107,2562254,1152011,
Finest Vintage – Lausanne (Rue Caroline),vintage_clothing,VD,46.5191,6.6321,2536139,1161132,
Friperie La Paire Café – Lausanne,vintage_clothing,VD,46.5243,6.6266,2535693,1161701,
