name,place_type,canton,lat_wgs84,lon_wgs84,E_LV95,N_LV95,osm_node_id
Emmaüs Genève (Les Acacias),charity_shop_furniture,GE,46.1890,6.1432,2498672,1196742,
CSP Brocante La Fouine – Caritas Genève (Plan-les-Ouates),charity_shop_furniture,GE,46.1660,6.1124,2496185,1194143,
CSP Brocante – Meyrin,charity_shop_furniture,GE,46.2208,6.0782,2493886,1200235,
Armée du Salut brocki.ch (Le Lignon),charity_shop_furniture,GE,46.2172,6.0957,2495115,1199855,
Salvation Army Brocante – Eaux-Vives (Route de Chêne),charity_shop_furniture,GE,46.1973,6.1788,2501789,1197672,
Armée du Salut brocki.ch – Nyon (Centre Articom),charity_shop_furniture,VD,46.3791,6.2312,2506464,1143880,
Brocante CSP – Nyon (Route de l'Etraz),brocante_furniture,VD,46.3820,6.2298,2506335,1144200,
Galetas CSP Vaud – Blécherette (Le Mont-sur-Lausanne),charity_shop_furniture,VD,46.5420,6.6268,2535792,1163695,
Armée du Salut brocki.ch – Lausanne (Rue de la Borde),charity_shop_furniture,VD,46.5296,6.6325,2536230,1162254,
Galetas CSP Renens – Avenue de la Gare,charity_shop_furniture,VD,46.5263,6.5742,2531266,1161927,
Galetas CSP Morges,charity_shop_furniture,VD,46.5089,6.5002,2525704,1160056,
