name,place_type,canton,lat_wgs84,lon_wgs84,E_LV95,N_LV95,osm_node_id
Geneva,city,GE,46.2044,6.1432,2499590.436,1051398.637,240109189
Versoix,town,GE,46.2817,6.1678,2501635.028,1070230.896,240131752
Coppet,village,VD,46.3167,6.1958,2503862.211,1078152.933,240153694
Nyon,town,VD,46.3832,6.2396,2507360.606,1092318.18,240185486
Prangins,village,VD,46.4017,6.2503,2508217.788,1096060.732,240186329
Gland,village,VD,46.4219,6.2706,2509817.797,1100037.546,240198567
Rolle,town,VD,46.4571,6.3378,2515056.644,1106692.273,240228194
Allaman,village,VD,46.4711,6.3842,2518654.642,1109236.181,240247856
Aubonne,village,VD,46.4908,6.3914,2519238.843,1112826.703,240250123
Saint-Prex,village,VD,46.4794,6.4597,2524485.146,1110663.238,240269845
Morges,town,VD,46.5113,6.4985,2527517.699,1116351.091,240291478
Tolochenaz,village,VD,46.5239,6.5228,2529405.582,1118529.668,240300156
Saint-Sulpice,village,VD,46.5108,6.5639,2532553.974,1116188.733,240315789
Lausanne,city,VD,46.5197,6.6323,2537832.208,1117681.516,240033498
Pully,town,VD,46.5108,6.6617,2540086.369,1116087.844,240346582
Lutry,village,VD,46.5047,6.6858,2541936.005,1114982.365,240357894
Cully,village,VD,46.4889,6.7294,2545278.511,1112100.565,240378945
Epesses,village,VD,46.4986,6.7397,2546081.759,1113842.251,240382156
Rivaz,village,VD,46.4758,6.7647,2547985.863,1109671.27,240394267
Saint-Saphorin,village,VD,46.4703,6.7792,2549098.22,1108640.429,240398745
Chexbres,village,VD,46.4797,6.7992,2550648.304,1110359.49,240406523
Vevey,town,VD,46.4608,6.8422,2553946.059,1106812.771,240428891
La Tour-de-Peilz,town,VD,46.4528,6.8583,2555180.636,1105289.027,240437256
Montreux,town,VD,46.4312,6.9106,2559196.917,1101094.741,240462789
Territet,village,VD,46.4228,6.9253,2560324.658,1099438.394,240468934
Veytaux,village,VD,46.4156,6.9342,2561006.095,1098007.892,240472845
Villeneuve,town,VD,46.3956,6.9269,2560428.316,1093991.058,240478123
