id,name,hub_type,sub_type,municipality,canton,address,lat_wgs84,lon_wgs84,E_LV95,N_LV95,frequency,source,farm_supply_potential,notes
1,Marché du Dimanche de Plainpalais,Weekly Market,Open-air food & flea market,Genève,GE,"Av. Henri-Dunant 4, 1205 Genève",46.197190,6.141619,2499740,1115570,Wed/Sat/Sun,Google Places,HIGH,Major Geneva open-air market; fresh produce fruit vegetables cheese; high footfall
2,Migros Versoix Centre Commercial,Supermarket,Large-format supermarket,Versoix,GE,"Chem. de l'Ancien-Péage 1, 1290 Versoix",46.275281,6.167215,2500350,1112170,Daily,Google Places,HIGH,Large Migros with food hall; serves dense commuter belt; strong local produce potential
3,Coop Supermarché Versoix Centre,Supermarket,Large-format supermarket,Versoix,GE,"Rte de Suisse 77, 1290 Versoix",46.280763,6.166611,2500290,1112740,Daily,Google Places,HIGH,Major Coop; high catchment; adjacent to Aldi and Denner cluster
4,ALDI SUISSE Versoix,Discount Supermarket,Discount food retail,Versoix,GE,"Rte de Saint-Loup 2, 1290 Versoix",46.279383,6.165180,2500150,1112580,Daily,Google Places,MEDIUM,Price-sensitive shoppers; local produce possible via dedicated local shelf
5,Denner Discount Versoix,Discount Supermarket,Discount food retail,Versoix,GE,"Rte de Suisse 73/75, 1290 Versoix",46.280195,6.166843,2500310,1112650,Daily,Google Places,MEDIUM,Discount chain; part of Migros Group; some regional fresh produce
6,migrolino Versoix Gare,Convenience Store,Train station convenience,Versoix,GE,"Chem. Jean-Baptiste Vandelle 1, 1290 Versoix",46.279744,6.165842,2500210,1112600,Daily,Google Places,LOW,Extended hours; commuter traffic; limited fresh produce range
7,migrolino Mies,Convenience Store,Highway / transit convenience,Mies,VD,"Rte de Suisse 3, 1295 Mies",46.295968,6.167070,2500330,1114340,Daily (7/7),Google Places,LOW,A1 motorway-adjacent; extended hours; commuter and transit hub
8,Epicerie des Arcades Coppet,Village Epicerie,Independent grocery,Coppet,VD,"Grand'Rue 40, 1296 Coppet",46.316155,6.192908,2502590,1116660,Daily,Google Places,HIGH,Village heart; beloved local shop; Coppet historic centre; ideal local produce relay
9,Le P'tit Mag Versoix,Convenience Store,Independent convenience,Versoix,GE,"Rte de Suisse 125, 1290 Versoix",46.288628,6.165569,2500210,1113310,Daily (Sun incl.),Google Places,MEDIUM,Open Sundays; serves northern Versoix; independent; receptive to local supply
10,Marché Hebdomadaire de Nyon,Weekly Market,Open-air food market,Nyon,VD,"Rue de Rive / Place du Marché, 1260 Nyon",46.384100,6.244763,2507630,1138340,Thu & Sat mornings,Known/OSM,HIGH,Historic town-centre market; Nyon lakeshore; prime outlet for farm produce and local food
11,Migros La Combe Nyon,Supermarket,Large-format supermarket + mall,Nyon,VD,"Rue de la Moráche 6, 1260 Nyon",46.382578,6.234429,2506600,1138140,Daily,Google Places,HIGH,Flagship Migros in Nyon; large fresh produce section; restaurant; high volume
12,Migros Porte de Nyon,Supermarket,Large-format supermarket + mall,Nyon,VD,"Chem. de la Fontaine 1, 1260 Nyon",46.388056,6.220833,2505200,1138770,Daily,Google Places,HIGH,Largest retail hub in Nyon region; entrance to city from highway; major food mall
13,Marché de Gland,Weekly Market,Evening weekly market,Gland,VD,"Rue de la Gare, 1196 Gland",46.420020,6.269073,2509210,1142030,Wednesday evenings,Google Places,HIGH,Wednesday evening market; growing suburban population; strong demand for local produce
14,Migros Gland,Supermarket,Large-format supermarket,Gland,VD,"Rue Mauverney 22, 1196 Gland",46.417107,6.276034,2509880,1141700,Daily,Google Places,HIGH,Main Gland supermarket; commuter town; strong regional supply potential
15,Marché Hebdomadaire de Rolle,Weekly Market,Open-air food market,Rolle,VD,"Place du Marché, 1180 Rolle",46.458000,6.334000,2515020,1146600,Friday mornings,Known/OSM,HIGH,Traditional weekly market; lakeside town centre; key distribution point for La Côte farms
16,Migros Rolle,Supermarket,Large-format supermarket,Rolle,VD,"Av. de la Gare 17, 1180 Rolle",46.461121,6.338120,2515420,1146930,Daily,Google Places,HIGH,Main Rolle supermarket; La Côte hub; strong connection potential to nearby wine & mixed farms
17,Marché Hebdomadaire de Morges,Weekly Market,Open-air food market,Morges,VD,"Grand-Rue 15, 1110 Morges",46.508630,6.497794,2530040,1151850,Wed & Sat mornings,Google Places,HIGH,One of the most vibrant markets on the lake; strong local producer presence; large catchment
18,Migros Renens (Lausanne West),Supermarket,Large-format supermarket (extended hours),Renens,VD,"Av. d'Epenex 4c, 1020 Renens",46.537697,6.577342,2537420,1155060,Daily (extended),Google Places,HIGH,Open daily until 23h; major Lausanne west hub; high-volume fresh produce traffic
19,Migros Lausanne Sévelin,Supermarket,Large-format supermarket,Lausanne,VD,"Av. de Sévelin 2, 1007 Lausanne",46.521601,6.616187,2540890,1153380,Daily,Google Places,HIGH,Lausanne industrial/commercial district; high traffic; proximity to Malley hub
20,Migros Lausanne Rhodanie,Supermarket,Neighbourhood supermarket,Lausanne,VD,"Av. Frédéric-César-de-la-Harpe 17, 1007 Lausanne",46.512340,6.625941,2541760,1152370,Daily,Google Places,HIGH,Near Ouchy / lakeshore Lausanne; residential; tourist area; ideal for fresh local food
21,Migros Lausanne Métropole,Supermarket,City-centre supermarket,Lausanne,VD,"Rue des Terreaux 25, 1003 Lausanne",46.522490,6.627500,2541940,1153460,Daily,Google Places,HIGH,City-centre flagship; very high footfall; strong potential for local seasonal produce display
22,Coop City Lausanne Au Centre,Department Store / Food Hall,Department store with food floor,Lausanne,VD,"Rue Saint-Laurent 24/30, 1003 Lausanne",46.522742,6.630389,2542220,1153490,Daily,Google Places,HIGH,Major city-centre department store; food floor; high tourist and resident traffic
23,Migros Lausanne Blécherette,Supermarket,Neighbourhood supermarket,Lausanne,VD,"Chem. des Bossons 52, 1018 Lausanne",46.539586,6.618126,2541030,1155310,Daily,Google Places,MEDIUM,North Lausanne neighbourhood; serves residential districts above lakeshore
24,Migros Lausanne Berne,Supermarket,Neighbourhood supermarket,Lausanne,VD,"Rte de Berne 1, 1010 Lausanne",46.532934,6.646785,2543540,1154560,Daily,Google Places,MEDIUM,Lausanne east; near Vennes metro; residential catchment
25,Marché Keuffer – Place de la Riponne,Weekly Market,Traditional food & farmers market,Lausanne,VD,"Pl. de la Riponne, 1005 Lausanne",46.522954,6.632612,2542420,1153510,Wed & Sat mornings,Google Places,HIGH,Lausanne's primary public market; large format; flagship outlet for Vaud farmers
26,Migros Lutry – La Conversion,Supermarket,Neighbourhood supermarket,Lutry,VD,"Rte de la Conversion 314, 1093 Lutry",46.513372,6.676878,2546480,1152490,Daily,Google Places,HIGH,Eastern Lausanne / Lutry gateway; Lavaux entry point; local wine and farm produce
27,Coop Supermarché Lutry,Supermarket,Large-format supermarket,Lutry,VD,"Rte de l'Ancienne Ciblerie 2, 1095 Lutry",46.505841,6.688459,2547530,1151620,Daily,Google Places,HIGH,Main Lutry supermarket; high catchment; Lavaux doorstep; strong local food potential
