Station,E_CH1903,N_CH1903,lon_wgs84,lat_wgs84,Date,Profondeur_m,Temp_C,pH,O2_sat_pct,Secchi_m,Ptot_ugP_L,PO4_ugP_L,Ntot_ugN_L,NO3_ugN_L,NH4_ugN_L,SiO2_mg_L,Cl_mg_L,Chla_ug_L,Phyto_Bio_ug_L,Prod_Prim_ugC_L_h,Taxon_Dominant,Groupe_Fonctionnel,Indice_Brettum,Indice_Shannon,Notes
SHL2,545000,145000,6.5889,46.4525,2024-01-25,0-18,4.5,8.1,95,NA,NA,NA,NA,NA,NA,NA,NA,2.5,167,NA,Cyclotella_costei,NA,NA,NA,Hiver-milieux_brasses
SHL2,545000,145000,6.5889,46.4525,2024-02-20,0-18,5.2,8.2,98,4.65,NA,NA,NA,NA,NA,NA,NA,12.5,685,11.7,Cyclotella+Plagioselmis,NA,NA,NA,Pic_croissance_printaniere
SHL2,545000,145000,6.5889,46.4525,2024-03-13,0-18,6.8,8.1,92,NA,NA,NA,NA,NA,NA,NA,NA,3.2,523,2.8,Fragilaria_crotonensis,NA,NA,NA,Transition_printemps
SHL2,545000,145000,6.5889,46.4525,2024-03-26,0-18,7.1,8.2,93,NA,NA,NA,NA,NA,NA,NA,NA,2.8,489,2.5,Fragilaria_crotonensis,NA,NA,NA,Masses_eau_stratifiees
SHL2,545000,145000,6.5889,46.4525,2024-04-08,0-18,8.5,8.2,94,NA,NA,NA,NA,NA,NA,NA,NA,3.5,756,3.1,Fragilaria_crotonensis,NA,NA,NA,Diatomees_pennees_dominent
SHL2,545000,145000,6.5889,46.4525,2024-04-24,0-18,10.2,8.3,96,NA,NA,NA,NA,NA,NA,NA,NA,4.1,1176,3.8,Fragilaria_crotonensis,NA,NA,NA,Pic_Fragilaria
SHL2,545000,145000,6.5889,46.4525,2024-05-13,0-18,12.8,8.3,95,NA,NA,NA,NA,NA,NA,NA,NA,5.2,892,4.5,Fragilaria_crotonensis,NA,NA,NA,Transition_vers_estival
SHL2,545000,145000,6.5889,46.4525,2024-05-28,0-18,15.1,8.4,97,NA,NA,NA,NA,NA,NA,NA,NA,6.77,1124,5.8,Diatomees_pennees,NA,NA,NA,Pic_printanier_Chla
SHL2,545000,145000,6.5889,46.4525,2024-06-18,0-18,18.5,8.4,98,NA,NA,NA,NA,NA,NA,0.65,NA,4.8,1458,6.2,Dinobryon_spp,E,NA,NA,Chrysophycees_oligotrophes
SHL2,545000,145000,6.5889,46.4525,2024-07-01,0-18,20.2,8.5,102,NA,NA,NA,NA,NA,NA,0.52,NA,8.5,2831,8.8,Fragilaria+Ulnaria_acus,D,NA,NA,Pic_annuel_post_crue_Rhone
SHL2,545000,145000,6.5889,46.4525,2024-07-15,0-18,21.1,8.5,101,NA,NA,NA,NA,NA,NA,0.48,NA,7.2,2156,7.5,Ulnaria_acus,D,NA,NA,Taxons_tolerants_crues
SHL2,545000,145000,6.5889,46.4525,2024-08-06,7.5,19.8,8.4,98,NA,NA,NA,NA,NA,NA,0.46,NA,6.5,1245,9.4,Achnanthidium+Cyclotella,D,NA,NA,Diatomees_benthiques
SHL2,545000,145000,6.5889,46.4525,2024-09-03,7.5,18.5,8.4,96,NA,NA,NA,NA,NA,NA,0.58,NA,13.8,1587,6.8,Achnanthidium_catenatum,D,NA,NA,Pic_Chla_annuel_7.5m
SHL2,545000,145000,6.5889,46.4525,2024-09-23,0-18,16.2,8.3,94,NA,NA,NA,NA,NA,NA,0.62,NA,8.2,1342,5.5,Diatomees_benthiques,D,NA,NA,Taxons_crues_persistent
SHL2,545000,145000,6.5889,46.4525,2024-10-07,3.5,14.8,8.3,92,NA,NA,NA,NA,NA,NA,0.71,NA,9.5,1023,9.92,Ceratium_hirundinella,NA,NA,NA,Pic_automne_Dinophycees
SHL2,545000,145000,6.5889,46.4525,2024-10-21,0-18,13.2,8.2,90,NA,NA,NA,NA,NA,NA,0.78,NA,5.8,687,4.2,Ceratium_hirundinella,NA,NA,NA,Epilimnion_stratifie
SHL2,545000,145000,6.5889,46.4525,2024-11-05,0-20,11.5,8.1,88,NA,NA,NA,NA,NA,NA,0.82,NA,2.0,385,2.19,Cyclotella+Cryptophycees,NA,NA,NA,Baisse_biomasse_hivernale
