Secteur,Type_Donnee,Annee,Profondeur_Min_m,Profondeur_Max_m,Distance_Berge_m,Espece_Dominante,Recouvrement_Pct_2009,Recouvrement_Pct_2019,Evolution,Richesse_Floristique,Statut_Conservation,Notes_Ecologiques
1,Macrophytes,2019,0,14,NA,Potamogeton_perfoliatus,NA,NA,Progression,18,NA,"Herbiers atteignent limites beine lacustre (8-14m)"
1,Dreissena,2009,NA,NA,NA,Mixed_species,32,NA,NA,NA,NA,"Recouvrement cumulé transects"
1,Dreissena,2019,NA,NA,NA,D_rostriformis_bugensis,NA,25,Stable,NA,Invasive,"Moule quagga dominante (80%)"
2,Macrophytes,2019,0,14,NA,Myriophyllum_spicatum,NA,NA,Progression,18,NA,"Zone littorale - eau claire favorise colonisation"
2,Dreissena,2009,NA,NA,NA,Mixed_species,75,NA,NA,NA,NA,"Secteur 2 - recouvrement médian"
2,Dreissena,2019,NA,NA,NA,D_rostriformis_bugensis,NA,82,Augmentation,NA,Invasive,"Remplacement D. polymorpha complet"
3,Macrophytes,2019,0,12,NA,Chara_denudata,NA,NA,Progression,18,NA,"Characées en régression globale sauf C. denudata"
3,Dreissena,2009,NA,NA,NA,Mixed_species,32,NA,NA,NA,NA,"Secteur 3 - recouvrement faible"
3,Dreissena,2019,NA,NA,NA,D_rostriformis_bugensis,NA,32,Stable,NA,Invasive,"Recouvrement comparable 2009-2019"
4,Macrophytes,2019,0,13,NA,Potamogeton_perfoliatus,NA,NA,Progression,18,NA,"Grande espèces supplantent petites espèces"
4,Dreissena,2009,NA,NA,NA,Mixed_species,24,NA,NA,NA,NA,"Secteur 4 - variabilité importante"
4,Dreissena,2019,NA,NA,NA,D_rostriformis_bugensis,NA,58,Forte_augmentation,NA,Invasive,"Progression significative moule quagga"
5,Macrophytes,2019,0,11,NA,Stuckenia_pectinata,NA,NA,Regression,18,NA,"Régression constante depuis 1975 - indicateur eutrophisation"
5,Dreissena,2009,NA,NA,NA,Mixed_species,18,NA,NA,NA,NA,"Secteur 5 - recouvrement faible"
5,Dreissena,2019,NA,NA,NA,D_rostriformis_bugensis,NA,22,Stable,NA,Invasive,"Colonisation profondeurs importantes"
6,Macrophytes,2019,0,14,NA,Potamogeton_perfoliatus,NA,NA,Progression,18,NA,"Herbiers organisés en patchs - hétérogénéité spatiale"
6,Dreissena,2009,NA,NA,NA,Mixed_species,30,NA,NA,NA,NA,"Secteur 6 - recouvrement moyen"
6,Dreissena,2019,NA,NA,NA,D_rostriformis_bugensis,NA,25,Stable,NA,Invasive,"Recouvrement stable sur beine"
Global,Macrophytes,2019,8,14,NA,Mixed_communities,NA,NA,Amelioration_qualite,18,Variable,"Profondeurs max colonisation = limites littérature (Hutchinson 1975)"
Global,Macrophytes,1975,NA,NA,NA,Stuckenia_pectinata,55,NA,NA,NA,NA,"Dominance S. pectinata période eutrophisation"
Global,Macrophytes,1997,NA,NA,NA,Mixed_species,NA,NA,Transition,NA,NA,"Début amélioration qualité eaux"
Global,Macrophytes,2009,NA,NA,NA,Potamogeton_perfoliatus,NA,30,Progression,17,NA,"Herbiers P. perfoliatus en expansion"
Global,Macrophytes,2019,NA,NA,NA,Potamogeton_perfoliatus,NA,25,Stable,18,NA,"Myriophyllum spicatum également en progression"
Global,Dreissena,1965,NA,NA,NA,D_polymorpha,NA,NA,Premiere_observation,NA,Invasive,"Première observation moule zébrée Léman"
Global,Dreissena,2015,NA,NA,NA,D_rostriformis_bugensis,NA,NA,Premiere_observation,NA,Invasive,"Première observation moule quagga"
Global,Dreissena,2019,NA,NA,NA,D_rostriformis_bugensis,NA,80,Dominance,NA,Invasive,"80% individus = quagga; 4% zébrée; 16% indéterminées"
Espece,Najas_marina,2019,NA,NA,NA,Najas_marina,0,Presence,Nouvelle_espece,NA,Protegee_Rhone-Alpes,"Espèce eurèce meso-eutrophile, régression Europe"
Espece,Lagarosiphon_major,2019,NA,NA,NA,Lagarosiphon_major,0,Presence,Nouvelle_espece,NA,Invasive_preoccupante,"Interdite introduction France"
Espece,Elodea_nuttallii,2009,NA,NA,NA,Elodea_nuttallii,Abondance,NA,Regression_nette,NA,Invasive,"Encore abondante ports, régression lac"
