Station_Mesure,E_CH1903,N_CH1903,lon_wgs84,lat_wgs84,Date_Campagne,Profondeur_Eau_m,Temperature_Eau_C,Acidite_pH,Oxygene_Dissous_Pct,Transparence_Eau_m,Phosphore_Total_ug_L,Phosphates_ug_L,Azote_Total_ug_L,Nitrates_ug_L,Ammonium_ug_L,Silice_mg_L,Chlorures_mg_L,Pigments_Verts_ug_L,Biomasse_Algues_ug_L,Production_Photosynthese_ugC_L_h,Algue_Dominante,Type_Ecologique,Indice_Qualite_Eau,Indice_Diversite,Observations
SHL2,534700,144950,6.5889,46.4525,2024-01-25,0-18,4.5,8.1,95,NA,NA,NA,NA,NA,NA,NA,NA,2.5,167,NA,Cyclotella_costei,NA,NA,NA,Hiver-milieux_brasses
SHL2,534700,144950,6.5889,46.4525,2024-02-20,0-18,5.2,8.2,98,4.65,NA,NA,NA,NA,NA,NA,NA,12.5,685,11.7,Cyclotella+Plagioselmis,NA,NA,NA,Pic_croissance_printaniere
SHL2,534700,144950,6.5889,46.4525,2024-03-13,0-18,6.8,8.1,92,NA,NA,NA,NA,NA,NA,NA,NA,3.2,523,2.8,Fragilaria_crotonensis,NA,NA,NA,Transition_printemps
SHL2,534700,144950,6.5889,46.4525,2024-03-26,0-18,7.1,8.2,93,NA,NA,NA,NA,NA,NA,NA,NA,2.8,489,2.5,Fragilaria_crotonensis,NA,NA,NA,Masses_eau_stratifiees
SHL2,534700,144950,6.5889,46.4525,2024-04-08,0-18,8.5,8.2,94,NA,NA,NA,NA,NA,NA,NA,NA,3.5,756,3.1,Fragilaria_crotonensis,NA,NA,NA,Diatomees_pennees_dominent
SHL2,534700,144950,6.5889,46.4525,2024-04-24,0-18,10.2,8.3,96,NA,NA,NA,NA,NA,NA,NA,NA,4.1,1176,3.8,Fragilaria_crotonensis,NA,NA,NA,Pic_Fragilaria
SHL2,534700,144950,6.5889,46.4525,2024-05-13,0-18,12.8,8.3,95,NA,NA,NA,NA,NA,NA,NA,NA,5.2,892,4.5,Fragilaria_crotonensis,NA,NA,NA,Transition_vers_estival
SHL2,534700,144950,6.5889,46.4525,2024-05-28,0-18,15.1,8.4,97,NA,NA,NA,NA,NA,NA,NA,NA,6.77,1124,5.8,Diatomees_pennees,NA,NA,NA,Pic_printanier_Chla
SHL2,534700,144950,6.5889,46.4525,2024-06-18,0-18,18.5,8.4,98,NA,NA,NA,NA,NA,NA,0.65,NA,4.8,1458,6.2,Dinobryon_spp,E,NA,NA,Chrysophycees_oligotrophes
SHL2,534700,144950,6.5889,46.4525,2024-07-01,0-18,20.2,8.5,102,NA,NA,NA,NA,NA,NA,0.52,NA,8.5,2831,8.8,Fragilaria+Ulnaria_acus,D,NA,NA,Pic_annuel_post_crue_Rhone
SHL2,534700,144950,6.5889,46.4525,2024-07-15,0-18,21.1,8.5,101,NA,NA,NA,NA,NA,NA,0.48,NA,7.2,2156,7.5,Ulnaria_acus,D,NA,NA,Taxons_tolerants_crues
SHL2,534700,144950,6.5889,46.4525,2024-08-06,7.5,19.8,8.4,98,NA,NA,NA,NA,NA,NA,0.46,NA,6.5,1245,9.4,Achnanthidium+Cyclotella,D,NA,NA,Diatomees_benthiques
SHL2,534700,144950,6.5889,46.4525,2024-09-03,7.5,18.5,8.4,96,NA,NA,NA,NA,NA,NA,0.58,NA,13.8,1587,6.8,Achnanthidium_catenatum,D,NA,NA,Pic_Chla_annuel_7.5m
SHL2,534700,144950,6.5889,46.4525,2024-09-23,0-18,16.2,8.3,94,NA,NA,NA,NA,NA,NA,0.62,NA,8.2,1342,5.5,Diatomees_benthiques,D,NA,NA,Taxons_crues_persistent
SHL2,534700,144950,6.5889,46.4525,2024-10-07,0-18,14.5,8.3,92,NA,NA,NA,NA,NA,NA,0.72,NA,9.5,1023,9.92,Ceratium_hirundinella,NA,NA,NA,Pic_Dinophycees_automne
SHL2,534700,144950,6.5889,46.4525,2024-10-21,0-18,12.8,8.2,89,NA,NA,NA,NA,NA,NA,0.85,NA,5.2,687,4.8,Ceratium+Cyclotella,NA,NA,NA,Biomasse_decroit
SHL2,534700,144950,6.5889,46.4525,2024-11-11,0-18,9.2,8.1,87,NA,NA,NA,NA,NA,NA,1.05,NA,2.8,385,2.5,Cyclotella_costei,NA,NA,NA,Retour_Diatomees_centriques
SHL2,534700,144950,6.5889,46.4525,2024-11-25,0-18,7.8,8.1,86,8.2,NA,NA,NA,NA,NA,1.15,NA,1.8,312,1.9,Plagioselmis_spp,NA,NA,NA,Cryptophycees_milieux_brasses
SHL2,534700,144950,6.5889,46.4525,2024-12-17,0-18,6.1,8.0,85,8.5,NA,NA,NA,NA,NA,1.22,NA,1.5,298,1.8,Plagioselmis+Cyclotella,NA,NA,NA,Phase_hivernale_faible_biomasse
SHL2,534700,144950,6.5889,46.4525,2024,Annee,NA,NA,NA,NA,15.6,NA,729,544,NA,0.82,10.9,4.0,1006,NA,Mixed,NA,4.25,2.3,Biomasse_annuelle_1006_Objectif_CIPEL_1000
SHL2,534700,144950,6.5889,46.4525,2024,Mars-Mai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA,2.12,NA,NA,NA,NA,Printemps_plus_basse_Chla_depuis_2016
SHL2,534700,144950,6.5889,46.4525,2024,Juin-Aout,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81,NA,3.41,NA,NA,NA,NA,Ete_Chla_inferieure_2022-2023
SHL2,534700,144950,6.5889,46.4525,2024,Sept-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19,NA,2.64,NA,NA,NA,NA,Automne_plus_basse_que_2021-2023
SHL2,534700,144950,6.5889,46.4525,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,NA,NA,Eutrophe,2.5,NA,Pic_eutrophisation_historique
SHL2,534700,144950,6.5889,46.4525,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,Mesotrophe,3.2,NA,Amelioration_qualite_eaux
SHL2,534700,144950,6.5889,46.4525,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,NA,NA,Oligomesotrophe,3.8,NA,Tendance_re-oligotrophisation
SHL2,534700,144950,6.5889,46.4525,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oligomesotrophe,4.0,2.6,Plus_haute_diversite_chronique
SHL2,534700,144950,6.5889,46.4525,2015-2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,1618,3.2,NA,Oligomesotrophe,4.1,2.4,Moyenne_decennale_precedente
SHL2,534700,144950,6.5889,46.4525,2023,NA,NA,NA,NA,NA,16.9,13.0,702,570,NA,NA,10.8,4.1,NA,NA,NA,Oligomesotrophe,4.20,NA,Annee_precedente_reference
GE3,500500,130000,6.1436,46.2819,2024,0-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,1250,7.0,NA,Mesotrophe,3.7,NA,Petit_Lac_plus_eutrophe_cumul_pressions
GE3,500500,130000,6.1436,46.2819,2018,0-75,NA,NA,NA,NA,18.5,NA,850,650,NA,NA,11.5,5.2,1380,NA,NA,Mesotrophe,3.65,NA,Suivi_tous_6_ans_SSPMA_Geneve
Rhone_Embouchure,560000,143500,6.85,46.43,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crue_historique,NA,NA,Evenement_majeur_30_juin_2024_impact_phytoplancton
Objectif_CIPEL,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,Bon_etat_minimum,4.0,NA,Seuil_biomasse_1000_Brettum_4.0
Reference_Naturelle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tres_bon_etat,4.62,NA,Ecosysteme_non_impacte_activites_humaines
Seuil_Limitation_P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Concentration_P_limitant_croissance_phytoplancton
Seuil_Critique_P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niveau_critique_limitation_phosphore
Seuil_NO3_Suisse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ordonnance_protection_eaux_Suisse_nitrates
Contexte_Climatique,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rechauffement_eaux_stratification_renforcee_depuis_1973
Arc_Lemanique_Gradient,520000,140000,6.30,46.38,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gradient_spatial,NA,NA,Gradient_Est-Ouest_qualite_biomasse_+65pct_transparence_-35pct
