Numero_Station,Nom_Station,E_CH1903,N_CH1903,Altitude_m,Adresse_Complete,Code_Postal,Commune,Exutoire,Type_Traitement,Debit_Moyen_m3_jour,Debit_Pointe_m3_jour,Capacite_Habitants_Equiv,Population_Raccordee,Canton,Categorie_Taille,Observations
564200,MORGES,528850,152130,373,E.R.M. STEP,1110,Morges,Lac_Leman,Biologique_avec_elimination_Phosphore,18000,360,45167,29267,VD,Grande,"STEP principale Morges - rejet direct Leman"
564600,ST-PREX,524015,147615,375,STEP St-Prex,1162,St-Prex,Lac_Leman,Biologique_avec_elimination_Phosphore,2537,50,12683,7074,VD,Moyenne,"Commune littorale entre Morges et Rolle"
565300,ALLAMAN,512445,143265,375,Administration Communale,1165,Allaman,Lac_Leman,Biologique_avec_elimination_Phosphore,200,4,633,363,VD,Petite,"Village littoral - Arc Lemanique ouest"
586100,ROLLE_AIER,515955,146210,374,STEP intercommunale AIER,1180,Rolle,Lac_Leman,Biologique_avec_elimination_Phosphore,4630,92,34250,7504,VD,Grande,"STEP intercommunale - Association Intercommunale Epuration Region Rolle"
587200,MONTREUX-CLARENS,557430,145105,378,SIGE,1815,Clarens,Lac_Leman,Biologique_avec_elimination_Phosphore,17500,278,62250,32785,VD,Grande,"Riviera lemanique - Montreux agglomeration"
589000,VEVEY_AVIRON,553780,145680,375,STEP de l'Aviron,1800,Vevey,Lac_Leman,Biologique_avec_elimination_Phosphore,30000,490,83000,43879,VD,Tres_Grande,"Plus grande STEP Riviera - rejet Vevey-Montreux"
615500,ST-GINGOLPH,552080,137770,395,Station d'épuration,1898,St-Gingolph,Lac_Leman,Biologique_avec_elimination_Phosphore,880,18,3117,726,VS,Petite,"Frontiere Franco-Suisse - extremite est Arc Lemanique"
558600,LAUSANNE_VIDY,534945,152505,377,STEP Vidy,1007,Lausanne,Lac_Leman,Biologique_avec_elimination_Phosphore,160000,1600,466667,204080,VD,Tres_Grande,"Plus grande STEP Leman - Zone Vidy influence majeure qualite eau"
559200,CULLY,542525,150740,380,Administration communale,1096,Cully,Lac_Leman,Biologique_elimination_Phosphore_Azote,2800,56,20000,4105,VD,Moyenne,"Lavaux - traitement avance nitrification-denitrification"
559300,LUTRY,545980,150435,376,Administration Communale,1095,Lutry,Lac_Leman,Biologique_avec_elimination_Phosphore,6000,120,15000,8951,VD,Moyenne,"Lavaux littoral - entre Lausanne et Vevey"
556700,COPPET,505085,137440,375,Administration Communale,1296,Coppet,Lac_Leman,Biologique_avec_elimination_Phosphore,1500,30,7500,9660,VD,Moyenne,"Proximite Geneve - Petit Lac"
556800,FOUNEX,505790,135985,375,Administration Communale,1297,Founex,Lac_Leman,Biologique_avec_elimination_Phosphore,900,18,3000,7359,VD,Petite,"Petit Lac - zone periurbaine Geneve"
557600,GLAND,512055,142705,380,STEP Gland,1196,Gland,Lac_Leman,Biologique_avec_elimination_Phosphore,7000,125,17500,25960,VD,Grande,"Entre Rolle et Nyon - forte population raccordee vs capacite"
557100,MIES-TANNAY,507340,135975,375,Administration Communale,1295,Mies-Tannay,Lac_Leman,Biologique_avec_elimination_Phosphore,1100,22,2750,5875,VD,Petite,"Petit Lac - agglomeration Geneve"
557200,NYON,507600,139435,380,Service des Travaux,1260,Nyon,Lac_Leman,Biologique_elimination_Phosphore_avancee,14000,280,50000,17888,VD,Grande,"Grande ville Arc Lemanique - traitement phosphore avance"
572500,PRANGINS,509140,138560,375,Station d'épuration,1197,Prangins,Lac_Leman,Biologique_avec_elimination_Phosphore,900,16,4500,3414,VD,Petite,"Petit Lac - entre Nyon et Geneve"
