Enseigne,Nom,Adresse,Commune,NPA,Canton,lat_wgs84,lon_wgs84
Coop,Coop Supermarché Genève Augustins,"Rue de Carouge 76, 1205 Genève",Genève,1205,GE,46.192186,6.143707
Coop,Coop Cornavin,"Pl. de Cornavin 7, 1201 Genève",Genève,1201,GE,46.210511,6.143168
Coop,Coop Eaux-Vives,"Rue de Jargonnant 5, 1207 Genève",Genève,1207,GE,46.200586,6.159896
Coop,Coop Saint-Jean,"Av. du Devin-du-Village 1, 1203 Genève",Genève,1203,GE,46.203915,6.124690
Coop,Coop Servette,"Rue de la Servette 81, 1202 Genève",Genève,1202,GE,46.212406,6.131161
Coop,Coop City Plainpalais,"Rue de Carouge 12, 1205 Genève",Genève,1205,GE,46.196884,6.142797
Coop,Coop City Fusterie,"Rue du Commerce 7, 1204 Genève",Genève,1204,GE,46.204074,6.145177
Coop,Coop Gare Mont-Blanc,"Rue du Mont-Blanc 30, 1201 Genève",Genève,1201,GE,46.209155,6.143095
Coop,Coop Montbrillant,"Rue de Montbrillant 90, 1202 Genève",Genève,1202,GE,46.220296,6.141812
Coop,Coop Champel,"Av. de Champel 8C, 1206 Genève",Genève,1206,GE,46.194632,6.152285
Coop,Coop Nyon Levratte,"La Levratte 22, 1260 Nyon",Nyon,1260,GE,46.387948,6.228508
Coop,Coop Pronto Nyon Gare,"Pl. de la Gare 4, 1260 Nyon",Nyon,1260,GE,46.384983,6.236883
Coop,Coop Morges La Gottaz,"Av. de la Gottaz 28, 1110 Morges",Morges,1110,VD,46.507246,6.485510
Coop,Coop Pronto Morges Gare,"Pl. de la Gare 2, 1110 Morges",Morges,1110,VD,46.511121,6.494185
Coop,Coop Morges Charpentiers,"Rue des Fossés 4, 1110 Morges",Morges,1110,VD,46.510022,6.497578
Coop,Coop City Lausanne Au Centre,"Rue Saint-Laurent 24/30, 1003 Lausanne",Lausanne,1003,VD,46.522742,6.630389
Coop,Coop Lausanne Grancy,"Bd de Grancy 4, 1006 Lausanne",Lausanne,1006,VD,46.515313,6.631604
Coop,Coop Lausanne Caroline,"Rue Caroline 6, 1003 Lausanne",Lausanne,1003,VD,46.520859,6.637603
Coop,Coop City St. François,"Av. du Théâtre 4, 1005 Lausanne",Lausanne,1005,VD,46.518541,6.635155
Coop,Coop Lausanne Prélaz,"Av. de Morges 60, 1004 Lausanne",Lausanne,1004,VD,46.526643,6.612507
Coop,Coop Pronto Lausanne Gare,"Pl. de la Gare 11, 1003 Lausanne",Lausanne,1003,VD,46.517220,6.627905
Coop,Coop Lausanne Pontaise,"Rue de la Pontaise 14, 1018 Lausanne",Lausanne,1018,VD,46.529399,6.630563
Coop,Coop Lausanne Cour,"Av. de Cour 105, 1007 Lausanne",Lausanne,1007,VD,46.515961,6.613631
Coop,Coop Lausanne La Harpe,"Av. Frédéric-César-de-la-Harpe 33, 1007 Lausanne",Lausanne,1007,VD,46.510258,6.626235
Coop,Coop Lausanne Rouvraie,"Av. Parc-de-la-Rouvraie 3, 1018 Lausanne",Lausanne,1018,VD,46.530918,6.634700
Coop,Coop Vevey,"Rue du Simplon 28, 1800 Vevey",Vevey,1800,VD,46.460365,6.845039
Coop,Coop Montreux,"Rue de la Paix 4, 1820 Montreux",Montreux,1820,VD,46.431664,6.911436
Coop,Coop Renens Centre,"Pl. du Marché 1, 1020 Renens",Renens,1020,VD,46.538321,6.581687
Coop,Coop Prilly Centre,"Rte de Cossonay 28, 1008 Prilly",Prilly,1008,VD,46.534422,6.606120
Coop,Coop Prilly Business Parc,"Rte de Renens 24, 1008 Prilly",Prilly,1008,VD,46.529595,6.600821
Coop,Coop Pully,"Av. des Collèges 1, 1009 Pully",Pully,1009,VD,46.510538,6.658613
Coop,Coop Lutry,"Rte de l'Ancienne Ciblerie 2, 1095 Lutry",Lutry,1095,VD,46.505841,6.688459
Coop,Coop Gland Eikenott,"All. du Communet 20, 1196 Gland",Gland,1196,VD,46.427375,6.266102
Coop,Coop Rolle,"Rue du Temple 6, 1180 Rolle",Rolle,1180,VD,46.458480,6.337730
Coop,Coop Onex,"Rue des Bossons 21, 1213 Onex",Onex,1213,GE,46.187710,6.104619
Coop,Coop Grand-Lancy Pont Rouge,"Esplanade de Pont-Rouge 5, 1212 Lancy",Lancy,1212,GE,46.186757,6.127278
Coop,Coop Grand-Lancy La Praille,"Rte des Jeunes 10, 1212 Lancy",Lancy,1212,GE,46.180037,6.127687
Coop,Coop Grand-Lancy,"Pl. du Premier-Août 1, 1212 Lancy",Lancy,1212,GE,46.181890,6.120277
Coop,Coop Carouge,"Av. Cardinal-Mermillod 36, 1227 Carouge",Carouge,1227,GE,46.185405,6.143598
Coop,Coop Vernier Balexert,"Rte de Meyrin 171, 1214 Vernier",Vernier,1214,GE,46.221631,6.095667
Coop,Coop Vernier Village,"Rue du Village 26, 1214 Vernier",Vernier,1214,GE,46.214588,6.082906
Coop,Coop Vernier l'Étang,"Ave de l'Etang 67, 1219 Vernier",Vernier,1219,GE,46.219392,6.102778
Coop,Coop Meyrin Verchère,"Chem. Antoine-Verchère 1, 1217 Meyrin",Meyrin,1217,GE,46.228334,6.072568
Coop,Coop Châtelaine la Fenice,"Chem. De-Maisonneuve 2, 1219 Vernier",Vernier,1219,GE,46.211412,6.112466
