Enseigne,Nom,Adresse,Commune,NPA,Canton,lat_wgs84,lon_wgs84
Denner,Denner Genève Montbrillant,"Rue de Montbrillant 67, 1202 Genève",Genève,1202,GE,46.220320,6.140327
Denner,Denner Genève Pâquis,"Rue Abraham-Gevray 5-7, 1201 Genève",Genève,1201,GE,46.211341,6.149684
Denner,Denner Genève Cygnes,"Rue de Monthoux 57, 1201 Genève",Genève,1201,GE,46.210720,6.144330
Denner,Denner Genève Carl-Vogt,"Bd Carl-Vogt 12, 1205 Genève",Genève,1205,GE,46.200596,6.130955
Denner,Denner Genève Eaux-Vives,"Rue des Marronniers 5, 1207 Genève",Genève,1207,GE,46.201113,6.158685
Denner,Denner Genève Vermont,"Rue de Vermont 2, 1202 Genève",Genève,1202,GE,46.215046,6.134242
Denner,Denner Express Servette,"Rue de la Servette 59, 1202 Genève",Genève,1202,GE,46.211529,6.133704
Denner,Denner Petit-Lancy,"Chem. du Fief-de-Chapitre, 1213 Petit-Lancy",Petit-Lancy,1213,GE,46.196090,6.124970
Denner,Denner Genève Lac,"Rue du Lac 10, 1207 Genève",Genève,1207,GE,46.204280,6.157235
Denner,Denner Genève Plainpalais,"Rue Prévost-Martin 36, 1205 Genève",Genève,1205,GE,46.192768,6.144746
Denner,Denner Lausanne Métropole,"Rue des Terreaux 25, 1000 Lausanne",Lausanne,1000,VD,46.522466,6.627299
Denner,Denner Lausanne Cour,"Av. de Cour 143, 1007 Lausanne",Lausanne,1007,VD,46.518096,6.608561
Denner,Denner Lausanne Grancy,"Bd de Grancy 37, 1006 Lausanne",Lausanne,1006,VD,46.515835,6.626460
Denner,Denner Express Lausanne Ouchy,"Av. d'Ouchy 11, 1006 Lausanne",Lausanne,1006,VD,46.514955,6.632769
Denner,Denner Lausanne Echallens,"Av. d`Echallens 68, 1004 Lausanne",Lausanne,1004,VD,46.527745,6.617096
Denner,Denner Express Boveresses,"Av. des Boveresses 33, 1010 Lausanne",Lausanne,1010,VD,46.538350,6.666407
Denner,Denner Express Colline,"Chem. de la Colline 4, 1007 Lausanne",Lausanne,1007,VD,46.521526,6.612986
Denner,Denner Express Béthusy,"Av. de Béthusy 93, 1012 Lausanne",Lausanne,1012,VD,46.526980,6.651212
Denner,Denner Lausanne Grey,"Av. du Grey 58, 1018 Lausanne",Lausanne,1018,VD,46.536186,6.620065
Denner,Denner Lausanne Borde,"Rue de la Borde 3, 1018 Lausanne",Lausanne,1018,VD,46.527440,6.632932
Denner,Denner Vevey Moulins,"Rue des Moulins 1, 1800 Vevey",Vevey,1800,VD,46.464569,6.841770
Denner,Denner Corsier-sur-Vevey,"Av. Reller 42, 1804 Corsier-sur-Vevey",Corsier-sur-Vevey,1804,VD,46.467891,6.837752
Denner,Denner Vevey Italie,"Rue d'Italie 56, 1800 Vevey",Vevey,1800,VD,46.458627,6.848275
Denner,Denner Nyon,"Rte de Signy 43, 1260 Nyon",Nyon,1260,GE,46.389754,6.222228
Denner,Denner Gland,"Rte Suisse 35, 1196 Gland",Gland,1196,VD,46.416100,6.279657
Denner,Denner Montreux Centre,"Pl. du Marché 6b, 1820 Montreux",Montreux,1820,VD,46.431369,6.910411
Denner,Denner La Tour-de-Peilz,"Av. des Alpes 61, 1814 La Tour-de-Peilz",La Tour-de-Peilz,1814,VD,46.457832,6.856749
Denner,Denner Express Morges,"Av. de Lonay 17, 1110 Morges",Morges,1110,VD,46.520069,6.508166
Denner,Denner Express Montreux Fin du Craux,"Rte de la Fin du Craux 20, 1822 Montreux",Montreux,1822,VD,46.444352,6.911386
Denner,Denner Clarens,"Rue du Léman 9, 1815 Clarens",Clarens,1815,VD,46.440903,6.893219
