Enseigne,Nom,Adresse,Commune,NPA,Canton,lat_wgs84,lon_wgs84
Lidl,Lidl Genève Lausanne,"Rue de Lausanne 45-47, 1201 Genève",Genève,1201,GE,46.213680,6.145350
Lidl,Lidl Genève Plainpalais,"Rue Prévost-Martin 61, 1205 Genève",Genève,1205,GE,46.191785,6.144842
Lidl,Lidl Genève Acacias,"Rte des Acacias 43, 1227 Genève",Genève,1227,GE,46.189450,6.131070
Lidl,Lidl Vernier Châtelaine,"Chemin Emilie-de-Morsier 10, 1219 Vernier",Vernier,1219,GE,46.208530,6.109790
Lidl,Lidl Châtelaine Étang,"Ave de l'Etang 55, 1219 Châtelaine",Châtelaine,1219,GE,46.216270,6.104450
Lidl,Lidl Lausanne,"Rue de Genève 33, 1003 Lausanne",Lausanne,1003,VD,46.522270,6.626018
Lidl,Lidl Petit-Lancy,"Rte de Chancy 71/77, 1213 Petit-Lancy",Petit-Lancy,1213,GE,46.186730,6.110550
Lidl,Lidl Vernier Mouille-Galand,"Chemin de Mouille-Galand 1, 1214 Vernier",Vernier,1214,GE,46.213790,6.078990
Lidl,Lidl Gland,"Av. du Mont-Blanc 35, 1196 Gland",Gland,1196,VD,46.414420,6.275320
Lidl,Lidl Renens,"Rue du Caudray 6, 1020 Renens",Renens,1020,VD,46.532360,6.587450
