ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
1,Etablissement primaire et secondaire d'Aigle,Primaire et Secondaire,Aigle,VD,Alpes vaudoises,"Chemin de la Planchette 18, 1860 Aigle",46.319600,6.957500,2562941.96,1129914.23,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
2,Etablissement primaire et secondaire de Bex,Primaire et Secondaire,Bex,VD,Alpes vaudoises,"Chemin Pré-de-la-Cible 3, 1880 Bex",46.252200,7.013000,2567175.81,1122397.05,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
3,Etablissement primaire et secondaire de Château-d'Oex - Pays-d'Enhaut,Primaire et Secondaire,Château-d'Oex,VD,Alpes vaudoises,"Grand Rue 77, 1660 Château-d'Oex",46.474500,7.131800,2576434.17,1147065.95,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
4,Etablissement primaire et secondaire Les Ormonts-Leysin,Primaire et Secondaire,Le Sépey,VD,Alpes vaudoises,"Rue de la Gare 2, 1863 Le Sépey",46.361100,7.051900,2570235.46,1134487.20,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
5,Etablissement primaire et secondaire d'Ollon,Primaire et Secondaire,Ollon VD,VD,Alpes vaudoises,"Chemin du Collège 14, 1867 Ollon VD",46.292500,6.988400,2565304.54,1126887.55,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
6,Etablissement primaire et secondaire de Villeneuve Haut-Lac,Primaire et Secondaire,Villeneuve VD,VD,Alpes vaudoises,"Route de la Tour-Rouge 7a, 1844 Villeneuve VD",46.398400,6.929300,2560827.01,1138687.59,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
7,Etablissement primaire et secondaire d'Avenches et environs,Primaire et Secondaire,Avenches,VD,Broye - Gros-de-Vaud,"Route de Sous Ville 6a, 1580 Avenches",46.879100,7.036900,2569376.74,1192076.49,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
8,Etablissement primaire et secondaire de Bercher - Plateau du Jorat,Primaire et Secondaire,Bercher,VD,Broye - Gros-de-Vaud,"Route de Fey 16, 1038 Bercher",46.690300,6.706200,2543972.52,1171271.50,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
9,Etablissement secondaire d'Echallens - Trois-Sapins,Secondaire,Echallens,VD,Broye - Gros-de-Vaud,"Chemin du Collège 6, 1040 Echallens",46.640200,6.647600,2539433.83,1165745.94,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
10,Etablissement primaire d'Echallens-Emile Gardaz,Primaire,Echallens,VD,Broye - Gros-de-Vaud,"Chemin du Grand Record 50a, 1040 Echallens",46.637600,6.632800,2538297.73,1165468.47,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
11,Etablissement primaire et secondaire du Jorat,Primaire et Secondaire,Mézières VD,VD,Broye - Gros-de-Vaud,"Chemin du Raffort 11, 1083 Mézières VD",46.586300,6.771400,2548861.32,1159666.05,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
12,Etablissement primaire de Moudon - Lucens,Primaire,Moudon,VD,Broye - Gros-de-Vaud,"Avenue du Fey 40, 1510 Moudon",46.668400,6.796000,2550821.58,1168776.71,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
13,Etablissement secondaire de Moudon - Lucens,Secondaire,Moudon,VD,Broye - Gros-de-Vaud,"Avenue de Lucens 3b, 1510 Moudon",46.668000,6.794500,2550706.43,1168733.19,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
14,Etablissement secondaire de Payerne et environs,Secondaire,Payerne,VD,Broye - Gros-de-Vaud,"Avenue de la Promenade 11, 1530 Payerne",46.820600,6.935700,2561620.80,1185617.83,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
15,Etablissement primaire de Payerne-Corcelles et environs,Primaire,Payerne,VD,Broye - Gros-de-Vaud,"Rue Derrière la Tour 6, 1530 Payerne",46.819400,6.937500,2561757.30,1185483.55,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
