ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
10,Etablissement primaire d'Echallens-Emile Gardaz,Primaire,Echallens,VD,Broye - Gros-de-Vaud,"Chemin du Grand Record 50a, 1040 Echallens",46.637600,6.632800,2538297.73,1165468.47,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
12,Etablissement primaire de Moudon - Lucens,Primaire,Moudon,VD,Broye - Gros-de-Vaud,"Avenue du Fey 40, 1510 Moudon",46.668400,6.796000,2550821.58,1168776.71,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
15,Etablissement primaire de Payerne-Corcelles et environs,Primaire,Payerne,VD,Broye - Gros-de-Vaud,"Rue Derrière la Tour 6, 1530 Payerne",46.819400,6.937500,2561757.30,1185483.55,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
16,Etablissement primaire de Payerne-Granges et environs,Primaire,Payerne,VD,Broye - Gros-de-Vaud,"Rue des Vernes 21, 1530 Payerne",46.816000,6.932000,2561335.15,1185108.29,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
17,Etablissement primaire de Villars-le-Terroir - Poliez-Pittet,Primaire,Villars-le-Terroir,VD,Broye - Gros-de-Vaud,"Chemin de Champ-Court 2, 1040 Villars-le-Terroir",46.656300,6.638900,2538786.01,1167542.39,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
27,"Etablissement primaire de Prilly, Romanel-sur-Lausanne et Jouxtens-Mézery",Primaire,Prilly,VD,CRENOL,"Place du Collège 3, 1008 Prilly",46.534600,6.603800,2535955.27,1154042.30,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
28,Etablissement primaire de Renens-Est,Primaire,Renens VD,VD,CRENOL,"Avenue du 24-Janvier 24, 1020 Renens VD",46.536300,6.589800,2534883.35,1154242.81,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
29,Etablissement primaire de Renens-Ouest,Primaire,Renens VD,VD,CRENOL,"Rue du Bugnon 1, 1020 Renens VD",46.539700,6.588500,2534787.73,1154621.83,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
33,Etablissement primaire d'Orbe et environs,Primaire,Orbe,VD,Jura - Nord vaudois,"Chemin de Chantemerle 17a, 1350 Orbe",46.724000,6.531000,2530614.61,1175157.89,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
39,Etablissement primaire d'Yverdon-les-Bains - Edmond-Gilliard,Primaire,Yverdon-les-Bains,VD,Jura - Nord vaudois,"Rue Pestalozzi 2, 1400 Yverdon-les-Bains",46.778700,6.635000,2538627.11,1181151.58,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
