ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
1,Etablissement primaire et secondaire d'Aigle,Primaire et Secondaire,Aigle,VD,Alpes vaudoises,"Chemin de la Planchette 18, 1860 Aigle",46.319600,6.957500,2562941.96,1129914.23,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
2,Etablissement primaire et secondaire de Bex,Primaire et Secondaire,Bex,VD,Alpes vaudoises,"Chemin Pré-de-la-Cible 3, 1880 Bex",46.252200,7.013000,2567175.81,1122397.05,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
3,Etablissement primaire et secondaire de Château-d'Oex - Pays-d'Enhaut,Primaire et Secondaire,Château-d'Oex,VD,Alpes vaudoises,"Grand Rue 77, 1660 Château-d'Oex",46.474500,7.131800,2576434.17,1147065.95,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
4,Etablissement primaire et secondaire Les Ormonts-Leysin,Primaire et Secondaire,Le Sépey,VD,Alpes vaudoises,"Rue de la Gare 2, 1863 Le Sépey",46.361100,7.051900,2570235.46,1134487.20,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
5,Etablissement primaire et secondaire d'Ollon,Primaire et Secondaire,Ollon VD,VD,Alpes vaudoises,"Chemin du Collège 14, 1867 Ollon VD",46.292500,6.988400,2565304.54,1126887.55,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
6,Etablissement primaire et secondaire de Villeneuve Haut-Lac,Primaire et Secondaire,Villeneuve VD,VD,Alpes vaudoises,"Route de la Tour-Rouge 7a, 1844 Villeneuve VD",46.398400,6.929300,2560827.01,1138687.59,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
7,Etablissement primaire et secondaire d'Avenches et environs,Primaire et Secondaire,Avenches,VD,Broye - Gros-de-Vaud,"Route de Sous Ville 6a, 1580 Avenches",46.879100,7.036900,2569376.74,1192076.49,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
8,Etablissement primaire et secondaire de Bercher - Plateau du Jorat,Primaire et Secondaire,Bercher,VD,Broye - Gros-de-Vaud,"Route de Fey 16, 1038 Bercher",46.690300,6.706200,2543972.52,1171271.50,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
11,Etablissement primaire et secondaire du Jorat,Primaire et Secondaire,Mézières VD,VD,Broye - Gros-de-Vaud,"Chemin du Raffort 11, 1083 Mézières VD",46.586300,6.771400,2548861.32,1159666.05,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
18,Etablissement primaire et secondaire de Bussigny et Villars-Ste-Croix,Primaire et Secondaire,Bussigny,VD,CRENOL,"Rue des Collèges 2, 1030 Bussigny",46.551300,6.552400,2532033.29,1155941.97,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
19,Etablissement primaire et secondaire de Chavannes-près-Renens et de St-Sulpice,Primaire et Secondaire,Chavannes-près-Renens,VD,CRENOL,"Avenue de la Concorde 1, 1022 Chavannes-près-Renens",46.532600,6.574700,2533720.50,1153844.19,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
20,Etablissement primaire et secondaire de Cheseaux-sur-Lausanne-La Chamberonne,Primaire et Secondaire,Cheseaux-sur-Lausanne,VD,CRENOL,"Ch. Derrière-la-Ville 3, 1033 Cheseaux-sur-Lausanne",46.560800,6.608000,2536308.35,1156951.25,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
21,Etablissement primaire et secondaire de Crissier,Primaire et Secondaire,Crissier,VD,CRENOL,"Route de Marcolet 42, 1023 Crissier",46.545000,6.575200,2533774.06,1155222.14,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
22,Etablissement primaire et secondaire de Cugy et environs,Primaire et Secondaire,Cugy VD,VD,CRENOL,"Chemin de la Combe 5, 1053 Cugy VD",46.571500,6.654000,2539847.33,1158104.29,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
23,Etablissement primaire et secondaire d'Ecublens,Primaire et Secondaire,Ecublens VD,VD,CRENOL,"Route du Bois 6, 1024 Ecublens VD",46.531700,6.566600,2533098.00,1153751.03,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
