ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
9,Etablissement secondaire d'Echallens - Trois-Sapins,Secondaire,Echallens,VD,Broye - Gros-de-Vaud,"Chemin du Collège 6, 1040 Echallens",46.640200,6.647600,2539433.83,1165745.94,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM
13,Etablissement secondaire de Moudon - Lucens,Secondaire,Moudon,VD,Broye - Gros-de-Vaud,"Avenue de Lucens 3b, 1510 Moudon",46.668000,6.794500,2550706.43,1168733.19,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
14,Etablissement secondaire de Payerne et environs,Secondaire,Payerne,VD,Broye - Gros-de-Vaud,"Avenue de la Promenade 11, 1530 Payerne",46.820600,6.935700,2561620.80,1185617.83,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
30,Etablissement secondaire de Renens,Secondaire,Renens VD,VD,CRENOL,"Rue du Léman 12, 1020 Renens VD",46.530800,6.586000,2534585.20,1153634.61,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
34,Etablissement secondaire d'Orbe et environs,Secondaire,Orbe,VD,Jura - Nord vaudois,"Route de Valeyres 1a, 1350 Orbe",46.728000,6.533000,2530772.64,1175600.76,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
38,Etablissement secondaire d'Yverdon-les-Bains - de Felice,Secondaire,Yverdon-les-Bains,VD,Jura - Nord vaudois,"Rue de l'Arsenal 14, 1400 Yverdon-les-Bains",46.780000,6.641000,2539086.78,1181291.41,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
40,Etablissement secondaire d'Yverdon-les-Bains - Léon-Michaud,Secondaire,Yverdon-les-Bains,VD,Jura - Nord vaudois,"Rue Léon-Michaud 3, 1400 Yverdon-les-Bains",46.779000,6.632000,2538398.36,1181187.28,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
46,Etablissement secondaire de Coppet - Terre-Sainte,Secondaire,Coppet,VD,La Dôle,"Route de Founex 31, 1296 Coppet",46.322600,6.187100,2503613.99,1130903.98,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
50,Etablissement secondaire de Gland - Grand-Champ,Secondaire,Gland,VD,La Dôle,"Rue du Collège , 1196 Gland",46.421900,6.259800,2509378.53,1141854.57,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
52,Etablissement secondaire de Nyon - Marens,Secondaire,Nyon,VD,La Dôle,"Route du Stand 5, 1260 Nyon",46.382200,6.226000,2506712.12,1137481.51,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
