name,type,public_or_private,access_type,lat_wgs84,lon_wgs84,municipality,source
Bibliothèque de la Cité,library,public,free,46.2014,6.1462,Geneva,OSM
Bibliothèque du Musée d'Art et d'Histoire,library,public,free,46.2004,6.1538,Geneva,OSM
Bibliothèque de Carouge,library,public,free,46.1887,6.1439,Carouge,OSM
Bibliothèque Musicale de Genève,library,public,free,46.2011,6.1458,Geneva,OSM
Bibliothèque Universitaire de Genève,library,public,free,46.1992,6.1408,Geneva,OSM
Médiathèque de la Servette,library,public,free,46.2151,6.1351,Geneva,OSM
Musée d'Art et d'Histoire,museum,public,paid,46.1998,6.1543,Geneva,Google Places
Musée d'Ethnographie de Genève,museum,public,free,46.1942,6.1448,Geneva,Google Places
MAMCO – Musée d'Art Moderne et Contemporain,museum,public,paid,46.1991,6.1419,Geneva,Google Places
Musée d'Histoire des Sciences,museum,public,free,46.2264,6.1538,Geneva,Google Places
Maison Tavel,museum,public,paid,46.2014,6.1468,Geneva,Google Places
Espace Culturel des Grottes,cultural_center,public,free,46.2098,6.1441,Geneva,OSM
La Maison des Associations,community_center,public,free,46.1971,6.1397,Geneva,OSM
Le Commun – Bâtiment d'Art Contemporain,cultural_center,public,mixed,46.1988,6.1413,Geneva,OSM
Maison des Quartiers Jonction,community_center,public,free,46.1963,6.1358,Geneva,OSM
Maison de Quartier des Pâquis,community_center,public,free,46.2091,6.1481,Geneva,OSM
Maison de Quartier Plainpalais,community_center,public,free,46.1991,6.1414,Geneva,OSM
Centre de Loisirs et Culture Rive Gauche,community_center,public,free,46.2032,6.1501,Geneva,OSM
Espace Kugler,cultural_center,public,mixed,46.1988,6.1541,Geneva,OSM
FabLab Genève,makerspace,private,paid,46.1994,6.1409,Geneva,OSM
Coworking Station Geneva,coworking_space,private,paid,46.2089,6.1434,Geneva,OSM
Impact Hub Geneva,coworking_space,private,paid,46.1998,6.1419,Geneva,OSM
Bonne Cause Repair Café,repair_cafe,private,free,46.2015,6.1452,Geneva,OSM
