nom,adresse,E_LV95,N_LV95
Cathédrale Saint-Pierre Genève,Cr de Saint-Pierre 1204 Genève,2500420,1117450
Basilique Notre-Dame de Genève,Pl. de Cornavin 1201 Genève,2499961,1118301
Église Russe Genève,Rue Rodolphe-Toepffer 9 1206 Genève,2500820,1117189
Temple de Saint-Gervais,Rue des Terreaux-du-Temple 12 1201 Genève,2499850,1118055
Église Évangélique de Réveil,Rue du Jura 4 1201 Genève,2499607,1118373
Église Sainte-Trinité,Rue Ferrier 16 1202 Genève,2500345,1119149
Paroisse Sainte-Thérèse,Av. Peschier 14 1206 Genève,2500990,1116453
Evangelical Lutheran Church of Geneva,Rue Verdaine 20 1204 Genève,2500500,1117450
Église Saint-Joseph de Genève,Rue Anne-De-Lusignan 1 1207 Genève,2500959,1117575
Église Notre-Dame de l'Immaculée Conception,Rue de la Colombière 18 1260 Nyon,2507842,1137510
Temple de Nyon,Rue du Temple 2 1260 Nyon,2507625,1137317
Église Évangélique La Fraternelle,Rue Juste Olivier 6 1260 Nyon,2507524,1137650
Église Néo-apostolique Nyon,Rte de Saint-Cergue 91 1260 Nyon,2507244,1138754
Église catholique Saint-Joseph Rolle,Rle des Halles 1 1180 Rolle,2515513,1145744
Temple de Rolle,Rte des Quatre-Communes 1180 Rolle,2515316,1145842
Église Évangélique les Marronniers,Rue des Petites-Buttes 10 1180 Rolle,2515285,1145762
Église de Mont-sur-Rolle,1185 Mont-sur-Rolle,2515387,1147222
Église catholique St François de Sales,Rue Louis de Savoie 31 1110 Morges,2527929,1151299
Temple de Morges,Pl. de l'Eglise 2 1110 Morges,2527969,1151493
Cathédrale de Lausanne,Pl. de la Cathédrale 1 1005 Lausanne,2538326,1152696
Église Notre-Dame du Valentin,Rue Pré-du-Marché 2 1004 Lausanne,2538029,1152799
Église réformée Saint-François,Pl. Saint-François 1003 Lausanne,2538202,1152369
Church of England Lausanne,Av. de l'Eglise-Anglaise 1 1006 Lausanne,2537982,1151773
Église Saint-Laurent Lausanne,Rue Saint-Laurent 1003 Lausanne,2538005,1152650
Église du Sacré-Cœur Lausanne,Chem. de Beau-Rivage 3 1006 Lausanne,2537990,1151339
Église Saint-Jacques Lausanne,Av. du Léman 26 1005 Lausanne,2539285,1151885
Paroisse Saint-Jean EERV,Avenue Edouard-Dapples 50 1006 Lausanne,2536355,1152142
Église Notre-Dame Vevey,Rue des Chenevières 6 1800 Vevey,2554985,1145419
Église Sainte-Claire Vevey,Rue Sainte-Claire 1 1800 Vevey,2554640,1145473
Église de St. Jean Vevey,Rue de Fribourg 34 1804 Vevey,2554385,1146575
Église Saint-Martin Vevey,Bvd de Saint-Martin 33 1800 Vevey,2554553,1145815
Église Orthodoxe Russe Sainte-Barbara,Rue des Communaux 12 1800 Vevey,2554430,1145792
Église Évangélique La Passerelle Vevey,Av. de Gilamont 34 1800 Vevey,2554706,1146587
All Saints Church Vevey,Av. de la Prairie 40 1800 Vevey,2554811,1145585
Église du Sacré-Cœur Montreux,Av. du Casino 30 1820 Montreux,2559576,1142281
Église Saint-Vincent Montreux,Rue du Temple 30 1820 Montreux,2560048,1142354
Église Notre-Dame de Lépante Montreux,Rue de la Gare 24 1820 Montreux,2559466,1142903
Église Néo-apostolique Montreux,Av. Claude-Nobs 10 1820 Montreux,2558930,1143330
Cure catholique romaine de Clarens,Av. Alexandre Vinet 34 1815 Clarens,2558033,1143553
St. John's Anglican Church Montreux,Av. de Chillon 92 1820 Montreux,2560361,1141843
Paroisse catholique Villeneuve-Veytaux,Av. de Byron 1 1844 Villeneuve,2560713,1139071
Villeneuve Temple,Pl. du Temple 1844 Villeneuve,2560513,1138442
