nom,adresse,E_LV95,N_LV95
"A pop Up Store","Rue des Eaux-Vives 47, 1207 Genève",2501235,1117823
"Pop-Space / Pop-Up store","Carré de Rive 1, 1207 Genève",2500959,1117400
"ID Space / Pop-up Store","Rue de Berne 59, 1201 Genève",2500392,1118795
"Uptown Geneva","Rue de la Servette 2, 1201 Genève",2499727,1118391
"Allianz Cinema Genève (open air)","Quai Gustave-Ador 87, 1207 Genève",2502125,1118535
"Cirque de Noël Genève","Plaine de Plainpalais, 1205 Genève",2499732,1117224
"Ella Fitzgerald Stage – Fêtes de Genève","Av. Alice-et-William-Favre 19, 1207 Genève",2501942,1118039
"Plein-les-Watts Festival","Parc Navazza-Oltramare, 1213 Lancy",2497797,1115604
"Village de la Danse – Fête de la Danse","Av. de la Jonction 26, 1205 Genève",2498619,1117486
"Mai au Parc","Rte du Grand-Lancy 8, 1212 Lancy",2498366,1115909
"Festival L'Escalier","Rue de Genève 64, 1225 Chêne-Bourg",2504112,1116567
"Association Bars en Fête","Rue Cavour 20, 1203 Genève",2499218,1118151
"Paléo Festival Nyon","Rte de Saint-Cergue 312, 1260 Nyon",2505641,1139742
"Caribana Festival","Rte de Suisse 16, 1299 Crans (VD)",2506054,1135012
"Un été sous les Marronniers","Place des Marronniers, 1260 Nyon",2507684,1137234
"Usine à Gaz","Rue César Soulié 1, 1260 Nyon",2508094,1137642
"Salle communale de Nyon","Rue des Marchandises 5, 1260 Nyon",2507780,1137764
"Rolle Openair Cinéma","Grand-Rue/Place du Château 1, 1180 Rolle",2515706,1145841
"Casino Théâtre de Rolle","Rue du Port 15, 1180 Rolle",2515350,1145470
"Rosey Concert Hall","Route des Quatres Communes, 1180 Rolle",2514736,1145998
"Salle des Chevaliers","Grand-Rue 1, 1180 Rolle",2515706,1145841
"Paillote Festival","Parc de l'Indépendance, 1110 Morges",2527648,1150911
"Morges Open-Air Cinéma","Rue du Château 1, 1110 Morges",2527700,1151035
"Espace 81","Grand-Rue 81, 1110 Morges",2527792,1151222
"Association Balélec (EPFL)","EPFL Station 1, 1015 Lausanne",2533271,1152480
"spot2b","Rue Enning 8, 1003 Lausanne",2538528,1152396
"Popup Marché Paysan","Esc. du Marché 2, 1002 Lausanne",2538243,1152617
"Espace Amaretto","Rue de Genève 97B, 1004 Lausanne",2536580,1152956
"Earth Festival","All. Ernest-Ansermet, 1003 Lausanne",2537734,1152398
"Festival de la Cité","Pl. de la Cathédrale 6, 1005 Lausanne",2538359,1152631
"O'Chap (chapiteau cirque)","Av. du Chablais 18, 1008 Prilly",2535721,1153002
"Camion-Chapiteau T-âtre IBonillo","Rte des Plaines-du-Loup 51b, 1018 Lausanne",2537242,1154668
"Esplanade de Montbenon (scène estivale)","All. Ernest-Ansermet 3, 1003 Lausanne",2537637,1152404
"Rencontres 7e Art Lausanne","Rue Saint-Roch 4, 1004 Lausanne",2537879,1152893
"Square FLON (événements)","Rue du Port-Franc 17, 1003 Lausanne",2537740,1152565
"Festival International des Artistes de rue de Vevey","Pl. Scanavin, 1800 Vevey",2554343,1145523
"I-D Pop Up","Rle des Anciens-Fossés 1, 1800 Vevey",2554243,1145486
"Rocking Chair – Vevey","Av. de Gilamont 60, 1800 Vevey",2554961,1146912
"Festival Nox Orae","Jeunes Rives, 1814 La Tour-de-Peilz",2555048,1145073
"Images Vevey (Biennale photo)","Pl. de la Gare, 1800 Vevey",2554289,1145888
"Bel Univers","Rue Louis-Meyer 9, 1800 Vevey",2553894,1145668
"Montreux Jazz Festival","Av. Claude-Nobs 5, 1820 Montreux",2558939,1143238
"Septembre Musical","Chem. des Terrasses 10, 1820 Montreux",2560541,1141594
"Festival de musique classique Montreux-Vevey","1820 Montreux",2563162,1141920
"La 17ème","Av. des Alpes 112, 1820 Montreux",2559236,1143184
"La Scène des Planches","Rue du Pont 24, 1820 Montreux",2559807,1142658
"Mag Montreux Art Gallery","Rue de la Paix 4, 1820 Montreux",2559469,1142387
"Château de Chillon (spectacles éphémères)","Av. de Chillon 21, 1820 Veytaux",2560699,1140446
"Fort de Chillon (expositions)","Av. de Chillon 22, 1820 Veytaux",2560797,1140462
