nom,type,commune,canton,E_LV95,N_LV95
Genève-Jardin-Anglais,CGN,Genève,GE,2500688,1117775
Genève-Pâquis,CGN,Genève,GE,2500626,1118289
Embarcadère du Port-Noir,CGN,Genève,GE,2502147,1118546
Port de Bellevue,CGN,Bellevue,GE,2500902,1123232
Port-Choiseul à Versoix,CGN,Versoix,GE,2502314,1127185
Plage débarcadère d'Anières,CGN,Anières,GE,2506169,1125949
Port d'Hermance,CGN,Hermance,GE,2507787,1128481
Port de Coppet,CGN,Coppet,VD,2503968,1129991
Port de Céligny,CGN,Céligny,GE,2505359,1133916
Port des Abériaux,CGN,Prangins,VD,2509142,1138443
Port de plaisance de Nyon,CGN,Nyon,VD,2507842,1137142
Port de Rolle,CGN,Rolle,VD,2515282,1145181
Port de Morges,CGN,Morges,VD,2527832,1151032
Port Lausanne-Ouchy,CGN,Lausanne,VD,2537405,1150954
Port de Vidy,CGN,Lausanne,VD,2536128,1151506
Port de Lutry,CGN,Lutry,VD,2542161,1150294
Port de Cully,CGN,Cully,VD,2546272,1148886
Port de la Pichette,CGN,Corseaux,VD,2551970,1146708
Embarcadère Vevey-La Tour,CGN,Vevey,VD,2554780,1145238
Port de La Tour-De-Peilz,CGN,La Tour-de-Peilz,VD,2555291,1144630
Port du Basset - Clarens,CGN,Montreux,VD,2557468,1143578
Port de Territet,CGN,Montreux,VD,2560320,1141751
Port de Villeneuve,CGN,Villeneuve,VD,2560114,1138494
Port Wilson,Plaisance privée,Genève,GE,2500869,1118685
Port du Reposoir,Plaisance privée,Pregny-Chambésy,GE,2500618,1120797
Port Barton,Plaisance privée,Genève,GE,2500730,1119852
Port de la Perle du Lac,Plaisance privée,Genève,GE,2500798,1119495
Société Nautique de Genève,Plaisance privée,Cologny,GE,2502312,1118744
Port La Belotte,Plaisance privée,Cologny,GE,2503858,1121242
Port de Bellerive,Plaisance privée,Collonge-Bellerive,GE,2503987,1123118
Port Saladin,Plaisance privée,Bellevue,GE,2501033,1123464
Port Gitana,Plaisance privée,Bellevue,GE,2500966,1123338
Port du Creux-de-Genthod,Plaisance privée,Genthod,GE,2501748,1124408
Port de Tannay,Plaisance privée,Tannay,VD,2503129,1128914
Port de Founex,Plaisance privée,Founex,VD,2504833,1132206
Port Vidoli,Plaisance privée,Crans-près-Céligny,VD,2505895,1134778
Port de Crans,Plaisance privée,Crans-près-Céligny,VD,2505989,1134966
Port de Rolle (plaisance),Plaisance privée,Rolle,VD,2515282,1145181
Port de Morges (plaisance),Plaisance privée,Morges,VD,2527832,1151032
Port de Vidy (plaisance),Plaisance privée,Lausanne,VD,2536128,1151506
Port de Lutry (plaisance),Plaisance privée,Lutry,VD,2542161,1150294
Port de Cully (plaisance),Plaisance privée,Cully,VD,2546272,1148886
Port de la Pichette (plaisance),Plaisance privée,Corseaux,VD,2551970,1146708
Port de Vevey,Plaisance privée,Vevey,VD,2554780,1145238
Port de La Tour-de-Peilz,Plaisance privée,La Tour-de-Peilz,VD,2555291,1144630
Port du Basset - Montreux,Plaisance privée,Montreux,VD,2557468,1143578
Port de Territet (plaisance),Plaisance privée,Montreux,VD,2560320,1141751
Port de Villeneuve (plaisance),Plaisance privée,Villeneuve,VD,2560114,1138494
