NOM_ENTREPRISE,COMMUNE,ADRESSE,lon_wgs84,lat_wgs84,E_LV95,N_LV95,CODE_NOGA,SECTEUR,ETP,INTENSITE_ENERGETIQUE,CONSO_ESTIMEE_MWh
Nestlé SA,Vevey,Avenue Nestlé 55,6.8348,46.4674,2561130,1152610,10,Agroalimentaire biens consommation,3500,Forte,280000
Alimentarium,Vevey,Quai Perdonnet 25,6.8433,46.4604,2561700,1151830,91,Services logistique,50,Faible,750
ACMV Andritz Hydro,Vevey,Avenue de Rhodanie,6.8450,46.4650,2561850,1152350,28,Industrie lourde,180,Moyenne,7200
Nespresso R&D,Vevey,Avenue Nestlé,6.8367,46.4683,2561300,1152730,10,Agroalimentaire biens consommation,320,Forte,25600
Felli Construction,Vevey,Rue du Simplon 32,6.8517,46.4583,2562100,1151600,42,Construction artisanat,28,Moyenne,1120
Grisoni SA,Vevey,Rue de Clos-Derrey,6.8400,46.4633,2561550,1152170,43,Construction artisanat,45,Moyenne,1800
Menuiserie Vevey,Vevey,Rue de Lausanne,6.8383,46.4617,2561400,1151990,16,Construction artisanat,15,Moyenne,600
Carrosserie du Léman,Vevey,Avenue Reller,6.8467,46.4600,2561950,1151790,45,Construction artisanat,18,Moyenne,720
Garage Nestlé,Vevey,Route de Lausanne,6.8333,46.4650,2561000,1152350,45,Construction artisanat,22,Faible,330
Imprimerie Klausfelder,Vevey,Rue du Simplon,6.8500,46.4617,2562050,1151990,18,Construction artisanat,28,Moyenne,1120
Électricité Vevey,Vevey,Rue de Lausanne 48,6.8350,46.4633,2561150,1152170,43,Construction artisanat,16,Faible,240
Plomberie Sanitaire,Vevey,Avenue Général-Guisan,6.8417,46.4650,2561600,1152350,43,Construction artisanat,14,Moyenne,560
Boulangerie Haldemann,Vevey,Grande Place,6.8433,46.4617,2561700,1151990,10,Agroalimentaire biens consommation,12,Forte,960
Boucherie Centrale,Vevey,Rue du Lac,6.8450,46.4633,2561850,1152170,10,Agroalimentaire biens consommation,10,Forte,800
Pharmacie Léman,Vevey,Avenue Nestlé,6.8383,46.4667,2561400,1152550,47,Services logistique,8,Faible,120
Coiffure Création,Vevey,Rue du Lac,6.8467,46.4617,2561950,1151990,96,Services logistique,6,Faible,90
Pressing Moderne,Vevey,Avenue Reller,6.8483,46.4600,2562050,1151790,96,Services logistique,8,Moyenne,320
Alstom Transport,Villeneuve,ZI A26,6.9267,46.3950,2569850,1145050,30,Industrie lourde,300,Moyenne,12000
Garage Villeneuve,Villeneuve,Route de Lausanne,6.9233,46.3967,2569550,1145240,45,Construction artisanat,12,Faible,180
Menuiserie Chablais,Villeneuve,Zone Industrielle,6.9283,46.3933,2570000,1144860,16,Construction artisanat,16,Moyenne,640
Électricité Services,Villeneuve,Avenue Centrale,6.9250,46.3983,2569700,1145420,43,Construction artisanat,10,Faible,150
Boulangerie du Port,Villeneuve,Route du Port,6.9217,46.3983,2569400,1145420,10,Agroalimentaire biens consommation,8,Forte,640
Zwahlen Mayr,Aigle,Zone Les Iles,6.9683,46.3183,2573300,1136550,28,Industrie lourde,180,Moyenne,7200
Reitzel,Aigle,Zone Les Iles,6.9717,46.3200,2573600,1136740,25,Industrie lourde,95,Moyenne,3800
Badoux Vins,Aigle,Rue Louis-Paccoud 31,6.9667,46.3167,2573150,1136360,11,Agroalimentaire biens consommation,45,Faible,675
Menuiserie Alpine,Aigle,Route Industrielle,6.9700,46.3217,2573450,1136930,16,Construction artisanat,24,Moyenne,960
Carrosserie Chablais,Aigle,Zone Les Iles,6.9733,46.3233,2573750,1137110,45,Construction artisanat,18,Moyenne,720
Garage Central Aigle,Aigle,Avenue de la Gare,6.9650,46.3150,2572950,1136170,45,Construction artisanat,16,Faible,240
Imprimerie Aigle,Aigle,Rue du Bourg,6.9633,46.3167,2572800,1136360,18,Construction artisanat,14,Moyenne,560
Électricité Aigle,Aigle,Zone Les Iles,6.9667,46.3200,2573150,1136740,43,Construction artisanat,20,Faible,300
Plomberie Chauffage,Aigle,Route Industrielle,6.9717,46.3183,2573600,1136550,43,Construction artisanat,18,Moyenne,720
Boulangerie Tradition,Aigle,Place du Marché,6.9650,46.3133,2572950,1135980,10,Agroalimentaire biens consommation,10,Forte,800
Boucherie Fine,Aigle,Rue du Midi,6.9633,46.3150,2572800,1136170,10,Agroalimentaire biens consommation,12,Forte,960
Métallerie Aigle,Aigle,Zone Les Iles,6.9750,46.3217,2573900,1136930,25,Industrie lourde,15,Moyenne,600
Serrurerie Moderne,Aigle,Route du Cloître,6.9617,46.3150,2572650,1136170,25,Industrie lourde,8,Moyenne,320
Mines de Sel,Bex,Route des Mines de Sel,7.0150,46.2533,2577000,1129300,08,Industrie lourde,85,Très forte,12750
Électricité Services Bex,Bex,Route de la Gare,7.0117,46.2550,2576700,1129490,43,Construction artisanat,16,Faible,240
Plomberie Sanitaire Bex,Bex,Route Industrielle,7.0133,46.2567,2576850,1129680,43,Construction artisanat,14,Moyenne,560
Menuiserie Bex,Bex,Route de Lavey,7.0167,46.2583,2577150,1129860,16,Construction artisanat,12,Moyenne,480
Garage Bex,Bex,Avenue de la Gare,7.0100,46.2550,2576550,1129490,45,Construction artisanat,10,Faible,150
Boulangerie Bex,Bex,Grand-Rue,7.0083,46.2533,2576400,1129300,10,Agroalimentaire biens consommation,8,Forte,640
Bobst Group SA,Mex,Route de Faraz 3,6.5512,46.5703,2537350,1163700,28,Industrie lourde,850,Moyenne,34000
Bobst Mex SA,Mex,Route de Faraz 3,6.5512,46.5703,2537350,1163700,28,Industrie lourde,450,Moyenne,18000
Bobst Restauration,Mex,Route de Faraz 3,6.5512,46.5703,2537350,1163700,56,Services logistique,35,Faible,525
Mécanique Precision Mex,Mex,Route de Faraz,6.5528,46.5720,2537500,1163890,25,Industrie lourde,22,Moyenne,880
Logitech,Romanel-sur-Morges,Rue du Verney,6.5583,46.5500,2538000,1161550,26,Industrie precision,450,Faible,6750
Menuiserie Morges,Morges,Route de Lausanne,6.4967,46.5117,2532050,1157430,16,Construction artisanat,18,Moyenne,720
Atelier Mécanique Morges,Morges,Zone Industrielle,6.4983,46.5133,2532200,1157610,25,Industrie lourde,18,Moyenne,720
Boulangerie Haldemann,Morges,Grand-Rue,6.4983,46.5133,2532200,1157610,10,Agroalimentaire biens consommation,22,Forte,1760
Garage Morges,Morges,Route de Lausanne,6.5000,46.5150,2532350,1157800,45,Construction artisanat,20,Faible,300
Imprimerie Morges,Morges,Avenue de Vertou,6.4950,46.5100,2531900,1157240,18,Construction artisanat,16,Moyenne,640
Électricité Morges,Morges,Rue de l'Industrie,6.5017,46.5133,2532500,1157610,43,Construction artisanat,14,Faible,210
Plomberie Morges,Morges,Route de Préverenges,6.5033,46.5150,2532650,1157800,43,Construction artisanat,12,Moyenne,480
Chiquita,Rolle,A-One Business Center,6.3333,46.4567,2522650,1150750,46,Services logistique,120,Faible,1800
ADM,Rolle,A-One Business Center,6.3333,46.4567,2522650,1150750,10,Agroalimentaire biens consommation,95,Moyenne,3800
Honeywell,Rolle,A-One Business Center,6.3350,46.4583,2522800,1150940,28,Industrie lourde,85,Faible,1275
SC Johnson,Rolle,A-One Business Center,6.3367,46.4600,2522950,1151130,20,Chimie sciences vie,75,Moyenne,3000
Garage Rolle,Rolle,Route de Genève,6.3317,46.4550,2522500,1150560,45,Construction artisanat,12,Faible,180
Menuiserie Rolle,Rolle,Grand-Rue,6.3300,46.4533,2522350,1150370,16,Construction artisanat,10,Moyenne,400
Philip Morris,Lausanne,Avenue de Rhodanie 50,6.6300,46.5150,2544500,1157800,12,Agroalimentaire biens consommation,850,Forte,127500
Tetra Pak,Romont-sur-Lausanne,Route de la Chocolatière,6.5933,46.5367,2540950,1160100,28,Industrie lourde,380,Moyenne,15200
Nespresso Production,Romont-sur-Lausanne,Avenue Nestlé,6.5950,46.5380,2541100,1160250,10,Agroalimentaire biens consommation,650,Forte,52000
Menuiserie Paccaud,Lausanne,Rue de Genève 85,6.6333,46.5200,2544800,1158360,16,Construction artisanat,28,Moyenne,1120
Imprimerie Vincent,Lausanne,Avenue de Morges,6.6217,46.5183,2543500,1158170,18,Construction artisanat,38,Moyenne,1520
Garage Central Lausanne,Lausanne,Rue de la Vigie,6.6367,46.5217,2545100,1158550,45,Construction artisanat,24,Faible,360
Électricité Lausanne,Lausanne,Avenue d'Ouchy,6.6283,46.5167,2544200,1157990,43,Construction artisanat,32,Faible,480
