E_LV95,N_LV95,espece,art_nest,nat_nest,p_nat_nest,localisati,detail_loc,remarques,categorie_type,categorie_label
2537528,1154416,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2537714,1154349,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2536384,1152397,Chauve-souris,,,,Edifice religieux,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2536384,1152397,Chauve-souris,,,,Edifice religieux,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2535766,1152178,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2538783,1153701,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2537489,1152503,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2538206,1152674,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2536705,1154526,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2536705,1154526,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2536705,1154526,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2538046,1151363,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2536409,1152384,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2537794,1154094,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2538322,1152676,Chauve-souris,,,,Edifice religieux,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2537008,1151511,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2537067,1151485,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2539167,1152747,Chauve-souris,,,,Nichoir,,,nichoir_artificiel,Nichoir artificiel
2538580,1154452,Chauve-souris,,,,Nichoir,,,nichoir_artificiel,Nichoir artificiel
2538580,1154452,Chauve-souris,,,,Nichoir,,,nichoir_artificiel,Nichoir artificiel
2538627,1154451,Chauve-souris,,,,Nichoir,,,nichoir_artificiel,Nichoir artificiel
2540014,1153880,Chauve-souris,,,,Nichoir,,,nichoir_artificiel,Nichoir artificiel
2537361,1151744,Chauve-souris,,,,Nichoir,,,nichoir_artificiel,Nichoir artificiel
2539050,1151527,Chauve-souris,,,,Tunnel,,,nichoir_artificiel,Nichoir artificiel (tunnel)
2536344,1152127,Chauve-souris,,,,Edifice religieux,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2536379,1152389,Chauve-souris,,,,Edifice religieux,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2536379,1152389,Chauve-souris,,,,Edifice religieux,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2536379,1152389,Chauve-souris,,,,Edifice religieux,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2536379,1152389,Chauve-souris,,,,Edifice religieux,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2535263,1152686,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2539615,1152306,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2537788,1152219,Chauve-souris,,,,Bâtiment,,,nichoir_naturel,Nid / gîte naturel sur structure bâtie
2537527,1152641,Chauve-souris,,,,Nichoir,,,nichoir_artificiel,Nichoir artificiel
2539365,1151649,Hirondelle de fenêtre,0,5,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536575,1153075,Hirondelle de fenêtre,0,2,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536118,1153011,Hirondelle de fenêtre,0,5,2,,,,nichoir_naturel,Nid naturel sur structure bâtie
