structure_id,structure_name,structure_type,city,location_description,lat_wgs84,lon_wgs84,E_LV95,N_LV95,season,start_date,end_date,duration_days,frequency,year_round,duration_class,category,importance_score,importance_rationale
28,Geneva Ice Rink,Temporary Ice Rink,Geneva,Various locations,46.2105254,6.1517084,2500238,1117564,Winter,Dec,Feb,90,Annual,No,Seasonal,Winter Event,3,"Geneva Ice Rink, central city ~30k/season"
45,Lutry Lavaux Panoramic,Wine Tourism,Lutry,Vineyards,46.5026940,6.6894250,2541760,1150240,Spring-Autumn,Apr,Oct,214,Annual,No,Seasonal,Festival,3,Lutry Lavaux Panoramic wine tourism
47,Territet-Veytaux Lakefront,Promenade,Montreux,Lakefront,46.4228000,6.9189000,2561170,1142470,All year,Daily,Daily,365,Daily,Yes,Daily,Swim Facility,3,"Territet-Veytaux Lakefront Promenade, daily use"
92,Sauna Mobile Nyon,Movable Sauna,Nyon,Plage des Trois Jetées,46.3764030,6.2355043,2505330,1135740,Winter,Nov,Mar,120,Annual,No,Seasonal,Winter Event,2,"Sauna Mobile Nyon, niche activity ~2k"
93,Sauna Mobile Lausanne,Movable Sauna,Lausanne,Various beaches,46.5068281,6.6266154,2537260,1150680,Winter,Nov,Mar,120,Annual,No,Seasonal,Winter Event,3,"Sauna Mobile Lausanne, larger city ~5k"
94,Sauna Mobile Vevey,Movable Sauna,Vevey,Lakefront,46.4623450,6.8451450,2556310,1145770,Winter,Nov,Mar,120,Annual,No,Seasonal,Winter Event,2,Sauna Mobile Vevey ~3k
95,Sauna Mobile La Tour-de-Peilz,Movable Sauna,La Tour-de-Peilz,La Maladaire,46.4464134,6.8787873,2559350,1144180,Winter,Nov,Mar,120,Annual,No,Seasonal,Winter Event,2,Sauna Mobile La Tour-de-Peilz ~2k
96,Patinoire de Vevey,Temporary Ice Rink,Vevey,Rue Louis-Meyer,46.4599451,6.8405555,2555620,1145450,Winter,Nov,Feb,120,Annual,No,Seasonal,Winter Event,2,Patinoire de Vevey ~10k
97,Patinoire de Nyon,Temporary Ice Rink,Nyon,Town Center,46.3826000,6.2393000,2505200,1136380,Winter,Nov,Feb,120,Annual,No,Seasonal,Winter Event,2,Patinoire de Nyon ~10k
98,Patinoire de Montchoisi,Outdoor Ice Rink,Lausanne,Avenue du Servan 30,46.5079060,6.6359790,2537920,1150818,Winter,Nov,Mar,120,Annual,No,Seasonal,Winter Event,3,Patinoire de Montchoisi Lausanne ~25k
