nom,adresse,tradition,E_LV95,N_LV95
Fo Guang Shan Centre Bouddhiste,Cointrin/Grand-Saconnex Geneve,Bouddhisme Chan Taiwanais,2497709.28,1120205.49
Bouddhiste Centre International,Cointrin Geneve,Bouddhisme Theravada,2497189.67,1120011.71
Centre de Meditation Kadampa Geneve,Geneve,Bouddhisme Tibetain Kadampa,2501516.85,1117533.71
International Buddhist Foundation,Les Acacias Geneve,Bouddhisme Sri Lankais Theravada,2499622.18,1116570.35
Centre bouddhiste Kagyu Shenpen Kuntchab,Geneve,Bouddhisme Tibetain Kagyu,2500957.40,1116352.00
Centre Bouddhiste Tibetain,Anieres Geneve,Bouddhisme Tibetain,2506912.24,1126480.39
Centre de Meditation Kadampa Lausanne,Lausanne,Bouddhisme Tibetain Kadampa,2537894.95,1152228.63
Centre bouddhiste Rigdzin,Lausanne,Bouddhisme Tibetain Nyingma,2539315.36,1151606.19
Rabten Choeling Center of Tibetan Studies,Chardonne,Bouddhisme Tibetain Gueloug,2553020.04,1148112.00
Tibetan Buddhist Temple Rabten Choeling,Chardonne,Bouddhisme Tibetain,2553078.00,1148103.35
Dojo Zen Sansui,Clarens,Bouddhisme Zen,2558476.01,1143413.16
