nom,adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,type,ville
"Fo Guang Shan Centre de Conférence Bouddhiste","Chem. Terroux 20 bis, 1218 Genève",46.225500,6.112794,2499887.35,1118499.49,Temple bouddhiste taïwanais,Le Grand-Saconnex
"Bouddhiste Centre International","Chem. de Joinville 22, 1216 Cointrin",46.223678,6.106103,2499415.32,1118297.45,Centre bouddhiste,Cointrin
"Centre de Méditation Kadampa","Rte de Frontenex 41BIS, 1207 Genève",46.202037,6.162701,2502912.21,1115996.32,Centre méditation Kadampa,Genève
"International Buddhist Foundation","Quai des Vernets 1, 1227 Les Acacias",46.193092,6.138365,2501218.67,1115001.37,Temple bouddhiste sri-lankais,Les Acacias
"Centre bouddhiste Kagyu Shenpen Kuntchab","Av. Dumas 17, 1206 Genève",46.191326,6.155705,2502564.45,1114805.51,Centre bouddhiste tibétain Kagyu,Genève
"Temple de la Foi Sereine","Rue de Fribourg 9, 1201 Genève",46.211045,6.145258,2501773.88,1117012.06,Temple bouddhiste,Genève
"Diamond Way Buddhism","Rue Philippe-Plantamour 34, 1202 Genève",46.211463,6.151231,2502193.87,1117059.21,Centre bouddhiste,Genève
"Centre Bouddhiste Atisha","Rte de Frontenex 41, 1207 Genève",46.202040,6.162756,2502916.11,1115996.65,Centre bouddhiste Kadampa,Genève
"Association Dojo Zen de Genève","Av. Calas 16, 1206 Genève",46.189164,6.154359,2502469.89,1114564.30,Dojo Zen Soto,Genève
"Ressource Mindfulness","Rue des Plantaporrêts 3, 1205 Genève",46.201761,6.132068,2500791.25,1116008.18,Centre pleine conscience MBSR,Genève
"Centre Bouddhiste Tibétain","Chem. des Hutins 23, 1247 Anières",46.283278,6.230805,2509022.95,1125018.36,Temple bouddhiste tibétain,Anières
"Sahaja Yoga Meditation Gland","Rte des Avouillons 4, 1196 Gland",46.416306,6.268774,2511579.59,1139126.26,Centre Sahaja Yoga,Gland
"Méditation Suisse Romande","Rue Centrale 21, 1110 Morges",46.510273,6.496420,2528327.05,1149817.06,Centre de méditation,Morges
"Centre bouddhiste Rigdzin","Chem. du Trabandan 51, 1006 Lausanne",46.513001,6.647917,2539724.16,1149851.61,Temple bouddhiste tibétain Nyingma,Lausanne
"Centre de méditation Kadampa - Lausanne","Chem. de Mornex 4, 1003 Lausanne",46.518469,6.629327,2538011.94,1150463.55,Centre méditation Kadampa,Lausanne
"Buddhadharma","Av. de Morges 139, 1004 Lausanne",46.526129,6.613402,2536896.13,1151316.25,Temple bouddhiste,Lausanne
"Zen Dojo A.z.i.","Galeries Saint-François, 1003 Lausanne",46.519644,6.634757,2538395.14,1150600.61,Dojo Zen,Lausanne
"MBSR-Lausanne","Rue de Bourg 43, 1003 Lausanne",46.520073,6.636195,2538500.19,1150652.70,Centre pleine conscience MBSR,Lausanne
"Mindful-Life","Chem. du Salève 3, 1003 Lausanne",46.531481,6.624336,2537325.17,1151919.89,Centre pleine conscience,Lausanne
"Inside Out Mindfulness","Rue Pépinet 3, 1003 Lausanne",46.520266,6.632394,2538333.83,1150654.86,Centre pleine conscience MBSR,Lausanne
"Blue Meditation MBSR","Chem. des Esserpys 1, 1032 Romanel-sur-Lausanne",46.565753,6.598278,2535731.68,1155946.61,Centre pleine conscience MBSR,Romanel-sur-Lausanne
"Tila Yoga & Soins","Grand'Rue 1, 1091 Grandvaux",46.493662,6.716008,2543603.35,1147711.23,Centre yoga et méditation,Grandvaux
"Center of Tibetan Studies - Rabten Choeling Monastery","Chem. du Dérochoz 2, 1801 Chardonne",46.482673,6.826837,2551353.97,1146498.34,Monastère tibétain,Chardonne
"Chemins de Conscience","Rue du Conseil 25, 1800 Vevey",46.459993,6.843698,2552967.76,1143999.47,Centre de méditation pleine conscience,Vevey
"Terre d'Eveil Dalmas & Monnard","Av. de Corsier 6, 1800 Vevey",46.466979,6.844447,2553021.00,1144668.22,Centre spirituel et yoga,Vevey
