"nom","adresse","ville","type","E_LV95","N_LV95","lat_wgs84","lon_wgs84"
"Cathédrale Saint-Pierre Genève","Cr de Saint-Pierre, 1204 Genève","Genève","Cathédrale","2500420","1117450","46.2011267","6.1485159"
"Basilique Notre-Dame de Genève","Pl. de Cornavin, 1201 Genève","Genève","Basilique","2499961","1118301","46.2087115","6.142386"
"Église Russe","Rue Rodolphe-Toepffer 9, 1206 Genève","Genève","Église orthodoxe","2500820","1117189","46.198835","6.153755"
"Église Évangélique de Réveil","Rue du Jura 4, 1201 Genève","Genève","Église évangélique","2499607","1118373","46.2093045","6.1377819"
"Église Sainte-Trinité","Rue Ferrier 16, 1202 Genève","Genève","Église","2500345","1119149","46.216394","6.1471791"
"Paroisse Sainte-Clotilde","Av. de Sainte-Clotilde 14, 1205 Genève","Genève","Église","2499261","1117404","46.2005332","6.1335043"
"Église Saint-Joseph","Rue Anne-De-Lusignan 1, 1207 Genève","Genève","Église","2500959","1117575","46.2023227","6.1554682"
"Evangelical Lutheran Church of Geneva","Rue Verdaine 20, 1204 Genève","Genève","Église luthérienne","2500500","1117450","46.2011326","6.1495483"
"Église St-Antoine de Padoue","Rue Schaub 17, 1202 Genève","Genève","Église","2499283","1118775","46.212872","6.1335043"
"Église protestante de Genève","Rue Gourgas 24, 1205 Genève","Genève","Église protestante","2499398","1117358","46.2001413","6.1352936"
"Chapelle des Macchabées","Rue Guillaume-Farel 8, 1204 Genève","Genève","Chapelle","2500396","1117443","46.2010559","6.1482088"
"Temple de la Madeleine","Rue de la Madeleine 15, 1204 Genève","Genève","Temple","2500471","1117566","46.2021751","6.1491442"
"Église St-Martin","Rte de Chancy 122, 1213 Onex","Onex","Église","2496687","1115596","46.1838824","6.1005648"
"Paroisse protestante Onex","Rte de Chancy 124, 1213 Onex","Onex","Temple","2496627","1115560","46.1835465","6.099794"
"Église Évangélique Libre d'Onex","Rte de Chancy 124, 1213 Onex","Onex","Église évangélique","2496619","1115552","46.183474","6.0996941"
"Église Saint-Marc","Av. Bois-de-la-Chapelle 10, 1213 Petit-Lancy","Petit-Lancy","Église","2497257","1116433","46.1914992","6.1077649"
