nom,commune,canton,type,unite_pastorale,adresse,E_LV95,N_LV95
"Paroisse Notre-Dame","Genève",GE,Paroisse,"–","Rue de Rive 8, 1204 Genève",2500590.0,1117511.4
"Paroisse Saint-Antoine de Padoue","Genève",GE,Paroisse,"–","Rue de la Servette 2, 1201 Genève",2499950.8,1118533.7
"Paroisse de la Sainte-Trinité","Genève",GE,Paroisse,"–","Rue de la Servette 37, 1202 Genève",2500040.1,1118332.1
"Paroisse Sainte-Jeanne de Chantal","Genève",GE,Paroisse,"–","Rue Schaub 17, 1202 Genève",2499681.6,1118593.7
"Communauté catholique anglophone","Genève",GE,Communauté,"–","Rue de la Servette 37, 1202 Genève",2500040.1,1118332.1
"Communauté Œcuménique des Personnes Handicapées (COPH)","Genève",GE,Communauté,"–","Rue de la Servette 37, 1202 Genève",2500040.1,1118332.1
"Paroisse Saint Pie X","Genève",GE,Paroisse,"–","Rue Boveresse 5, 1203 Genève",2499451.0,1118653.1
"Paroisse Sainte-Marie du Peuple","Genève",GE,Paroisse,"–","Avenue du Mail 20, 1203 Genève",2499501.0,1117940.7
"Paroisse du Sacré-Cœur","Genève",GE,Paroisse,"–","Rue de la Rôtisserie 2, 1204 Genève",2500393.4,1117292.2
"Communauté catholique hispanophone","Genève",GE,Communauté,"–","Rue de la Rôtisserie 2, 1204 Genève",2500393.4,1117292.2
"Paroisse Saint-François-de-Sales (Plainpalais)","Genève",GE,Paroisse,"–","Rue de la Servette 6, 1205 Genève",2500331.0,1116781.8
"Paroisse Sainte-Clotilde","Genève",GE,Paroisse,"–","Rue Aimé-Steinlen 14, 1205 Genève",2501120.7,1116913.4
"Communauté catholique lusophone","Genève",GE,Communauté,"–","Rue Aimé-Steinlen 14, 1205 Genève",2501120.7,1116913.4
"Communauté catholique germanophone","Genève",GE,Communauté,"–","Rue Aimé-Steinlen 14, 1205 Genève",2501120.7,1116913.4
"Paroisse de Sainte-Thérèse","Genève",GE,Paroisse,"–","Avenue de la Roseraie 40, 1206 Genève",2502054.0,1116386.8
"Paroisse de Saint-Joseph","Genève",GE,Paroisse,"–","Avenue du Bois-de-la-Chapelle 1, 1207 Genève",2501746.9,1117914.9
"Communauté catholique italophone","Genève",GE,Communauté,"–","Avenue du Bois-de-la-Chapelle 1, 1207 Genève",2501746.9,1117914.9
"Paroisse Saint-Nicolas-de-Flüe","Genève",GE,Paroisse,"–","Rue des Epinettes 4, 1209 Genève",2500057.3,1119376.9
"Paroisse du Saint Esprit (Aumônerie HUG)","Genève",GE,Aumônerie,"–","Rue Gabrielle-Perret-Gentil 4, 1211 Genève",2500423.5,1116302.2
