"nom","commune","canton","denomination","federation","adresse","E_LV95","N_LV95"
"EELG – Espace Lumen","Genève","GE","Évangélique libre","EELG","Rue Amat 1, 1202 Genève","2500083.6","1118164.6"
"EELG – Paroisse de la Rive Droite","Genève","GE","Évangélique libre","EELG","Rue Pécolat 4, 1201 Genève","2500241.6","1118384.3"
"EELG – Paroisse de l'Oratoire","Genève","GE","Évangélique libre","EELG","Rue Tabazan 7, 1201 Genève","2500440.8","1117358.2"
"EELG – Paroisse Sel de la Terre","Genève","GE","Évangélique libre","EELG","Rue de la Pélisserie 20, 1204 Genève","2500340.9","1117382.1"
"EELG – Paroisse de Carouge","Carouge","GE","Évangélique libre","EELG","Rue du Centenaire 8, 1227 Carouge","2499890.1","1115799.6"
"EELG – Paroisse d'Onex","Onex","GE","Évangélique libre","EELG","Route de Chancy 124, 1213 Onex","2496159.2","1116184.9"
"EELG – Paroisse de Versoix","Mies","GE","Évangélique libre","EELG","Route de Suisse 9B, 1295 Mies","2501630.6","1128779.1"
"Église évangélique de la Pélisserie","Genève","GE","Évangélique FREE","FREE/REG","Rue de la Pélisserie 20, 1204 Genève","2500340.9","1117382.1"
"Église évangélique de Plainpalais","Genève","GE","Évangélique FREE","FREE/REG","Rue Bergalonne 7, 1205 Genève","2500189.3","1117084.4"
"Église évangélique de Cologny","Vandœuvres","GE","Évangélique FREE","FREE/REG","Route de la Capite 114, 1253 Vandœuvres","2504570.0","1118759.2"
"Église évangélique de Meyrin","Meyrin","GE","Évangélique FREE","FREE/REG","Chemin du Bournoud 3, 1217 Meyrin","2495138.0","1120972.3"
"Église Évangélique de Réveil – Centre","Genève","GE","Évangélique réveil","UEER/REG","Rue du Jura 4, 1201 Genève","2500024.6","1118332.3"
"Église Évangélique de Réveil – Rive gauche","Chêne-Bourg","GE","Évangélique réveil","UEER/REG","Rue de Genève 77, 1225 Chêne-Bourg","2503442.8","1116320.0"
"Église Évangélique de Réveil – Meyrin","Meyrin","GE","Évangélique réveil","UEER/REG","Chemin du Bournoud 3, 1217 Meyrin","2495138.0","1120972.3"
"Armée du Salut – Poste Genève Grottes","Genève","GE","Armée du Salut","REG","Rue Baudit 4, 1202 Genève","2499929.8","1118667.4"
"Armée du Salut – Poste Genève Verdaine","Genève","GE","Armée du Salut","REG","Rue Verdaine 7, 1204 Genève","2500402.3","1117358.8"
"Assemblée de Dieu Genève-Montbrillant","Genève","GE","Assemblée de Dieu","REG","Rue des Gares 16, 1201 Genève","2500041.5","1118421.0"
"Église évangélique de Réveil – Rive gauche (EERG RG)","Chêne-Bourg","GE","Évangélique réveil","REG","Rue de Genève 77, 1225 Chêne-Bourg","2503442.8","1116320.0"
"Église évangélique Baptiste","Genève","GE","Baptiste","REG","Rue Cherbuliez 7, 1207 Genève","2501034.2","1117292.8"
"Église évangélique Hillsong","Genève","GE","Pentecôtiste","REG","Rue de la Madeleine 10, 1204 Genève","2500378.9","1117348.1"
"Église évangélique de l'Espérance","Grand-Lancy","GE","Évangélique FREE","REG","Chemin du Clos 20, 1212 Grand-Lancy","2498257.3","1115137.5"
"Église évangélique de la Grâce","Chêne-Bourg","GE","Évangélique","REG","Chemin de la Mousse 10, 1225 Chêne-Bourg","2503607.7","1116495.3"
"Mission évangélique de la Chambre Haute","Grand-Lancy","GE","Évangélique","REG","Chemin du Trèfle-Blanc 14, 1228 Grand-Lancy","2498391.2","1113912.3"
"Église évangélique Méthodiste","Onex","GE","Méthodiste","REG","Vieux-Chemin d'Onex 54, 1213 Onex","2496191.8","1116284.4"
"Église évangélique Missionnaire (EMEGE)","Genève","GE","Évangélique","REG","Rue de la Navigation 15, 1201 Genève","2500226.7","1118417.9"
"Église évangélique Apostolique","Genève","GE","Apostolique","REG","Carrefour du Bouchet 4, 1209 Genève","2499761.9","1118781.4"
"Église évangélique Roumaine","Genève","GE","Évangélique ethnique","REG","Carrefour du Bouchet 4, 1209 Genève","2499761.9","1118781.4"
"Church for the Nations","Les Avanchets","GE","Évangélique internat.","REG","Rue du Grand-Bay 17, 1220 Les Avanchets","2496985.9","1120295.6"
"Église évangélique le Bon Samaritain","Grand-Saconnex","GE","Évangélique","REG","Rue Sonnex 34, 1218 Grand-Saconnex","2498174.8","1121698.6"
"Église internationale Tour de Refuge","Genève","GE","Évangélique internat.","REG","Rue de Montbrillant 40, 1201 Genève","2499891.2","1118668.1"
"Église évangélique Renaissance","Genève","GE","Évangélique","REG","Rue Jean-Gutenberg 2, 1201 Genève","2500074.6","1118553.8"
"Église Audacious Church Geneva","Genève","GE","Évangélique internat.","REG","Rue Voltaire 27, 1201 Genève","2500011.9","1118499.3"
"Église Monte de Sion","Vessy","GE","Pentecôtiste","REG","Chemin Beaux-Champs 3C, 1234 Vessy","2501410.2","1114307.1"
"Église Missionnaire Christ est Roi","Plan-les-Ouates","GE","Évangélique","REG","Route de Saint-Julien 173, 1228 Plan-les-Ouates","2498468.4","1113911.0"
"Centre évangélique la Restauration","Chêne-Bougeries","GE","Évangélique","REG","Chemin Pont-de-Ville 24, 1224 Chêne-Bougeries","2503465.8","1117275.8"
"Espace Plénitude","Petit-Lancy","GE","Évangélique","REG","Case postale 9, 1213 Petit-Lancy","2497446.6","1116062.9"
