Nom,Adresse,Ville,Code_Postal,E_LV95,N_LV95,lat_wgs84,lon_wgs84,Note,Nb_Avis
Centre Médical Krieg – Dr Alexandre Forster & Dr Wilfried Bouvais,"Rue Pédro-Meylan 1",Genève,1208,2500235,1118006,46.195582,6.163751,5.0,10
Medical Office Frontenex,"Rte de Frontenex 100",Genève,1208,2500797,1118947,46.204302,6.172717,4.6,9
Dr Elisabeth Sambian Noël,"Rue des Marbriers 4",Genève,1204,2498563,1118875,46.202247,6.138950,4.3,11
Dr méd. Hyde Alexis L.,"Rue de Contamines 26",Genève,1206,2499384,1118003,46.195541,6.155329,5.0,5
Le Medical Group,"Rue de Lausanne 54",Genève,1202,2498988,1120084,46.214451,6.146563,5.0,2
Oana ISOARD MATEOIU,"Av. Jules-Crosnier 6",Genève,1206,2499238,1118036,46.196136,6.153674,4.3,12
Dr Michel Chalier,"Rue du Stand 40",Genève,1204,2498560,1118988,46.203268,6.138235,4.1,9
Medical Center Tranchées Florissant,"Rte de Florissant 1",Genève,1206,2499238,1118133,46.196847,6.153951,4.3,27
Officemed I Medical Center Georges-Favon,"Rue des Marbriers 4",Genève,1204,2498562,1118875,46.202218,6.138949,3.6,9
Medical Center Des Charmilles - Magellan,"Rue de Lyon 87",Genève,1203,2497119,1119637,46.208550,6.124432,3.0,68
Dr. A.N. Reymond FMH & Dr. Ioana Reymond,"Pl. du Manoir 14",Cologny,1223,2501327,1120280,46.216328,6.182975,5.0,1
Dr méd. Reymond Alain-Nicolas,"Pl. du Manoir 14",Cologny,1223,2501327,1120279,46.216320,6.182963,0.0,0
Dr méd. Joseph Borzykowski,"Chem. de Planta 45",Cologny,1223,2501820,1120111,46.214998,6.189577,4.1,7
Cabinet médical Versoix - Dre Chloé Chevallier,"Rte de Suisse 62",Versoix,1290,2500332,1127221,46.278539,6.168412,0.0,0
Groupe Médical de Versoix SA,"Chem. Jean-Baptiste Vandelle 10a",Versoix,1290,2500070,1127516,46.281122,6.165497,3.0,95
Dr Gjoni Shpresa,"Rte de Suisse 93",Versoix,1290,2500047,1127885,46.284607,6.165384,4.5,17
Dr méd. Edward Kunz,"Rte de Suisse 62",Versoix,1290,2500333,1127221,46.278549,6.168420,5.0,7
Dr Yves-Cedric Cottier & Dr Susanne Aellen Pirkl,"Chem. Jean-Baptiste Vandelle 8",Versoix,1290,2500086,1127357,46.280646,6.165736,3.7,3
Dr. m. Volant Jean-Claude,"Rue du Perron 5",Coppet,1296,2501954,1132424,46.316123,6.192406,4.5,11
Gp,"Pl. des Perrières 3a",Coppet,1296,2501914,1133095,46.322175,6.191278,4.7,6
Tkatch Lubos,"Pl. des Perrières 3",Coppet,1296,2501910,1133096,46.322205,6.191266,4.3,9
Dr Catherine Saunders Gasser,"Grand'Rue 57",Coppet,1296,2502077,1132500,46.316699,6.193845,5.0,2
cmgn,"Pl. de la Gare 7",Nyon,1260,2505235,1138766,46.384124,6.236409,5.0,13
Dr méd. Bria Alexandre,"Rue Neuve 6",Nyon,1260,2505428,1138679,46.383142,6.238926,4.9,27
Dr Alyssa Vuadens-Lehmann,"Rue Neuve 6",Nyon,1260,2505427,1138678,46.383130,6.238924,5.0,3
Dre Luana Merckling - Almeida da Silva,"Rue de la Morâche 14",Nyon,1260,2504864,1138729,46.383561,6.232983,4.8,34
Cabinet Médical de Rive Nyon Sàrl,"Rue de Rive 24",Nyon,1260,2505831,1138669,46.382944,6.243429,4.6,20
Institut de Médecine Intégrative,"Chem. de precossy 31",Nyon,1260,2504469,1139439,46.390192,6.226255,4.4,13
Dr Bonamy,"Grand-Rue 63",Gland,1196,2508082,1143006,46.424129,6.265365,4.8,19
Medical Home Gland,"All. du Communet 20/1er étage",Gland,1196,2508148,1143348,46.427315,6.266155,3.4,56
Dr méd. Céline Brabec,"All. du Communet 20",Gland,1196,2508150,1143351,46.427375,6.266102,4.6,14
Medical Center Du Lac,"Rte Suisse 35",Gland,1196,2509070,1142395,46.416021,6.279395,4.8,56
Dr De Luca Pier Paolo,"Rte Suisse 35",Gland,1196,2509070,1142395,46.416021,6.279395,4.5,2
Dr Varsori Marie,"Grand-Rue 69",Rolle,1180,2513021,1146440,46.456663,6.337273,5.0,1
Dr méd. Cai Fang,"Av. de la Gare 1",Rolle,1180,2513257,1146802,46.460380,6.340243,5.0,13
Dr méd. Hassen Ben Abdeljelil,"Rte de l'Hôpital 2",Rolle,1180,2513524,1146993,46.462603,6.343609,5.0,3
Dr méd. Ebiner Jérôme,"Grand-Rue 69",Rolle,1180,2513021,1146440,46.456663,6.337273,4.6,5
Dr méd. Maillard Anne-Béatrice,"Rue des Petites-Buttes 20E",Rolle,1180,2512845,1146487,46.457171,6.334906,2.8,9
Ehc - Médecine Générale - Medical Center D'aubonne,"Rue de Trévelin 67",Aubonne,1170,2519431,1148842,46.491724,6.388702,5.0,8
EHC - Consultation médecine générale - Dr Jotterand,"Rue de Trévelin 67",Aubonne,1170,2519432,1148853,46.491823,6.388710,5.0,2
EHC - Consultation de médecine générale - Dr De Francesco,"Rue de Trévelin 67",Aubonne,1170,2519434,1148831,46.491623,6.388779,5.0,2
Dre Corinne Rozain-Montaru,"Chem. de Clamogne 27",Aubonne,1170,2520129,1148609,46.489194,6.397844,4.6,24
Dr méd. Huynh-Vo Huu Le Jeannine,"Rue de l'Ouriette 141",Aubonne,1170,2520331,1148465,46.488030,6.400808,4.2,5
EHC - Consultation médecine générale - Dr Yacine Belmejdoub,"Rte de Rolle 2",Saint-Prex,1162,2524401,1147929,46.481095,6.457121,5.0,8
Ehc - Medical Center De Saint-Prex,"Rte de Rolle 2",Saint-Prex,1162,2524401,1147929,46.481095,6.457121,4.1,14
EHC - Dre Aurore Cappucci,"Rte de Rolle 2",Saint-Prex,1162,2524401,1147929,46.481095,6.457121,5.0,1
EHC - Consultation généraliste, Dre Inès Ayeb,"Rte de Rolle 2",Saint-Prex,1162,2524401,1147929,46.481095,6.457121,4.0,4
Dr méd. Gilliard Dominique Isabelle,"Rue Saint-Prothais 5",Saint-Prex,1162,2524215,1147758,46.479830,6.459973,5.0,4
Cmm - Medical Center De Morges,"Rue de la Gare 15",Morges,1110,2526634,1151800,46.509175,6.495317,4.0,138
Dr Sophie-Maria Praz-Christinaz,"Av. des Pâquis 25",Morges,1110,2526954,1152226,46.513849,6.499884,5.0,3
Ehc - Medical Center Charpentiers,"Rue Centrale 24",Morges,1110,2526426,1151693,46.510501,6.496548,3.7,25
EHC - Consultation médecine générale Dr Jérôme Burnand,"Rue Centrale 24",Morges,1110,2526426,1151693,46.510501,6.496548,5.0,1
EHC - Consultation médecine générale Dre De Lucia,"Rue Centrale 24",Morges,1110,2526426,1151693,46.510501,6.496548,3.0,4
Ultreia, Médecine générale et ​santé intégrative,"All. du Rionzi 1",Préverenges,1028,2533164,1152615,46.518831,6.519228,4.3,12
Cabinet du Lac - Cabinet Médical,"Chem. Neuf 2",Préverenges,1028,2534031,1152372,46.516201,6.531261,4.5,2
Dr méd. Jean-Frédéric Anken,"Rue de Lausanne 3",Préverenges,1028,2533787,1152600,46.518473,6.527379,3.7,12
Dr. med. Zahui Angenor,"Rte de Préverenges 1",Lonay,1027,2533338,1153107,46.522817,6.522343,3.4,25
Dr. Med. Ramelli,"Rte de Chavannes 11",Lausanne,1007,2534237,1152607,46.518390,6.600596,4.6,63
Clinimed - Lausanne,"Rue Marterey 7",Lausanne,1005,2537226,1153205,46.520524,6.638069,4.8,42
Dr E. Simon,"Av. de Cour 9",Lausanne,1007,2535733,1152264,46.512005,6.626101,4.7,19
Medbase Lausanne Gare,"Pl. de la Gare 11a",Lausanne,1003,2535967,1152838,46.517194,6.628457,4.2,153
Dr med Charles Racine Cabinet médical,"Av. d'Ouchy 14",Lausanne,1006,2536046,1152492,46.513570,6.630477,3.1,9
Dr. Sébastien Martin,"Rue de Langallerie 1",Lausanne,1003,2536673,1153217,46.520655,6.637453,4.1,7
Centre médical de Vidy,"Rte de Chavannes 11",Lausanne,1007,2534233,1152607,46.518329,6.600503,3.8,34
Dr méd. Bornet Marc-Antoine,"Rue Pichard 9",Lausanne,1003,2536147,1153148,46.521965,6.630806,5.0,19
Cabinet Gare 10,"Av. de la Gare 10",Lausanne,1003,2536480,1152840,46.517258,6.635792,5.0,7
Cabinet médical Rumine 13,"Av. de Rumine 13",Lausanne,1005,2536871,1152806,46.517231,6.640342,4.7,12
Dr méd. Codeluppi Gianmarco,"Chem. du Pré-de-la-Tour 10",Pully,1009,2538650,1152195,46.511055,6.660976,5.0,3
Medical Center Pully,"Av. Charles Ferdinand Ramuz 106",Pully,1009,2537115,1152182,46.510673,6.640225,5.0,4
Maison de santé Pully,"Chem. du Pré-de-la-Tour 10",Pully,1009,2538650,1152195,46.511055,6.660976,3.9,38
Mr. Dr méd. Christian Mathez,"Chem. des Osches 6",Pully,1009,2538515,1152037,46.509156,6.659393,4.4,17
Dr Stephen Podmore - The Lausanne Medical Practice,"Av. Charles Ferdinand Ramuz 60",Pully,1009,2538001,1152071,46.509744,6.647047,5.0,21
Lutrymed,"Rue Verdaine 8A",Lutry,1095,2541453,1151331,46.502967,6.686088,3.4,17
Dr Razgallah Naïm,"Rte de Taillepied 113",Lutry,1095,2541239,1151596,46.505421,6.683058,4.5,8
Dr Sidoti Pinto Claudio,"Rte de Taillepied 3",Lutry,1095,2540401,1151650,46.506192,6.675959,4.0,4
Dr méd. Fellrath Frédéric,"Rue Verdaine 8A",Lutry,1095,2541447,1151326,46.502836,6.685869,2.0,1
Dr méd. Yerly Nathalie,"Rue Verdaine 8A",Lutry,1095,2541447,1151326,46.502836,6.685869,4.0,7
Centre Médical de Lavaux,"Chem. de Courseboux 7",Cully,1096,2544169,1149777,46.488344,6.725379,4.9,12
Angela Cottier,"Rte de Lausanne 12",Cully,1096,2544287,1149656,46.487552,6.726655,0.0,0
Medical Home Vevey,"Rue du Simplon 48",Vevey,1800,2561133,1147810,46.461307,6.843702,4.1,31
Medical Center Gare De Vevey,"Pl. de la Gare 3",Vevey,1800,2561114,1147996,46.463052,6.843155,3.3,190
Medbase,"Rue des Moulins 1",Vevey,1800,2561039,1148149,46.464496,6.842033,3.6,87
Centre Médical de Vevey - Magellan,"Rue du Simplon 11 b",Vevey,1800,2561179,1147602,46.459604,6.845460,3.2,20
Cires medical,"Rue de la Madeleine 39",Vevey,1800,2561048,1148050,46.462238,6.842197,3.9,119
Médecin Corsier,"Chem. du Château",Corsier,1246,2504712,1125700,46.263726,6.225100,5.0,1
Dr. Marzano Erika,"Chem. de Grandchamp 20",Saint-Légier,1806,2566847,1148977,46.471105,6.872965,4.9,55
Dr méd. Aparicio Hernando,"Rte d'Hauteville 2",Saint-Légier,1806,2567003,1149110,46.472263,6.874466,5.0,8
Dre.Achor Annabel,"Rte des Areneys 11B",Saint-Légier,1806,2567322,1149147,46.472665,6.878081,3.9,7
Dr. Myriam Ingle,"Chem. de Grandchamp 20",Saint-Légier,1806,2566844,1148956,46.471068,6.872923,3.9,7
Quai Santé - Tour De Peilz,"Grand-Rue 1",La Tour-de-Peilz,1814,2562626,1146407,46.452026,6.857874,5.0,2
Docteur Cédric BANDELIER,"Grand-Rue 41",La Tour-de-Peilz,1814,2562483,1146582,46.453428,6.856321,3.8,12
Mr. Dr méd. Eric Turgis,"Grand-Rue 1",La Tour-de-Peilz,1814,2562629,1146321,46.451966,6.858034,4.3,15
Dre. Farida Magane,"Pl. des Anciens-Fossés 12",La Tour-de-Peilz,1814,2562627,1146373,46.452544,6.858106,5.0,8
Dr Allemann Marc-Henri,"Pl. des Anciens-Fossés 6",La Tour-de-Peilz,1814,2562577,1146432,46.453079,6.857654,5.0,30
