nom,commune,canton,courant,organisation,adresse,E_LV95,N_LV95
"Communauté Israélite de Genève (CIG) – Beth Yaacov","Genève","GE","Traditionnel (ashkénaze/séfarade)","CIG","Place de la Synagogue, 1204 Genève",2500028,1117515
"Communauté Israélite de Genève (CIG) – Maison Juive Dumas","Genève","GE","Traditionnel (ashkénaze/séfarade)","CIG","Avenue Dumas 21, 1206 Genève",2501268,1116716
"Communauté Israélite de Genève (CIG) – Hekhal Haness","Genève","GE","Traditionnel séfarade","CIG","Route de Malagnou 54, 1208 Genève",2502066,1117371
"Communauté Israélite de Genève (CIG) – Oratoire de Veyrier","Veyrier","GE","Traditionnel","CIG","Route de Veyrier, 1234 Veyrier",2501477,1113694
"Communauté Juive Libérale de Genève – GIL (Beith GIL)","Genève","GE","Libéral (Réformé / Massorti)","GIL – Plateforme Juifs Libéraux de Suisse","Route de Chêne 43, 1208 Genève",2502532,1117052
"Communauté Israélite Orthodoxe de Genève (CIOG – Machsike Hadass)","Genève","GE","Orthodoxe","CIOG – FSCI","Avenue Krieg 7, 1208 Genève",2502039,1117471
"Institutions Habad Genève – Beth Habad Loubavitch","Genève","GE","Orthodoxe hassidique (Loubavitch)","Habad-Loubavitch","Avenue Théodore-Weber 12, 1208 Genève",2501937,1117578
"Oratoire de l'EMS Les Marronniers","Genève","GE","Traditionnel","CIG / Fondation Marronniers","Rue Cavour 15, 1203 Genève",2499819,1117090
"Communauté Israélite de Lausanne et du Canton de Vaud (CILV)","Lausanne","VD","Traditionnel (ashkénaze/séfarade)","CILV – FSCI","Avenue Juste-Olivier 1, 1006 Lausanne",2537968,1152349
"CILV – Antenne Riviera / Montreux","Montreux","VD","Traditionnel","CILV – FSCI","Avenue des Alpes 25, 1820 Montreux",2559637,1142514
