nom,adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,type,ville
"Geneva Islamic Cultural Foundation","Chem. Colladon 34, 1209 Genève",46.223574,6.122199,2500189.62,1118283.45,Mosquée avec minaret,Genève
"Geneva Islamic Center","Rue des Eaux-Vives 104, 1207 Genève",46.205718,6.161092,2502967.13,1116326.98,Mosquée,Genève
"Mosquée de Genève-Nations CCISG","Rue de Vermont 18bis, 1202 Genève",46.217191,6.136131,2501159.29,1117605.31,Mosquée et centre culturel,Genève
"Fondation Salam","Carr de Rive 1, 1207 Genève",46.200753,6.155499,2502564.28,1115782.55,Centre culturel islamique,Genève
"مسجد الامم في جنيف (Mosquée des Nations)","Rue de Vermont 18bis, 1202 Genève",46.216886,6.136011,2501150.61,1117571.29,Mosquée,Genève
"Fondation Islamique et Culturelle d'AHL-EL-BEIT","Rte de Ferney 220, 1218 Le Grand-Saconnex",46.238778,6.123762,2500236.14,1119979.11,Centre culturel chiite,Le Grand-Saconnex
"Centre Islamique de Nyon","Rue de la Gare 45, 1260 Nyon",46.383677,6.235981,2509239.22,1135490.09,Mosquée,Nyon
"Centre Culturel des Musulmans du district de Nyon","Av. du Mont-Blanc 31, 1196 Gland",46.416327,6.272688,2511870.42,1139126.86,Mosquée,Gland
"Centre Culturel des Musulmans de Morges et environs","Chem. des Mouettes 1, 1027 Lonay",46.518706,6.511842,2529160.35,1150530.36,Mosquée,Lonay
"Association musulmane région Morges","Chem. du Bief 8, 1027 Lonay",46.518606,6.511897,2529164.25,1150519.24,Mosquée,Lonay
"Centre Islamique Albanais de Renens","Rue du Chêne 9, 1020 Renens",46.530280,6.591738,2535274.82,1151826.97,Mosquée albanaise,Renens
"Nouveau Mosquée de Renens (Turc)","Villas du Mont 1, 1020 Renens",46.538925,6.579185,2534404.95,1152784.98,Mosquée turque,Renens
"Eyup Sultan Moschee","Av. du Tir-Fédéral 35, 1024 Ecublens",46.535400,6.573905,2534027.25,1152391.95,Mosquée turque,Ecublens
"Albanian Islamic Center of Lausanne","Chem. du Couchant 4, 1022 Chavannes-près-Renens",46.531163,6.572486,2533574.98,1151888.93,Mosquée albanaise,Chavannes-près-Renens
"Lausanne Mosque","Pass. de Montriond 14, 1006 Lausanne",46.515608,6.626753,2537472.51,1150149.68,Mosquée et centre culturel,Lausanne
"Complexe Culturel des Musulmans prilly de Lausanne","Av. de la Confrérie 11, 1008 Prilly",46.530158,6.607318,2536078.46,1151769.20,Mosquée,Prilly
"FONDATION ALHIKMA-LA SAGESSE","Chem. des Piécettes 5, 1052 Le Mont-sur-Lausanne",46.542944,6.634992,2538765.93,1153189.95,Centre communautaire,Le Mont-sur-Lausanne
"Centre Islamique Assalam","Chem. Isabelle-de-Montolieu 117, 1010 Lausanne",46.543508,6.646909,2539643.94,1153253.62,Mosquée,Lausanne
"Centre Culturel Musulman","Chem. Isabelle-de-Montolieu 119, 1010 Lausanne",46.543551,6.646827,2539638.02,1153258.35,Mosquée,Lausanne
"Mosquée de Vevey","Rue des Communaux 1, 1800 Vevey",46.460409,6.848841,2553144.75,1144045.90,Mosquée,Vevey
"Fondation Islamique du District de la Riviera-Pays-d'Enhaut","Rue du Clos 2, 1800 Vevey",46.460242,6.848526,2553123.76,1144027.22,Association islamique,Vevey
"Mosque De Montreux - Community Center Des Musulmans De La Riviera","Grand' Rue 3, 1820 Montreux",46.431318,6.910168,2557525.38,1140812.17,Mosquée et centre communautaire,Montreux
"Mosquée de Clarens - Montreux","Rue du Ctre 1, 1820 Montreux",46.437973,6.909570,2557483.66,1141552.06,Mosquée,Montreux
"Mosquée de Montreux - Centre islamique de Montreux","Rue du Ctre 1, 1820 Montreux",46.437973,6.909570,2557483.66,1141552.06,Mosquée et centre islamique,Montreux
