nom,adresse,tradition,E_LV95,N_LV95
Eglise Russe (ROCOR),Rue Rodolphe-Toepffer 9 Geneve,Russe ROCOR,2500820.60,1117189.05
Eglise Orthodoxe Russe Patriarcat de Moscou,Av. Jacques-Martin 11 Chene-Bougeries,Russe Patriarcat Moscou,2502948.40,1116951.70
Saint Paul Greek Orthodox Church,Chem. de Chambezy 37 Pregny-Chambezy,Grecque Oecumenique,2500294.30,1122074.31
Chapelle orthodoxe roumaine de la Resurrection,Chem. de Chambezy 37 Pregny-Chambezy,Roumaine,2500240.35,1122098.24
Paroisse Orthodoxe Francophone Sainte-Trinite,Chem. de Chambezy 37 Pregny-Chambezy,Francophone Oecumenique,2500251.33,1122058.48
Coptic Church of Geneva,Chem. des Cornillons 43 Pregny-Chambezy,Copte,2500370.21,1121848.74
Eglise orthodoxe roumaine Chene-Bourg,Chem. du Bois-des-Arts 43 Chene-Bourg,Roumaine,2504051.70,1116200.04
Eglise orthodoxe roumaine Lancy,Av. Eugene Lance 2 Lancy,Roumaine,2498324.61,1115493.92
Ethiopian Orthodox Tewahedo Church Geneva,Av. des Communes-Reunies 92 Lancy,Ethiopienne Tewahedo,2498430.65,1114226.05
Greek Orthodox Church Lausanne,Av. de Florimont 2 Lausanne,Grecque Oecumenique,2538564.16,1151931.17
Biserica Ortodoxa Romana Lausanne,Av. F-C-de-la-Harpe 2A Lausanne,Roumaine,2537575.00,1151774.78
Eglise des Trois Saints Hierarches Epalinges,Rte de Berne 230a Epalinges,Russe Patriarcat Moscou,2541606.51,1155679.00
Paroisse orthodoxe de la Tres Sainte Vierge Marie,Av. de Chailly 34 Lausanne,Syrienne Antiochienne,2539751.61,1152833.04
Ethiopian Orthodox Tewahedo Church Lausanne,Bois-Gentil 9 Lausanne,Ethiopienne Tewahedo,2537538.82,1154426.32
Eglise Orthodoxe Russe Sainte-Barbara Vevey,Rue des Communaux 12 Vevey,Russe Patriarcat Moscou,2554430.02,1145792.02
