nom,adresse,tradition,E_LV95,N_LV95
Paroisse russe ROCOR Geneve,Rue Rodolphe-Toepffer 9 Geneve,Russe ROCOR,2500820.60,1117189.05
Paroisse russe Patriarcat Moscou Geneve,Av. Jacques-Martin 11 Chene-Bougeries,Russe Patriarcat Moscou,2502948.40,1116951.70
Metropole grecque de Suisse - Diocese de Suisse,Rte de Lausanne 282 Pregny-Chambezy,Grecque Oecumenique,2500801.31,1122232.85
Centre orthodoxe du Patriarcat Oecumenique,Chem. de Chambezy 37 Pregny-Chambezy,Inter-orthodoxe,2500230.29,1122096.39
Paroisse francophone orthodoxe Sainte-Trinite,Chem. de Chambezy 37 Pregny-Chambezy,Francophone Oecumenique,2500251.33,1122058.48
Communaute copte de Geneve,Chem. des Cornillons 43 Pregny-Chambezy,Copte,2500370.21,1121848.74
Communaute orthodoxe roumaine Geneve (Chene-Bourg),Chem. du Bois-des-Arts 43 Chene-Bourg,Roumaine,2504051.70,1116200.04
Communaute orthodoxe roumaine Lancy,Av. Eugene Lance 2 Lancy,Roumaine,2498324.61,1115493.92
Communaute ethiopienne tewahedo Geneve,Av. des Communes-Reunies 92 Lancy,Ethiopienne Tewahedo,2498430.65,1114226.05
Paroisse grecque orthodoxe Lausanne,Av. de Florimont 2 Lausanne,Grecque Oecumenique,2538564.16,1151931.17
Paroisse orthodoxe roumaine Lausanne,Av. F-C-de-la-Harpe 2A Lausanne,Roumaine,2537575.00,1151774.78
Paroisse russe Trois Saints Hierarches Epalinges,Rte de Berne 230a Epalinges,Russe Patriarcat Moscou,2541606.51,1155679.00
Paroisse orthodoxe syrienne antiochienne Lausanne,Av. de Chailly 34 Lausanne,Syrienne Antiochienne,2539751.61,1152833.04
Communaute ethiopienne tewahedo Lausanne,Bois-Gentil 9 Lausanne,Ethiopienne Tewahedo,2537538.82,1154426.32
Paroisse russe Sainte-Barbara Vevey,Rue des Communaux 12 Vevey,Russe Patriarcat Moscou,2554430.02,1145792.02
