"nom","adresse","ville","E_LV95","N_LV95","lat_wgs84","lon_wgs84"
"Clinique Générale Beaulieu","Chem. de Beau-Soleil 20, 1206 Genève","Genève","2501429","1116032","46.1885171","6.1618819"
"Hirslanden Clinical La Colline","Av. de Beau-Séjour 6, 1206 Genève","Genève","2500532","1116377","46.1914856","6.1501947"
"Clinique de Maisonneuve","Av. de Châtelaine 60-62, 1219 Genève","Genève","2497805","1118616","46.2112141","6.1143843"
"Clinique Vert-Pré Geneve","Chem. de la Colombe 15, 1231 Conches","Conches","2502633","1115908","46.187578","6.177504"
"Clinique de la Plaine","Rue Charles-Humbert 5, 1205 Genève","Genève","2499644","1117347","46.2000799","6.1384885"
"Clinique Belmont","Rte de Chêne 26, 1207 Genève","Genève","2501756","1117288","46.1998636","6.1658487"
"Hirslanden Clinique des Grangettes","Chem. des Grangettes 7, 1224 Chêne-Bougeries","Chêne-Bougeries","2502998","1117262","46.199808","6.1819462"
"Cliniques De Genève","Rue de Saint-Jean 98, 1211 Genève","Genève","2499623","1118021","46.2061389","6.1380618"
"Geneva Mederi Clinic","Av. de Champel 81, 1206 Genève","Genève","2500637","1116062","46.188668","6.1516133"
"Centre Médico-Chirurgical Vermont","Rue de Vermont 9A, 1202 Genève","Genève","2499302","1119104","46.2158308","6.1336779"
"Clinique de la Main","Rue des Bains 35, 1205 Genève","Genève","2499531","1117215","46.1988797","6.1370416"
"Hôpital de La Tour","Av. J.-D.-Maillard 3, 1217 Meyrin","Meyrin","2494226","1120624","46.2287241","6.0675608"
"HUG Division Privée","Rue Gabrielle-Perret-Gentil 2, 1205 Genève","Genève","2500444","1116508","46.1926517","6.1490193"
"Clinique du Lac","Rue de l'Arquebuse 7-9, 1204 Genève","Genève","2499723","1117708","46.2033357","6.1394274"
"Cleage Clinic","Pl. du Molard 5, 1204 Genève","Genève","2500398","1117724","46.203584","6.1481705"
"Adonis Clinic","Rue Charles-Humbert 8, 1205 Genève","Genève","2499620","1117353","46.2001329","6.138167"
"Dr Lucas Plastic Surgery","Rue du Rhône 116, 1204 Genève","Genève","2500883","1117599","46.202531","6.1544783"
"Clinique de la Croix d'Or","Rue de la Croix-d'Or 7, 1204 Genève","Genève","2500405","1117651","46.2029286","6.148276"
"Dr Anne Carecchio","Av. de la Roseraie 76 A, 1205 Genève","Genève","2500459","1116395","46.1916381","6.1492454"
"Centre Imagerie Versoix - Magellan","Chem. Jean-Baptiste Vandelle 3, 1290 Versoix","Versoix","2501851","1126303","46.2809644","6.1651834"
