Nom,Adresse,Spécialité,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Note
"Better & Beyond","Rue du 31 Décembre 36, 1207 Genève",Psychiatrie,46.202827,6.160226799999999,2500838,1118027,5.0
"Delos psychiatrie et psychothérapie","Rue Emile-Yung 9, 1205 Genève",Psychiatrie,46.1953957,6.1495543999999995,2500107,1117200,5.0
"Dr. Julia King Olivier","Av. Dumas 19B, 1206 Genève",Pédopsychiatrie,46.190942799999995,6.1557758,2500747,1116876,5.0
"Les Psy Réunis - Pécolat","Rue Pécolat 1, 1201 Genève",Psychiatrie,46.2085541,6.1455531,2499984,1118777,4.0
"Archipel - Georges Favon","Bd Georges-Favon 26, 1204 Genève",Psychiatrie,46.2021556,6.1399595,2499531,1118058,4.9
"Dr Laurent Cohen","Rue de l'Athénée 22, 1206 Genève",Psychiatrie,46.1955749,6.1522884,2500456,1117223,5.0
"Cabinet Psy Sonia Ciotta","Rue du Vieux-Collège 10, 1204 Genève",Psychothérapie,46.201522499999996,6.1510289,2500381,1117981,5.0
"Psychiatre Dr Sofia Konstantinidou","Rue Voltaire 16, 1201 Genève",Psychiatrie,46.2079696,6.1375972,2499359,1118683,
"Les Psy Réunis - Muzy","Rue Muzy 10, 1207 Genève",Psychiatrie,46.203774499999994,6.1559745,2500775,1118228,4.4
"Cabinet de psychiatrie de Genève","Rlle Jean-Michel Billon 3, 1205 Genève",Psychiatrie,46.1955641,6.145963999999999,2499967,1117220,
"Dr Jaafar Jaafar","Rte de Chêne 11, 1207 Genève",Endocrinologie,46.200210399999996,6.165977799999999,2501264,1117884,4.6
"Docteur Fouz Hammoud","Rue du Vieux-Billard 3, 1205 Genève",Endocrinologie,46.200243199999996,6.138882799999999,2499439,1117889,4.6
"Dr Méd Comasia Raguso","Rue de la Terrassière 11, 1207 Genève",Endocrinologie,46.2009866,6.1571211,2500859,1117974,4.4
"Dr méd. Patrick Meyer","Rue Le-Corbusier 18, 1208 Genève",Endocrinologie,46.193622500000004,6.166985899999999,2501362,1116910,4.7
"Dr Girardin Céline","Rte de Chancy 98, 1213 Onex",Endocrinologie,46.1857889,6.1049758,2497549,1116025,5.0
"Chatton Chambaz Isabelle","Bd des Philosophes 5, 1205 Genève",Endocrinologie,46.197669,6.143943,2499830,1117593,5.0
"Dre Maria SANDULOVICIU","Av. de la Roseraie 76, 1205 Genève",Endocrinologie,46.1912508,6.1490651,2500096,1116942,3.8
"Marina Portela MD","Rue Le-Corbusier 18/20, 1208 Genève",Endocrinologie,46.1936226,6.1669851,2501364,1116911,5.0
"Daneva Tatiana","Av. Cardinal-Mermillod 5, 1227 Carouge",Endocrinologie,46.186588,6.142652,2499767,1116190,4.6
"Cabinet Médical du Corbusier","Rue Le-Corbusier 18, 1208 Genève",Endocrinologie,46.193630999999996,6.166982,2501362,1116910,4.4
"Dr. med. Johannes Hauser","Bd James-Fazy 3, 1201 Genève",Urologie,46.206643,6.1392466,2499472,1118562,5.0
"Dr Matthieu MENGIN","Quai du Seujet 20, 1201 Genève",Urologie,46.205172,6.1352899999999995,2499187,1118397,5.0
"Centre d'Urologie Générale-Beaulieu","Chem. de Beau-Soleil 12, 1206 Genève",Urologie,46.187922099999994,6.1609178,2501018,1116540,4.3
"Dr. Salem","Chem. Rieu 18, 1208 Genève",Urologie,46.194346599999996,6.1650583999999995,2501320,1116984,5.0
"Cabinet Urologue Dr Fabian SCHOOFS","Rte de Florissant 97, 1206 Genève",Urologie,46.1903034,6.167205999999999,2501402,1116800,5.0
"Dr Caroline Carera Sager","Bd James-Fazy 3, 1201 Genève",Urologie,46.2066224,6.1393667,2499475,1118555,5.0
"OVI CLINIC","Rue du Rhône 118, 1204 Genève",Urologie,46.202470899999994,6.1547259,2500668,1118113,4.9
"Dr. Alain Bitton Cabinet","Rte de Florissant 95, 1206 Genève",Urologie,46.1905053,6.166966500000001,2501371,1116822,3.8
"Dr Jean-Michel Rouffilange","Rue Firmin-Massot 2, 1206 Genève",Urologie,46.1961109,6.150981499999999,2500352,1117443,3.4
"Cabinet Dr Frédéric Lador","Chem. de Beau-Soleil 2, 1206 Genève",Pneumologie,46.187201599999995,6.1601251,2500949,1116460,5.0
"Pneumologie - Centre de la Servette","Av. De-Luserna 17, 1203 Genève",Pneumologie,46.212934499999996,6.1255273,2498562,1119779,4.0
"Dr David Lawi","Bd Helvétique 15, 1207 Genève",Pneumologie,46.2004945,6.1537152,2500604,1117909,5.0
"Dr méd. Grandin Stéphane","Rue de la Servette 55, 1202 Genève",Pneumologie,46.2113765,6.134119999999999,2498990,1119595,4.0
"Medical Center De La Servette","Av. De-Luserna 17, 1203 Genève",Centre médical,46.2129306,6.125528699999999,2498564,1119769,3.5
"Centre Pneumologie Champel","Av. de Champel 24, 1206 Genève",Pneumologie,46.1911509,6.1531825,2500479,1116929,
"Dr Laurent Favre","Bd Helvétique 15, 1207 Genève",Pneumologie,46.2004945,6.1537152,2500604,1117909,3.4
"Dr Igor Widikker","Rte de Florissant 4, 1206 Genève",Pneumologie,46.196569,6.153893000000001,2500545,1117297,5.0
"Centre Médical Teomera","Rte de Ferney 194 A, 1218 Le Grand-Saconnex",Centre médical,46.234787399999995,6.124081899999999,2498391,1122620,4.4
"Dr méd. Etienne Perrin","Chem. des Clochettes 8A, 1206 Genève",Pneumologie,46.1876548,6.158041900000001,2500880,1116407,4.5
"Centre des Allergies et de l'Asthme","Rle du Couchant 7, 1207 Genève",Allergologie,46.200021,6.156895,2500815,1117868,3.7
"Dr méd. Mme Avigael Benhamou Senouf","Bd des Philosophes 21, 1205 Genève",Allergologie,46.196805000000005,6.1462439,2499976,1117308,5.0
"Sietse Hogendijk","Rle du Couchant 7, 1207 Genève",Allergologie,46.2000339,6.1569024,2500815,1117868,4.4
"Mr. Dr méd. Christophe Deluze","Rte de Florissant 4, 1206 Genève",Allergologie,46.1966142,6.1532746,2500489,1117353,3.9
"Dr. Yann Coattrenec","Rue de la Combe 21, 1260 Nyon",Allergologie,46.3815988,6.2361144,2507216,1137838,5.0
"Dr PERIN MINISINI","Rue Charles-Galland 15, 1206 Genève",Allergologie,46.1978259,6.154416899999999,2500583,1117438,4.2
"Dr. Denis Jacques","Av. d'Aïre 40, 1203 Genève",Allergologie,46.207471,6.122561,2498220,1118667,4.1
"Dr Olivieri Juan","Rte de Loëx 3, 1213 Onex",Allergologie,46.1834244,6.0991786999999995,2497125,1115759,4.1
"Philip Taramarcaz","Rle du Couchant 7, 1207 Genève",Allergologie,46.2000339,6.1569024,2500815,1117868,4.7
"Dr Yann Coattrenec","Rte de Florissant 4, 1206 Genève",Allergologie,46.1965856,6.1539185,2500549,1117351,5.0
"Laurence Favet","Rue de Chantepoulet 21, 1201 Genève",Oncologie,46.2080394,6.1432427,2499809,1118695,5.0
"Center Du Sein - Hug","Bd de la Cluse 30, 1205 Genève",Oncologie,46.1915063,6.1467148,2499989,1116956,2.8
"Service De Radio-Oncologie","Av. de la Roseraie 53, 1205 Genève",Radio-oncologie,46.1918815,6.1486654,2500125,1116998,5.0
"dr mahour","Rue de Chantepoulet 25, 1201 Genève",Oncologie,46.208120799999996,6.1429173,2499800,1118704,5.0
"Dr Mathieu Chevallier","Chem. de Beau-Soleil 20, 1206 Genève",Oncologie,46.188517,6.1618819,2501090,1116613,5.0
"Clinique Générale Beaulieu","Chem. de Beau-Soleil 20, 1206 Genève",Clinique,46.1885171,6.1618819,2501090,1116613,4.3
"Centre de radio-oncologie Grangettes","Rte de Chêne 110, 1224 Chêne-Bougeries",Radio-oncologie,46.1982155,6.1817386,2502894,1117715,5.0
"Dr Alex Friedlaender","Chem. de Beau-Soleil 20, 1206 Genève",Oncologie,46.188517,6.1618819,2501090,1116613,5.0
"HUG","Rue Gabrielle-Perret-Gentil 4, 1205 Genève",Hôpital,46.193619700000006,6.1491603,2500110,1116999,3.4
"Dr Georgiou Georgios","La Voie-Creuse 16, 1202 Genève",Hématologie,46.219978,6.142993,2499823,1120347,5.0
"Dr ELIAS Plastic Surgeon","Rte de Florissant 112, 1206 Genève",Chirurgie plastique,46.1904314,6.1662702,2501342,1116819,5.0
