name,type,material_category,location,municipality,lat_wgs84,lon_wgs84,aquatic,description,source,verification_status,coordinate_change
"Carrières d'Arvel","Quarry","Hard Rock / Railway Ballast","Villeneuve","Villeneuve",46.3878,6.9389,FALSE,"Silicate limestone extraction, railway ballast production, sand and gravel for asphalt. Route du Pied-des-Monts 3, 1844 Villeneuve. Operating since 1905. National interest site.","Primary","CORRECTED","~500m correction"
"Ronchi Graviers - La Ballastière","Gravel Pit","Aggregates / Construction Materials","Gland","Gland",46.4152,6.2601,FALSE,"Gravel extraction, stone material treatment, distribution and recycling. La Ballastière, Route de Nyon 48, 1196 Gland. Operating since early 20th century. Rail-connected facility. Part of Perrin Groupe.","Primary","VERIFIED","~30m - excellent"
"Sagrave - Gravière de l'Isle","Gravel Pit","Lake Gravel / Aggregates","L'Isle","L'Isle",46.6226,6.4169,FALSE,"Lake and river gravel extraction, sand, all-purpose aggregates. Route des Mousses 16, 1148 L'Isle. Part of Sagrave Group.","Primary","CORRECTED","~8km correction"
"Sagrave Dépôt Ouchy","Depot","Distribution Hub / Lake Gravel","Lausanne-Ouchy","Lausanne",46.5084,6.6205,TRUE,"Lakefront material distribution depot on Lausanne waterfront, Avenue de Rhodanie 13, aggregates and construction materials. Direct lake access for barge transport.","Secondary","CORRECTED","~550m - HQ location"
"Sagrave Dépôt Pichettaz","Depot","Distribution Hub","Vevey","Vevey",46.4603,6.8419,TRUE,"Lakefront distribution depot, gravel and construction materials. Lake access point.","Secondary","NOT VERIFIED","No Google listing"
"Sagrave Dépôt Eau-Froide","Depot","Distribution Hub","Villeneuve","Villeneuve",46.3931,6.9203,TRUE,"Material distribution depot near Villeneuve/Noville, Route des Saviez, aggregates. Lakefront location.","Secondary","CORRECTED","~450m - Noville location"
"Sagrave Dépôt Le Bouveret","Depot","Distribution Hub","Le Bouveret","Port-Valais",46.3850,6.8600,TRUE,"Lakefront depot at eastern end of lake, material distribution.","Secondary","NOT VERIFIED","No Google listing"
"GCM - Gravière de la Claie-aux-Moines","Gravel Pit / Concrete Plant","Gravel / Concrete","Savigny","Savigny",46.5389,6.7065,FALSE,"Major gravel extraction and concrete production facility. Chemin de Geffry 2, 1073 Savigny. Important regional producer.","Primary","CORRECTED","~7km - was in wrong location"
"Gravière des Mossières","Gravel Pit","Aggregates","Bière","Bière",46.5355,6.3622,FALSE,"Gravel extraction site in interior region, Unnamed Road, 1145 Bière, construction aggregates.","Primary","CORRECTED","~3km adjustment"
"JPF Gravières","Gravel Pit / Distribution","Aggregates / Rock","Fribourg-Vaud Border","Multiple",46.6500,6.5500,FALSE,"Multiple gravel and rock extraction sites, natural aggregates for concrete and asphalt.","Primary","NOT VERIFIED","Multiple sites"
