trip_id,route_name,line_name,direction,minute_of_day,lat,lon
1008:1,IC5,Long-distance,East→GE,1054,46.516795,6.629087
1008:1,IC5,Long-distance,East→GE,1055,46.52017,6.620726
1008:1,IC5,Long-distance,East→GE,1056,46.523545,6.612365
1008:1,IC5,Long-distance,East→GE,1057,46.52692,6.604004
1008:1,IC5,Long-distance,East→GE,1058,46.530296,6.595642
1008:1,IC5,Long-distance,East→GE,1059,46.533671,6.587281
1008:1,IC5,Long-distance,East→GE,1060,46.537046,6.57892
1018:1,IC5,Long-distance,GE→East,1280,46.537046,6.57892
1018:1,IC5,Long-distance,GE→East,1281,46.533671,6.587281
1018:1,IC5,Long-distance,GE→East,1282,46.530296,6.595642
1018:1,IC5,Long-distance,GE→East,1283,46.52692,6.604004
1018:1,IC5,Long-distance,GE→East,1284,46.523545,6.612365
1018:1,IC5,Long-distance,GE→East,1285,46.52017,6.620726
1018:1,IC5,Long-distance,GE→East,1286,46.516795,6.629087
101:2,EC,Long-distance,East→GE,688,46.435887,6.910425
101:2,EC,Long-distance,East→GE,689,46.439932,6.896358
101:2,EC,Long-distance,East→GE,690,46.443978,6.882291
101:2,EC,Long-distance,East→GE,691,46.448023,6.868224
101:2,EC,Long-distance,East→GE,692,46.452069,6.854157
101:2,EC,Long-distance,East→GE,693,46.456114,6.840091
101:2,EC,Long-distance,East→GE,694,46.460159,6.826024
101:2,EC,Long-distance,East→GE,695,46.464205,6.811957
101:2,EC,Long-distance,East→GE,696,46.46825,6.79789
101:2,EC,Long-distance,East→GE,697,46.472296,6.783823
101:2,EC,Long-distance,East→GE,698,46.476341,6.769756
101:2,EC,Long-distance,East→GE,699,46.480386,6.755689
101:2,EC,Long-distance,East→GE,700,46.484432,6.741622
101:2,EC,Long-distance,East→GE,701,46.488477,6.727555
101:2,EC,Long-distance,East→GE,702,46.492523,6.713488
101:2,EC,Long-distance,East→GE,703,46.496568,6.699422
101:2,EC,Long-distance,East→GE,704,46.500613,6.685355
101:2,EC,Long-distance,East→GE,705,46.504659,6.671288
101:2,EC,Long-distance,East→GE,706,46.508704,6.657221
101:2,EC,Long-distance,East→GE,707,46.51275,6.643154
101:2,EC,Long-distance,East→GE,708,46.516795,6.629087
101:2,EC,Long-distance,East→GE,709,46.516795,6.629087
